"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","163,90","165,05","165,65","163,50","770,30K","-0,67%"
"30.12.2019","165,00","164,55","166,50","164,25","1,58M","0,82%"
"27.12.2019","163,65","162,10","164,50","161,65","1,08M","1,52%"
"26.12.2019","161,20","163,10","164,10","161,00","1,31M","-1,16%"
"24.12.2019","163,10","163,65","164,60","161,60","1,03M","-0,31%"
"23.12.2019","163,60","163,75","164,80","163,20","624,87K","0,06%"
"20.12.2019","163,50","165,00","165,50","163,10","998,40K","-0,85%"
"19.12.2019","164,90","164,40","166,20","163,60","1,14M","0,21%"
"18.12.2019","164,55","166,00","166,50","163,55","2,04M","-0,51%"
"17.12.2019","165,40","165,30","167,60","165,00","1,73M","0,64%"
"16.12.2019","164,35","167,50","168,40","163,35","2,28M","-1,47%"
"13.12.2019","166,80","165,45","169,40","165,20","2,82M","0,79%"
"12.12.2019","165,50","164,10","166,50","163,55","1,36M","0,85%"
"11.12.2019","164,10","161,00","166,15","159,25","6,46M","0,92%"
"10.12.2019","162,60","170,00","171,85","161,00","3,42M","-4,38%"
"09.12.2019","170,05","173,70","173,70","168,60","2,91M","-2,21%"
"06.12.2019","173,90","177,00","177,50","171,20","10,66M","0,38%"
"05.12.2019","173,25","170,85","174,20","169,00","2,25M","1,85%"
"04.12.2019","170,10","166,00","170,60","165,15","1,46M","2,29%"
"03.12.2019","166,30","169,00","169,75","164,60","1,64M","-1,04%"
"02.12.2019","168,05","169,00","169,00","166,25","1,10M","0,00%"
"29.11.2019","168,05","171,00","172,80","167,30","2,08M","-1,93%"
"28.11.2019","171,35","171,75","172,75","169,40","2,72M","-0,23%"
"27.11.2019","171,75","169,40","172,50","168,00","2,69M","1,99%"
"26.11.2019","168,40","172,80","173,50","167,70","4,13M","-1,09%"
"25.11.2019","170,25","168,00","171,10","167,00","2,02M","1,40%"
"22.11.2019","167,90","165,00","168,40","162,50","2,55M","1,48%"
"21.11.2019","165,45","167,60","169,50","164,80","1,68M","-1,31%"
"20.11.2019","167,65","167,95","170,75","166,50","2,21M","-0,15%"
"19.11.2019","167,90","169,90","169,95","167,50","1,18M","-0,74%"
"18.11.2019","169,15","168,65","170,25","167,10","2,78M","0,74%"
"15.11.2019","167,90","164,00","169,60","163,85","4,09M","3,20%"
"14.11.2019","162,70","163,00","165,15","161,90","2,27M","-0,55%"
"13.11.2019","163,60","167,00","167,20","162,85","1,89M","-1,59%"
"11.11.2019","166,25","165,00","168,20","163,65","1,91M","0,67%"
"08.11.2019","165,15","167,00","168,80","164,50","2,57M","-1,11%"
"07.11.2019","167,00","168,40","169,70","166,00","4,18M","-0,89%"
