"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","161,50","161,00","164,45","160,00","178,04K","0,37%"
"30.12.2019","160,90","162,90","163,90","160,20","132,66K","-1,44%"
"27.12.2019","163,25","160,15","165,40","160,15","276,14K","2,45%"
"26.12.2019","159,35","160,30","164,00","159,00","168,36K","-1,21%"
"24.12.2019","161,30","160,40","164,50","160,35","151,72K","-0,06%"
"23.12.2019","161,40","164,10","164,70","160,10","148,78K","-1,65%"
"20.12.2019","164,10","165,95","167,95","163,40","157,01K","-2,41%"
"19.12.2019","168,15","175,00","176,40","166,15","1,04M","-1,61%"
"18.12.2019","170,90","168,20","172,45","162,25","670,48K","2,64%"
"17.12.2019","166,50","152,00","168,90","152,00","744,74K","9,22%"
"16.12.2019","152,45","154,50","156,30","151,60","82,67K","-1,58%"
"13.12.2019","154,90","152,70","158,50","152,70","180,70K","1,51%"
"12.12.2019","152,60","153,35","156,75","151,30","171,98K","0,49%"
"11.12.2019","151,85","149,55","156,00","146,10","127,21K","1,20%"
"10.12.2019","150,05","154,90","155,00","149,20","118,72K","-0,69%"
"09.12.2019","151,10","151,00","155,35","149,10","85,64K","-0,23%"
"06.12.2019","151,45","154,25","156,50","150,20","94,55K","-2,45%"
"05.12.2019","155,25","158,00","159,00","154,00","96,04K","-1,27%"
"04.12.2019","157,25","154,50","160,00","152,90","115,97K","1,68%"
"03.12.2019","154,65","158,90","159,30","153,00","99,00K","-2,46%"
"02.12.2019","158,55","164,35","164,40","156,00","125,72K","-3,12%"
"29.11.2019","163,65","161,40","169,90","160,85","350,25K","1,39%"
"28.11.2019","161,40","161,90","163,20","160,35","95,67K","0,16%"
"27.11.2019","161,15","161,90","162,65","160,00","90,22K","-0,06%"
"26.11.2019","161,25","162,00","164,65","160,35","105,85K","0,19%"
"25.11.2019","160,95","158,80","164,10","158,35","149,46K","1,87%"
"22.11.2019","158,00","160,95","161,90","157,50","78,56K","-1,28%"
"21.11.2019","160,05","163,05","165,55","159,25","114,87K","-1,84%"
"20.11.2019","163,05","163,00","166,25","162,15","196,97K","0,56%"
"19.11.2019","162,15","160,95","165,50","160,10","191,16K","0,90%"
"18.11.2019","160,70","160,90","163,00","159,10","133,11K","1,10%"
"15.11.2019","158,95","163,90","165,70","158,10","135,62K","-2,24%"
"14.11.2019","162,60","167,65","170,70","161,90","186,08K","-3,01%"
"13.11.2019","167,65","171,10","173,90","165,50","127,76K","-2,02%"
"11.11.2019","171,10","171,80","174,50","170,00","118,58K","-0,03%"
"08.11.2019","171,15","169,05","175,80","169,05","200,75K","0,35%"
"07.11.2019","170,55","176,00","177,55","169,40","169,05K","-2,77%"
"06.11.2019","175,40","178,70","181,40","174,25","269,05K","-1,68%"
"05.11.2019","178,40","179,20","193,45","175,60","880,50K","-0,59%"
"04.11.2019","179,45","171,90","183,75","171,90","527,41K","4,54%"
"01.11.2019","171,65","176,00","178,40","170,60","234,69K","-2,78%"
"31.10.2019","176,55","170,40","179,00","169,25","370,01K","4,22%"
"30.10.2019","169,40","163,80","173,00","163,50","422,76K","3,42%"
"29.10.2019","163,80","163,30","167,60","159,50","215,72K","1,30%"
"27.10.2019","161,70","161,70","161,70","161,70","","0,68%"
"25.10.2019","160,60","173,80","174,85","155,70","368,76K","-7,52%"
"24.10.2019","173,65","178,55","183,35","169,00","322,11K","-2,66%"
"23.10.2019","178,40","165,90","181,90","164,40","874,97K","7,60%"
"22.10.2019","165,80","165,20","173,30","162,95","404,60K","0,00%"
"18.10.2019","165,80","163,35","174,15","162,00","479,16K","1,41%"
"17.10.2019","163,50","156,90","169,00","156,25","712,35K","4,17%"
"16.10.2019","156,95","152,90","161,60","152,90","204,29K","3,09%"
"15.10.2019","152,25","151,20","154,50","149,25","99,58K","0,76%"
"14.10.2019","151,10","153,00","154,45","148,00","103,77K","-0,10%"
"11.10.2019","151,25","145,70","156,80","144,85","302,96K","4,67%"
"10.10.2019","144,50","146,35","148,90","142,35","90,87K","-1,60%"
"09.10.2019","146,85","146,40","149,70","140,15","192,17K","0,20%"
"07.10.2019","146,55","151,20","151,50","145,25","89,72K","-2,43%"
"04.10.2019","150,20","152,85","155,45","148,25","105,63K","-1,12%"
"03.10.2019","151,90","153,80","157,30","150,00","122,02K","-1,30%"
"01.10.2019","153,90","157,00","162,75","148,05","268,34K","-1,79%"
"30.09.2019","156,70","156,20","159,75","152,10","214,24K","-0,19%"
"27.09.2019","157,00","159,00","163,00","153,80","300,25K","-2,21%"
"26.09.2019","160,55","149,10","162,80","149,10","667,18K","6,68%"
"25.09.2019","150,50","156,90","157,00","148,00","195,09K","-4,14%"
"24.09.2019","157,00","148,90","164,45","147,35","672,08K","5,44%"
"23.09.2019","148,90","148,25","154,00","144,85","315,45K","1,81%"
"20.09.2019","146,25","136,90","153,65","134,15","430,00K","7,34%"
"19.09.2019","136,25","141,30","141,90","133,65","142,00K","-3,57%"
"18.09.2019","141,30","141,30","145,30","137,50","208,37K","1,58%"
"17.09.2019","139,10","150,10","151,15","136,05","251,71K","-7,64%"
"16.09.2019","150,60","145,75","153,70","145,75","317,59K","1,48%"
"13.09.2019","148,40","148,00","152,40","145,05","328,72K","-0,07%"
"12.09.2019","148,50","135,55","162,20","134,25","1,40M","9,84%"
"11.09.2019","135,20","128,40","137,90","126,85","381,44K","6,00%"
"09.09.2019","127,55","124,30","128,90","123,30","180,43K","2,66%"
"06.09.2019","124,25","125,55","126,50","123,50","79,10K","-0,48%"
"05.09.2019","124,85","126,10","127,50","124,00","147,68K","1,38%"
"04.09.2019","123,15","125,50","125,50","121,35","78,38K","-0,12%"
"03.09.2019","123,30","124,80","127,75","122,10","106,02K","-2,53%"
"30.08.2019","126,50","129,30","130,50","124,65","154,00K","-2,17%"
"29.08.2019","129,30","134,00","134,10","128,55","120,56K","-2,93%"
"28.08.2019","133,20","133,40","137,45","131,50","295,82K","1,83%"
"27.08.2019","130,80","128,90","134,70","127,40","225,69K","1,99%"
"26.08.2019","128,25","128,00","129,80","122,95","156,37K","2,72%"
"23.08.2019","124,85","123,80","127,35","119,05","181,32K","0,81%"
"22.08.2019","123,85","122,25","125,00","115,00","190,24K","0,69%"
"21.08.2019","123,00","127,45","128,35","121,40","153,39K","-3,49%"
"20.08.2019","127,45","126,00","130,75","125,00","201,28K","0,95%"
"19.08.2019","126,25","126,70","129,55","125,30","84,41K","-0,16%"
"16.08.2019","126,45","128,70","128,85","125,10","93,02K","-2,62%"
"14.08.2019","129,85","126,30","132,90","125,05","110,65K","2,04%"
"13.08.2019","127,25","134,95","135,00","125,25","127,07K","-5,25%"
"09.08.2019","134,30","129,35","140,95","129,35","410,14K","3,83%"
