"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","8,05","7,95","8,05","7,91","3,76M","1,26%"
"30.12.2019","7,95","7,98","8,04","7,83","4,47M","-0,38%"
"27.12.2019","7,98","8,00","8,05","7,96","4,66M","-0,37%"
"26.12.2019","8,01","7,91","8,05","7,91","6,76M","1,26%"
"25.12.2019","7,91","7,83","8,00","7,80","4,36M","1,02%"
"24.12.2019","7,83","7,83","7,87","7,75","3,40M","0,38%"
"23.12.2019","7,80","7,92","7,99","7,77","7,38M","-2,13%"
"20.12.2019","7,97","7,93","7,98","7,90","4,90M","0,50%"
"19.12.2019","7,93","7,96","8,02","7,89","5,63M","-0,25%"
"18.12.2019","7,95","7,89","8,02","7,85","6,54M","0,63%"
"17.12.2019","7,90","7,79","7,90","7,74","6,89M","1,28%"
"16.12.2019","7,80","7,67","7,81","7,65","7,75M","2,23%"
"13.12.2019","7,63","7,60","7,72","7,55","10,44M","0,66%"
"12.12.2019","7,58","7,56","7,62","7,55","7,31M","-0,52%"
"11.12.2019","7,62","7,62","7,62","7,53","6,73M","0,66%"
"10.12.2019","7,57","7,61","7,63","7,54","4,99M","-0,79%"
"09.12.2019","7,63","7,56","7,63","7,55","3,69M","0,53%"
"06.12.2019","7,59","7,57","7,59","7,51","4,39M","0,80%"
"05.12.2019","7,53","7,43","7,56","7,43","4,92M","1,35%"
"04.12.2019","7,43","7,34","7,44","7,34","3,64M","0,41%"
"03.12.2019","7,40","7,38","7,40","7,32","3,40M","0,27%"
"02.12.2019","7,38","7,38","7,41","7,33","3,83M","0,14%"
"29.11.2019","7,37","7,35","7,37","7,32","4,03M","0,55%"
"28.11.2019","7,33","7,32","7,38","7,28","4,44M","0,14%"
"27.11.2019","7,32","7,25","7,38","7,23","5,67M","1,39%"
"26.11.2019","7,22","7,36","7,37","7,22","11,98M","-1,10%"
"25.11.2019","7,30","7,30","7,32","7,20","4,74M","0,55%"
"22.11.2019","7,26","7,24","7,34","7,17","6,75M","0,97%"
"21.11.2019","7,19","7,12","7,20","7,05","4,22M","0,84%"
"20.11.2019","7,13","7,18","7,20","7,13","4,49M","-1,38%"
"19.11.2019","7,23","7,12","7,24","7,02","6,88M","1,40%"
"18.11.2019","7,13","7,10","7,13","6,91","6,69M","0,56%"
"15.11.2019","7,09","7,24","7,24","7,08","7,25M","-2,48%"
"14.11.2019","7,27","7,42","7,42","7,15","10,06M","-2,02%"
"13.11.2019","7,42","7,44","7,75","7,33","16,76M","4,07%"
"12.11.2019","7,13","7,22","7,23","7,05","5,32M","-1,25%"
"11.11.2019","7,22","7,39","7,39","7,21","5,55M","-1,90%"
"08.11.2019","7,36","7,37","7,43","7,35","4,13M","0,00%"
"07.11.2019","7,36","7,36","7,41","7,34","4,22M","0,41%"
"06.11.2019","7,33","7,41","7,42","7,33","5,45M","-0,95%"
"05.11.2019","7,40","7,41","7,42","7,34","5,50M","0,14%"
"04.11.2019","7,39","7,44","7,48","7,38","6,40M","-0,54%"
"01.11.2019","7,43","7,47","7,47","7,33","6,84M","-1,20%"
"31.10.2019","7,52","7,64","7,65","7,49","5,68M","-1,70%"
"30.10.2019","7,65","7,83","7,83","7,62","6,96M","-2,55%"
"29.10.2019","7,85","7,89","7,92","7,83","3,84M","-0,76%"
"28.10.2019","7,91","7,88","7,96","7,86","5,45M","0,38%"
"25.10.2019","7,88","7,92","7,93","7,83","4,18M","-0,63%"
"24.10.2019","7,93","7,91","7,94","7,86","3,01M","0,25%"
"23.10.2019","7,91","8,06","8,09","7,90","4,43M","-1,86%"
"22.10.2019","8,06","8,15","8,20","7,96","4,35M","-1,10%"
"21.10.2019","8,15","8,03","8,18","8,03","4,71M","1,49%"
"18.10.2019","8,03","8,19","8,20","8,02","3,89M","-1,59%"
"17.10.2019","8,16","8,19","8,22","8,15","2,48M","-0,24%"
"16.10.2019","8,18","8,19","8,25","8,17","3,77M","-0,12%"
"15.10.2019","8,19","8,20","8,24","8,13","5,62M","0,61%"
"14.10.2019","8,14","8,10","8,19","8,10","4,40M","0,74%"
"11.10.2019","8,08","8,08","8,10","8,02","3,05M","0,25%"
"10.10.2019","8,06","7,99","8,06","7,98","2,78M","0,88%"
"09.10.2019","7,99","7,94","8,02","7,89","2,37M","0,76%"
"08.10.2019","7,93","7,89","7,96","7,89","2,72M","0,51%"
"30.09.2019","7,89","7,99","8,03","7,89","2,57M","-1,25%"
"27.09.2019","7,99","7,99","8,05","7,98","2,50M","0,00%"
"26.09.2019","7,99","8,02","8,07","7,98","4,58M","-0,13%"
"25.09.2019","8,00","8,05","8,05","7,97","4,69M","-0,74%"
"24.09.2019","8,06","8,08","8,13","8,05","3,43M","0,00%"
"23.09.2019","8,06","8,14","8,14","8,03","4,84M","-0,98%"
"20.09.2019","8,14","8,15","8,15","8,08","5,42M","0,37%"
"19.09.2019","8,11","8,06","8,17","8,05","4,57M","0,62%"
"18.09.2019","8,06","8,05","8,10","8,04","3,63M","-0,12%"
"17.09.2019","8,07","8,16","8,17","8,06","5,13M","-1,10%"
"16.09.2019","8,16","8,15","8,25","8,13","5,87M","0,25%"
"12.09.2019","8,14","8,15","8,16","8,13","5,35M","0,00%"
"11.09.2019","8,14","8,16","8,17","8,12","4,49M","0,12%"
"10.09.2019","8,13","8,16","8,16","8,10","6,38M","0,12%"
"09.09.2019","8,12","8,14","8,19","8,09","6,65M","0,12%"
"06.09.2019","8,11","8,13","8,14","8,08","4,96M","-0,12%"
"05.09.2019","8,12","8,06","8,17","8,05","8,98M","0,74%"
"04.09.2019","8,06","7,99","8,06","7,97","7,03M","0,88%"
"03.09.2019","7,99","8,00","8,01","7,96","5,09M","0,00%"
"02.09.2019","7,99","7,95","8,00","7,90","8,07M","0,76%"
"30.08.2019","7,93","8,04","8,05","7,92","5,98M","-0,25%"
"29.08.2019","7,95","7,90","7,97","7,89","5,95M","0,25%"
"28.08.2019","7,93","7,93","7,94","7,88","5,68M","-0,88%"
"27.08.2019","8,00","7,96","8,01","7,84","14,42M","0,88%"
"26.08.2019","7,93","8,29","8,29","7,90","13,98M","-5,03%"
"23.08.2019","8,35","8,30","8,39","8,21","3,38M","0,60%"
"22.08.2019","8,30","8,46","8,46","8,26","5,96M","-1,78%"
"21.08.2019","8,45","8,57","8,59","8,43","4,52M","-1,17%"
"20.08.2019","8,55","8,75","8,75","8,55","5,17M","-2,06%"
"19.08.2019","8,73","8,76","8,78","8,66","4,55M","0,58%"
"16.08.2019","8,68","8,82","8,82","8,67","3,15M","-1,03%"
"15.08.2019","8,77","8,70","8,78","8,61","3,39M","-0,23%"
"14.08.2019","8,79","8,76","8,81","8,70","4,72M","1,27%"
"13.08.2019","8,68","8,66","8,72","8,64","4,20M","-0,23%"
"12.08.2019","8,70","8,62","8,73","8,62","2,14M","0,93%"
"09.08.2019","8,62","8,66","8,67","8,58","2,76M","0,12%"
"08.08.2019","8,61","8,52","8,63","8,52","2,09M","1,06%"
"07.08.2019","8,52","8,57","8,70","8,50","2,45M","0,00%"
"06.08.2019","8,52","8,58","8,66","8,40","5,31M","-1,62%"
"05.08.2019","8,66","8,65","8,75","8,64","2,92M","0,00%"
"02.08.2019","8,66","8,70","8,71","8,56","2,83M","-1,14%"
"01.08.2019","8,76","8,74","8,86","8,73","2,96M","-0,68%"
"31.07.2019","8,82","8,78","8,82","8,70","3,26M","0,46%"
"30.07.2019","8,78","8,71","8,81","8,71","2,84M","0,34%"
"29.07.2019","8,75","8,68","8,77","8,68","2,87M","0,81%"
"26.07.2019","8,68","8,62","8,68","8,60","2,05M","0,58%"
"25.07.2019","8,63","8,63","8,68","8,61","2,40M","-0,69%"
"24.07.2019","8,69","8,63","8,75","8,62","2,67M","0,81%"
"23.07.2019","8,62","8,61","8,65","8,58","1,75M","0,35%"
"22.07.2019","8,59","8,62","8,69","8,50","2,58M","-0,35%"
"19.07.2019","8,62","8,61","8,72","8,59","2,42M","0,12%"
"18.07.2019","8,61","8,68","8,68","8,60","2,02M","-0,69%"
"17.07.2019","8,67","8,66","8,74","8,65","1,94M","-0,23%"
"16.07.2019","8,69","8,72","8,77","8,65","2,30M","-0,46%"
"15.07.2019","8,73","8,58","8,78","8,43","4,76M","1,63%"
"12.07.2019","8,59","8,62","8,67","8,57","2,01M","-0,12%"
"11.07.2019","8,60","8,56","8,70","8,54","3,05M","0,47%"
"10.07.2019","8,56","8,47","8,82","8,44","3,07M","1,54%"
"09.07.2019","8,43","8,46","8,47","8,40","2,04M","0,24%"
"08.07.2019","8,41","8,70","8,72","8,39","4,89M","-3,67%"
"05.07.2019","8,73","8,72","8,75","8,64","2,36M","0,11%"
"04.07.2019","8,72","8,69","8,79","8,61","3,77M","0,23%"
"03.07.2019","8,70","8,75","8,75","8,61","3,83M","-0,80%"
"02.07.2019","8,77","8,85","8,88","8,70","7,06M","-1,79%"
"01.07.2019","8,93","8,75","8,99","8,65","10,67M","2,88%"
"28.06.2019","8,68","8,53","8,89","8,53","7,41M","1,88%"
"27.06.2019","8,52","8,51","8,60","8,50","3,26M","0,00%"
"26.06.2019","8,52","8,41","8,57","8,41","2,76M","0,71%"
"25.06.2019","8,46","8,54","8,54","8,36","3,98M","-0,94%"
"24.06.2019","8,54","8,56","8,58","8,41","3,63M","0,71%"
"21.06.2019","8,48","8,40","8,58","8,40","4,69M","0,71%"
"20.06.2019","8,42","8,32","8,49","8,28","5,20M","1,20%"
"19.06.2019","8,32","8,42","8,54","8,31","4,68M","-0,12%"
"18.06.2019","8,33","8,29","8,37","8,26","2,34M","0,00%"
"17.06.2019","8,33","8,27","8,34","8,20","2,81M","0,73%"
"14.06.2019","8,27","8,29","8,32","8,00","4,06M","0,00%"
"13.06.2019","8,27","8,36","8,41","8,23","4,94M","-5,81%"
"12.06.2019","8,78","8,52","8,91","8,48","8,46M","3,05%"
"11.06.2019","8,52","8,34","8,52","8,34","4,02M","2,28%"
"10.06.2019","8,33","8,42","8,45","8,30","3,44M","-0,83%"
"06.06.2019","8,40","8,50","8,50","8,37","3,29M","-0,59%"
"05.06.2019","8,45","8,45","8,52","8,42","3,04M","0,36%"
"04.06.2019","8,42","8,32","8,42","8,32","3,31M","0,60%"
"03.06.2019","8,37","8,31","8,41","8,28","3,57M","0,84%"
"31.05.2019","8,30","8,30","8,38","8,28","3,06M","0,48%"
"30.05.2019","8,26","8,31","8,34","8,23","2,67M","-0,60%"
"29.05.2019","8,31","8,36","8,36","8,27","2,78M","-0,48%"
"28.05.2019","8,35","8,36","8,40","8,29","2,94M","-0,12%"
"27.05.2019","8,36","8,24","8,40","8,22","3,40M","1,33%"
"24.05.2019","8,25","8,21","8,35","8,21","2,80M","-0,48%"
"23.05.2019","8,29","8,35","8,39","8,26","3,25M","-0,24%"
"22.05.2019","8,31","8,37","8,39","8,28","3,30M","-0,84%"
"21.05.2019","8,38","8,28","8,40","8,22","3,98M","2,07%"
"20.05.2019","8,21","8,21","8,28","8,10","3,45M","0,00%"
"17.05.2019","8,21","8,33","8,44","8,19","3,89M","-2,03%"
"16.05.2019","8,38","8,36","8,39","8,32","3,09M","0,36%"
"15.05.2019","8,35","8,31","8,38","8,27","3,97M","0,97%"
"14.05.2019","8,27","8,15","8,31","8,11","3,73M","0,73%"
"13.05.2019","8,21","8,30","8,30","8,20","3,72M","-1,08%"
"10.05.2019","8,30","8,16","8,30","8,13","6,19M","1,84%"
"09.05.2019","8,15","8,06","8,17","8,03","4,10M","0,74%"
"08.05.2019","8,09","8,12","8,18","8,06","5,81M","-0,86%"
"07.05.2019","8,16","8,17","8,25","8,11","6,78M","-0,12%"
"06.05.2019","8,17","8,45","8,45","8,09","10,27M","-5,11%"
"30.04.2019","8,61","8,58","8,73","8,52","5,54M","0,58%"
"29.04.2019","8,56","8,84","8,94","8,48","9,39M","-3,17%"
"26.04.2019","8,84","8,99","9,16","8,84","7,75M","-2,43%"
"25.04.2019","9,06","9,33","9,33","9,05","8,77M","-3,00%"
"24.04.2019","9,34","9,19","9,34","9,13","6,72M","1,63%"
"23.04.2019","9,19","9,33","9,33","9,17","7,21M","-1,50%"
"22.04.2019","9,33","9,33","9,37","9,24","7,61M","0,00%"
"19.04.2019","9,33","9,35","9,37","9,22","7,94M","-0,32%"
"18.04.2019","9,36","9,36","9,42","9,26","8,80M","-0,43%"
"17.04.2019","9,40","9,53","9,53","9,31","10,63M","-1,36%"
"16.04.2019","9,53","9,39","9,58","9,19","11,92M","0,53%"
"15.04.2019","9,48","9,72","9,95","9,43","23,25M","-1,25%"
"12.04.2019","9,60","9,25","9,60","9,21","23,60M","4,46%"
"11.04.2019","9,19","9,43","9,52","9,18","11,00M","-1,08%"
"10.04.2019","9,29","9,24","9,38","9,16","8,44M","0,43%"
"09.04.2019","9,25","9,24","9,30","9,15","7,41M","0,11%"
"08.04.2019","9,24","9,43","9,55","9,15","13,86M","-2,01%"
"04.04.2019","9,43","9,33","9,54","9,33","16,73M","1,84%"
"03.04.2019","9,26","9,15","9,26","9,12","9,99M","0,98%"
"02.04.2019","9,17","9,24","9,32","9,15","9,26M","-0,54%"
"01.04.2019","9,22","9,06","9,38","9,04","12,36M","2,10%"
"29.03.2019","9,03","8,73","9,09","8,73","8,37M","3,44%"
"28.03.2019","8,73","8,86","8,91","8,71","6,23M","-1,80%"
"27.03.2019","8,89","8,93","8,95","8,84","5,06M","-0,11%"
"26.03.2019","8,90","9,15","9,21","8,84","8,68M","-2,73%"
"25.03.2019","9,15","9,21","9,32","9,10","10,35M","-1,82%"
"22.03.2019","9,32","9,17","9,38","9,10","13,75M","1,64%"
"21.03.2019","9,17","9,13","9,24","9,09","11,57M","0,33%"
"20.03.2019","9,14","9,10","9,33","8,86","10,55M","-0,22%"
