"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","1.736,0","1.752,0","1.752,5","1.719,0","2,29K","-0,17%"
"27.12.2019","1.739,0","1.743,0","1.749,0","1.724,0","2,21K","0,14%"
"26.12.2019","1.736,5","1.726,5","1.740,0","1.714,0","0,80K","1,43%"
"25.12.2019","1.712,0","1.700,5","1.724,0","1.700,0","0,80K","0,23%"
"24.12.2019","1.708,0","1.702,0","1.716,5","1.689,5","1,03K","0,47%"
"23.12.2019","1.700,0","1.722,5","1.725,5","1.681,0","1,91K","-0,58%"
"20.12.2019","1.710,0","1.723,5","1.760,0","1.701,0","1,55K","-1,16%"
"19.12.2019","1.730,0","1.717,5","1.740,0","1.717,5","1,03K","0,03%"
"18.12.2019","1.729,5","1.677,0","1.740,0","1.677,0","1,83K","2,34%"
"17.12.2019","1.690,0","1.681,0","1.696,0","1.661,0","1,84K","0,36%"
"16.12.2019","1.684,0","1.696,0","1.699,0","1.681,5","1,43K","-0,71%"
"13.12.2019","1.696,0","1.710,0","1.715,0","1.681,0","2,39K","0,36%"
"12.12.2019","1.690,0","1.714,5","1.715,0","1.687,0","2,41K","-0,76%"
"11.12.2019","1.703,0","1.721,5","1.721,5","1.702,0","2,80K","-0,64%"
"10.12.2019","1.714,0","1.725,0","1.744,5","1.714,0","1,47K","-0,61%"
"09.12.2019","1.724,5","1.729,0","1.746,5","1.713,5","1,76K","0,17%"
"06.12.2019","1.721,5","1.728,5","1.728,5","1.721,0","0,26K","-0,38%"
"05.12.2019","1.728,0","1.731,5","1.749,0","1.724,5","0,39K","-0,20%"
"04.12.2019","1.731,5","1.746,5","1.746,5","1.726,0","0,33K","-0,23%"
"03.12.2019","1.735,5","1.727,0","1.752,5","1.710,0","0,61K","-0,14%"
"02.12.2019","1.738,0","1.762,0","1.764,5","1.726,5","1,28K","0,06%"
"29.11.2019","1.737,0","1.740,0","1.748,0","1.737,0","0,39K","-0,12%"
"28.11.2019","1.739,0","1.747,0","1.764,5","1.732,5","0,34K","0,14%"
"27.11.2019","1.736,5","1.745,0","1.745,0","1.735,0","0,76K","-0,20%"
"26.11.2019","1.740,0","1.749,0","1.749,0","1.735,0","0,85K","0,35%"
"25.11.2019","1.734,0","1.743,5","1.749,5","1.732,0","0,73K","0,09%"
"22.11.2019","1.732,5","1.759,0","1.760,0","1.712,0","0,84K","-1,00%"
"21.11.2019","1.750,0","1.774,0","1.780,5","1.731,0","2,70K","-1,69%"
"20.11.2019","1.780,0","1.789,0","1.797,0","1.776,0","1,29K","-0,20%"
"19.11.2019","1.783,5","1.805,0","1.805,0","1.781,0","1,21K","-0,28%"
"18.11.2019","1.788,5","1.794,5","1.808,0","1.788,5","0,72K","-0,86%"
"15.11.2019","1.804,0","1.805,5","1.805,5","1.786,0","0,47K","0,70%"
"14.11.2019","1.791,5","1.798,5","1.808,0","1.787,0","0,58K","0,17%"
"13.11.2019","1.788,5","1.805,5","1.805,5","1.785,5","0,59K","-0,28%"
"12.11.2019","1.793,5","1.800,0","1.809,5","1.790,0","0,92K","-0,53%"
"11.11.2019","1.803,0","1.794,0","1.813,5","1.787,0","1,86K","0,45%"
"08.11.2019","1.795,0","1.798,0","1.820,0","1.795,0","1,87K","-0,14%"
"07.11.2019","1.797,5","1.797,0","1.812,0","1.797,0","0,69K","0,08%"
"06.11.2019","1.796,0","1.795,5","1.812,0","1.775,0","1,51K","0,59%"
"05.11.2019","1.785,5","1.786,0","1.800,0","1.783,0","0,78K","0,03%"
"01.11.2019","1.785,0","1.785,0","1.800,0","1.785,0","0,75K","-0,75%"
"31.10.2019","1.798,5","1.783,0","1.805,5","1.783,0","0,32K","0,36%"
"30.10.2019","1.792,0","1.807,0","1.809,5","1.792,0","0,50K","-0,83%"
"29.10.2019","1.807,0","1.795,5","1.810,0","1.786,5","1,03K","1,18%"
"28.10.2019","1.786,0","1.801,5","1.809,5","1.782,5","0,71K","-0,33%"
"25.10.2019","1.792,0","1.807,0","1.820,0","1.770,5","1,58K","-0,44%"
"24.10.2019","1.800,0","1.817,0","1.817,0","1.796,0","0,50K","0,00%"
"23.10.2019","1.800,0","1.815,0","1.824,5","1.797,0","0,42K","0,00%"
"22.10.2019","1.800,0","1.813,0","1.814,0","1.783,5","0,94K","0,03%"
"21.10.2019","1.799,5","1.829,5","1.835,0","1.790,0","1,00K","-1,42%"
"18.10.2019","1.825,5","1.794,0","1.842,0","1.785,5","0,68K","2,07%"
"17.10.2019","1.788,5","1.782,0","1.797,5","1.782,0","0,17K","0,59%"
"16.10.2019","1.778,0","1.785,0","1.797,5","1.747,0","0,43K","-0,34%"
"15.10.2019","1.784,0","1.790,5","1.803,0","1.770,5","0,32K","-0,94%"
"14.10.2019","1.801,0","1.806,5","1.819,5","1.783,0","0,34K","0,06%"
"11.10.2019","1.800,0","1.822,5","1.822,5","1.782,0","0,69K","-1,23%"
"10.10.2019","1.822,5","1.789,0","1.823,0","1.788,5","1,15K","1,93%"
"09.10.2019","1.788,0","1.793,0","1.816,0","1.782,5","0,23K","-0,28%"
"08.10.2019","1.793,0","1.799,5","1.799,5","1.784,0","0,24K","-0,08%"
"07.10.2019","1.794,5","1.774,5","1.815,0","1.767,0","0,42K","1,67%"
"04.10.2019","1.765,0","1.761,0","1.781,5","1.730,0","1,01K","-2,49%"
"03.10.2019","1.810,0","1.871,0","1.871,0","1.749,5","1,22K","-1,68%"
"02.10.2019","1.841,0","1.870,5","1.879,5","1.841,0","0,92K","-1,63%"
"01.10.2019","1.871,5","1.888,5","1.888,5","1.830,0","0,73K","-0,48%"
"30.09.2019","1.880,5","1.878,0","1.890,0","1.867,5","0,68K","1,48%"
"27.09.2019","1.853,0","1.855,5","1.885,0","1.842,0","0,99K","0,93%"
"26.09.2019","1.836,0","1.841,5","1.854,5","1.819,5","0,30K","0,16%"
"25.09.2019","1.833,0","1.849,5","1.850,0","1.822,0","0,16K","-0,11%"
"24.09.2019","1.835,0","1.844,5","1.854,0","1.833,5","0,34K","-0,03%"
"23.09.2019","1.835,5","1.829,0","1.848,5","1.821,0","0,17K","-0,35%"
"20.09.2019","1.842,0","1.849,0","1.855,5","1.830,5","0,19K","-0,14%"
"19.09.2019","1.844,5","1.821,0","1.850,0","1.821,0","0,19K","-0,03%"
"18.09.2019","1.845,0","1.834,5","1.850,0","1.833,5","0,34K","0,27%"
"17.09.2019","1.840,0","1.846,0","1.856,5","1.826,0","0,89K","-0,38%"
"16.09.2019","1.847,0","1.806,5","1.855,0","1.806,5","0,33K","0,22%"
"13.09.2019","1.843,0","1.855,0","1.872,0","1.827,0","0,62K","0,63%"
"12.09.2019","1.831,5","1.821,0","1.859,5","1.821,0","0,74K","0,08%"
"11.09.2019","1.830,0","1.845,0","1.852,0","1.815,5","0,47K","0,83%"
"10.09.2019","1.815,0","1.845,0","1.889,0","1.815,0","0,99K","-1,63%"
"09.09.2019","1.845,0","1.807,5","1.875,5","1.807,5","2,18K","2,44%"
"06.09.2019","1.801,0","1.800,0","1.813,5","1.790,0","0,35K","0,08%"
"05.09.2019","1.799,5","1.793,0","2.190,0","1.775,0","1,56K","0,42%"
"04.09.2019","1.792,0","1.773,0","1.800,0","1.760,0","0,54K","1,19%"
"03.09.2019","1.771,0","1.780,5","1.797,0","1.765,5","0,76K","-1,34%"
"02.09.2019","1.795,0","1.780,0","1.799,0","1.773,0","0,63K","0,67%"
"30.08.2019","1.783,0","1.765,5","1.789,5","1.753,0","1,12K","1,13%"
"29.08.2019","1.763,0","1.827,5","1.838,0","1.747,0","2,30K","-2,60%"
"28.08.2019","1.810,0","1.809,5","1.820,0","1.809,0","0,30K","0,00%"
"27.08.2019","1.810,0","1.829,0","1.834,0","1.810,0","0,34K","-1,17%"
"26.08.2019","1.831,5","1.847,0","1.854,5","1.800,0","0,23K","0,63%"
"23.08.2019","1.820,0","1.834,0","1.834,0","1.800,0","0,47K","-0,74%"
"22.08.2019","1.833,5","1.902,5","1.960,0","1.704,0","3,54K","-4,83%"
"21.08.2019","1.926,5","1.900,0","1.927,0","1.899,0","1,30K","1,93%"
"20.08.2019","1.890,0","1.848,5","1.900,0","1.848,5","0,86K","2,77%"
"19.08.2019","1.839,0","1.774,5","1.840,0","1.723,5","0,85K","3,58%"
"16.08.2019","1.775,5","1.708,5","1.775,5","1.708,0","0,53K","3,92%"
"15.08.2019","1.708,5","1.812,5","1.812,5","1.707,0","1,19K","-5,06%"
"14.08.2019","1.799,5","1.830,5","1.853,0","1.787,0","0,67K","-2,04%"
"13.08.2019","1.837,0","1.879,5","1.879,5","1.800,0","0,92K","-2,03%"
"12.08.2019","1.875,0","1.900,5","1.901,0","1.830,0","1,60K","-1,83%"
"09.08.2019","1.910,0","1.911,0","1.930,0","1.880,0","1,19K","0,34%"
"08.08.2019","1.903,5","1.906,5","1.913,5","1.900,0","0,18K","0,18%"
"07.08.2019","1.900,0","1.900,5","1.907,5","1.900,0","1,50K","-0,34%"
"06.08.2019","1.906,5","1.900,0","1.916,5","1.900,0","0,32K","0,00%"
"05.08.2019","1.906,5","1.899,0","1.926,0","1.797,0","0,90K","0,34%"
"02.08.2019","1.900,0","1.904,5","1.927,0","1.900,0","1,05K","-0,37%"
"01.08.2019","1.907,0","1.927,0","1.928,0","1.900,0","0,49K","-0,52%"
"31.07.2019","1.917,0","1.929,0","1.930,0","1.900,0","0,71K","0,08%"
"30.07.2019","1.915,5","1.898,0","1.930,0","1.894,0","0,46K","1,11%"
"29.07.2019","1.894,5","1.898,5","1.898,5","1.874,5","0,25K","0,74%"
"26.07.2019","1.880,5","1.900,0","1.900,0","1.873,5","0,18K","-1,08%"
"25.07.2019","1.901,0","1.863,5","1.902,0","1.863,5","0,53K","1,49%"
"24.07.2019","1.873,0","1.887,5","1.888,0","1.872,5","0,19K","-0,24%"
"23.07.2019","1.877,5","1.881,0","1.881,5","1.857,5","0,18K","0,32%"
"22.07.2019","1.871,5","1.888,0","1.888,5","1.861,5","0,24K","-0,51%"
"19.07.2019","1.881,0","1.880,5","1.889,5","1.880,0","0,16K","-0,05%"
"18.07.2019","1.882,0","1.871,5","1.885,0","1.859,0","0,22K","0,13%"
"17.07.2019","1.879,5","1.865,5","1.884,5","1.854,0","0,27K","0,37%"
"16.07.2019","1.872,5","1.877,5","1.901,5","1.865,5","0,30K","-0,13%"
"15.07.2019","1.875,0","1.870,0","1.877,0","1.855,0","0,35K","0,81%"
"12.07.2019","1.860,0","1.870,0","1.889,5","1.850,0","0,71K","-0,80%"
"11.07.2019","1.875,0","1.898,0","1.898,0","1.869,5","0,40K","0,54%"
"10.07.2019","1.865,0","1.909,0","1.909,0","1.865,0","0,61K","-1,35%"
"09.07.2019","1.890,5","1.899,0","1.918,5","1.880,0","0,38K","-0,03%"
"08.07.2019","1.891,0","1.851,5","1.891,0","1.851,5","0,41K","1,04%"
"05.07.2019","1.871,5","1.865,0","1.879,5","1.851,0","0,24K","0,89%"
"04.07.2019","1.855,0","1.854,5","1.880,0","1.850,0","0,74K","-0,27%"
"03.07.2019","1.860,0","1.888,0","1.889,0","1.860,0","0,55K","-1,12%"
"02.07.2019","1.881,0","1.898,0","1.898,0","1.850,0","0,42K","0,29%"
"01.07.2019","1.875,5","1.889,5","1.891,0","1.870,0","1,11K","0,40%"
"28.06.2019","1.868,0","1.855,0","1.890,0","1.839,5","0,60K","0,70%"
"27.06.2019","1.855,0","1.879,5","1.879,5","1.855,0","0,45K","-1,62%"
"26.06.2019","1.885,5","1.925,0","1.940,5","1.830,0","2,35K","-2,05%"
"25.06.2019","1.925,0","1.861,0","1.947,0","1.811,5","2,51K","3,49%"
"24.06.2019","1.860,0","1.833,5","1.865,0","1.833,5","1,37K","2,73%"
"21.06.2019","1.810,5","1.839,5","1.855,0","1.800,0","2,34K","-0,93%"
"20.06.2019","1.827,5","1.817,0","1.855,0","1.800,0","1,26K","1,53%"
"19.06.2019","1.800,0","1.791,0","1.837,5","1.790,5","1,33K","0,56%"
"18.06.2019","1.790,0","1.700,5","1.814,0","1.700,5","3,51K","3,98%"
"17.06.2019","1.721,5","1.628,0","1.723,0","1.628,0","2,52K","4,14%"
"14.06.2019","1.653,0","1.658,0","1.665,0","1.622,0","0,73K","0,79%"
"13.06.2019","1.640,0","1.640,0","1.654,5","1.640,0","0,91K","-0,12%"
"11.06.2019","1.642,0","1.641,5","1.654,0","1.640,0","0,34K","-0,99%"
"10.06.2019","1.658,5","1.668,0","1.685,0","1.610,0","0,76K","-0,36%"
"07.06.2019","1.664,5","1.641,5","1.666,0","1.641,0","0,88K","1,87%"
"06.06.2019","1.634,0","1.640,0","1.640,0","1.610,0","0,77K","0,62%"
"05.06.2019","1.624,0","1.612,0","1.634,0","1.612,0","0,36K","0,12%"
"04.06.2019","1.622,0","1.640,0","1.641,0","1.622,0","0,96K","-0,92%"
"03.06.2019","1.637,0","1.613,0","1.639,0","1.613,0","0,75K","1,49%"
"31.05.2019","1.613,0","1.602,0","1.625,0","1.602,0","0,80K","-0,12%"
"30.05.2019","1.615,0","1.605,0","1.625,0","1.605,0","0,26K","0,59%"
"29.05.2019","1.605,5","1.600,0","1.634,0","1.600,0","0,33K","0,16%"
"28.05.2019","1.603,0","1.625,5","1.625,5","1.600,0","0,77K","-0,09%"
"27.05.2019","1.604,5","1.601,5","1.629,5","1.601,5","0,39K","0,25%"
"24.05.2019","1.600,5","1.610,5","1.619,5","1.590,5","1,11K","-0,22%"
"23.05.2019","1.604,0","1.585,5","1.640,0","1.585,0","0,59K","0,85%"
"22.05.2019","1.590,5","1.574,0","1.590,5","1.565,0","0,96K","0,79%"
"21.05.2019","1.578,0","1.582,0","1.609,5","1.551,5","1,31K","-0,63%"
"20.05.2019","1.588,0","1.588,5","1.616,5","1.588,0","0,58K","-0,75%"
"17.05.2019","1.600,0","1.537,5","1.616,5","1.536,5","2,29K","4,27%"
"16.05.2019","1.534,5","1.529,5","1.547,5","1.515,0","0,51K","0,79%"
"15.05.2019","1.522,5","1.560,0","1.560,0","1.510,0","1,52K","-2,40%"
"14.05.2019","1.560,0","1.590,0","1.609,5","1.560,0","0,77K","-2,16%"
"13.05.2019","1.594,5","1.597,5","1.628,5","1.555,5","1,11K","-0,19%"
"10.05.2019","1.597,5","1.620,0","1.632,0","1.590,0","0,52K","-2,32%"
"08.05.2019","1.635,5","1.638,5","1.673,0","1.622,5","0,45K","0,15%"
"07.05.2019","1.633,0","1.649,5","1.652,0","1.632,0","0,66K","-0,49%"
"06.05.2019","1.641,0","1.674,5","1.674,5","1.600,0","1,16K","-0,30%"
"03.05.2019","1.646,0","1.658,5","1.678,0","1.645,5","0,72K","0,00%"
"02.05.2019","1.646,0","1.646,0","1.659,5","1.646,0","0,36K","0,00%"
"30.04.2019","1.646,0","1.690,0","1.690,0","1.580,0","1,18K","-2,02%"
"29.04.2019","1.680,0","1.688,0","1.708,0","1.676,0","0,95K","-1,18%"
"26.04.2019","1.700,0","1.702,0","1.716,0","1.688,0","1,80K","1,43%"
"25.04.2019","1.676,0","1.700,0","1.710,0","1.662,0","0,89K","-1,41%"
"24.04.2019","1.700,0","1.708,0","1.712,0","1.700,0","0,96K","-0,35%"
"23.04.2019","1.706,0","1.752,0","1.752,0","1.700,0","1,13K","-0,93%"
"22.04.2019","1.722,0","1.700,0","1.748,0","1.680,0","1,83K","0,70%"
"19.04.2019","1.710,0","1.714,0","1.736,0","1.690,0","0,85K","-0,23%"
"18.04.2019","1.714,0","1.654,0","1.824,0","1.640,0","9,68K","3,63%"
"17.04.2019","1.654,0","1.590,0","1.668,0","1.590,0","1,44K","2,86%"
"16.04.2019","1.608,0","1.594,0","1.616,0","1.560,0","1,51K","1,39%"
"15.04.2019","1.586,0","1.588,0","1.638,0","1.510,0","2,79K","-0,50%"
"12.04.2019","1.594,0","1.500,0","1.738,0","1.490,0","15,42K","6,41%"
"11.04.2019","1.498,0","1.470,0","1.568,0","1.446,0","7,32K","-2,73%"
"10.04.2019","1.540,0","1.630,0","1.644,0","1.490,0","8,77K","-4,47%"
