"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","785,00","800,00","810,00","784,00","2,14K","-1,26%"
"27.12.2019","795,00","793,00","800,00","793,00","1,01K","0,76%"
"26.12.2019","789,00","779,00","797,00","779,00","0,43K","0,51%"
"25.12.2019","785,00","780,00","790,00","779,00","0,19K","-0,38%"
"24.12.2019","788,00","787,00","790,00","777,00","0,46K","0,64%"
"23.12.2019","783,00","781,00","786,00","768,00","0,99K","0,51%"
"20.12.2019","779,00","775,00","783,00","761,00","0,39K","2,23%"
"19.12.2019","762,00","764,00","778,00","760,00","0,47K","-1,55%"
"18.12.2019","774,00","766,00","775,00","760,00","0,48K","-0,26%"
"17.12.2019","776,00","781,00","781,00","761,00","0,07K","0,65%"
"16.12.2019","771,00","780,00","781,00","770,00","0,33K","0,78%"
"13.12.2019","765,00","775,00","776,00","748,00","0,24K","-0,65%"
"12.12.2019","770,00","783,00","783,00","747,00","0,17K","-0,90%"
"11.12.2019","777,00","777,00","779,00","777,00","0,05K","0,65%"
"10.12.2019","772,00","785,00","789,00","771,00","0,41K","-1,03%"
"09.12.2019","780,00","781,00","787,00","780,00","0,10K","-0,26%"
"06.12.2019","782,00","787,00","788,00","781,00","0,22K","-0,76%"
"05.12.2019","788,00","795,00","796,00","780,00","0,09K","0,51%"
"04.12.2019","784,00","794,00","800,00","783,00","0,27K","-0,76%"
"03.12.2019","790,00","787,00","800,00","781,00","0,27K","0,00%"
"02.12.2019","790,00","792,00","798,00","790,00","0,42K","-0,25%"
"29.11.2019","792,00","796,00","800,00","790,00","0,72K","0,13%"
"28.11.2019","791,00","793,00","794,00","785,00","0,23K","-0,38%"
"27.11.2019","794,00","795,00","795,00","785,00","0,21K","-0,25%"
"26.11.2019","796,00","797,00","797,00","775,00","0,26K","0,76%"
"25.11.2019","790,00","798,00","799,00","789,00","0,06K","0,13%"
"22.11.2019","789,00","791,00","799,00","789,00","0,07K","0,00%"
"21.11.2019","789,00","800,00","800,00","789,00","0,18K","-1,25%"
"20.11.2019","799,00","800,00","800,00","799,00","0,12K","0,25%"
"19.11.2019","797,00","798,00","799,00","797,00","0,07K","-0,13%"
"18.11.2019","798,00","791,00","799,00","790,00","0,03K","-0,13%"
"15.11.2019","799,00","798,00","799,00","798,00","0,03K","0,13%"
"14.11.2019","798,00","800,00","800,00","798,00","0,30K","-0,87%"
"13.11.2019","805,00","793,00","805,00","793,00","0,39K","1,77%"
"12.11.2019","791,00","791,00","794,00","790,00","0,18K","0,25%"
"11.11.2019","789,00","789,00","790,00","789,00","0,05K","-0,13%"
"08.11.2019","790,00","790,00","791,00","790,00","0,04K","0,38%"
"07.11.2019","787,00","787,00","789,00","787,00","0,05K","0,00%"
"06.11.2019","787,00","784,00","787,00","784,00","0,05K","0,00%"
"05.11.2019","787,00","786,00","787,00","785,00","0,13K","0,25%"
"01.11.2019","785,00","786,00","786,00","784,00","0,02K","0,00%"
"31.10.2019","785,00","794,00","794,00","785,00","0,05K","-0,13%"
"30.10.2019","786,00","795,00","795,00","783,00","0,05K","-0,51%"
"29.10.2019","790,00","800,00","800,00","782,00","0,11K","-0,88%"
"28.10.2019","797,00","797,00","798,00","797,00","0,06K","0,00%"
"25.10.2019","797,00","799,00","799,00","788,00","0,10K","0,00%"
"24.10.2019","797,00","798,00","798,00","797,00","0,03K","1,01%"
"23.10.2019","789,00","799,00","799,00","789,00","0,33K","-0,88%"
"22.10.2019","796,00","798,00","798,00","796,00","0,12K","-0,13%"
"21.10.2019","797,00","788,00","797,00","788,00","0,06K","0,00%"
"18.10.2019","797,00","793,00","800,00","786,00","0,35K","1,92%"
"17.10.2019","782,00","792,00","792,00","782,00","0,02K","-0,38%"
"16.10.2019","785,00","782,00","785,00","782,00","0,05K","0,26%"
"15.10.2019","783,00","792,00","798,00","780,00","0,13K","-0,38%"
"14.10.2019","786,00","781,00","799,00","781,00","0,09K","-1,63%"
"11.10.2019","799,00","788,00","800,00","788,00","0,08K","0,13%"
"10.10.2019","798,00","783,00","799,00","783,00","0,05K","-0,13%"
"09.10.2019","799,00","797,00","805,00","785,00","0,29K","2,30%"
"08.10.2019","781,00","774,00","800,00","774,00","0,16K","-0,51%"
"07.10.2019","785,00","772,00","795,00","772,00","0,33K","0,38%"
"04.10.2019","782,00","784,00","785,00","772,00","0,06K","1,30%"
"03.10.2019","772,00","787,00","787,00","772,00","0,12K","-0,77%"
"02.10.2019","778,00","786,00","786,00","776,00","0,11K","-0,77%"
"01.10.2019","784,00","787,00","797,00","784,00","0,05K","-0,63%"
"30.09.2019","789,00","810,00","812,00","787,00","1,64K","-1,99%"
"27.09.2019","805,00","805,00","805,00","798,00","0,82K","2,42%"
"26.09.2019","786,00","800,00","800,00","786,00","0,76K","-1,75%"
"25.09.2019","800,00","743,00","800,00","743,00","0,22K","1,27%"
"24.09.2019","790,00","793,00","795,00","787,00","0,94K","0,00%"
"23.09.2019","790,00","788,00","790,00","788,00","0,08K","0,77%"
"20.09.2019","784,00","787,00","787,00","780,00","0,06K","1,42%"
"19.09.2019","773,00","776,00","784,00","773,00","0,08K","-0,51%"
"18.09.2019","777,00","783,00","783,00","770,00","0,18K","0,00%"
"17.09.2019","777,00","765,00","777,00","752,00","2,01K","2,37%"
"16.09.2019","759,00","759,00","759,00","755,00","0,63K","0,80%"
"13.09.2019","753,00","770,00","770,00","753,00","0,27K","-2,46%"
"12.09.2019","772,00","771,00","778,00","768,00","0,13K","0,26%"
"11.09.2019","770,00","790,00","790,00","770,00","0,26K","-0,13%"
"10.09.2019","771,00","782,00","794,00","771,00","0,28K","-0,64%"
"09.09.2019","776,00","782,00","782,00","768,00","0,18K","0,78%"
"06.09.2019","770,00","771,00","810,00","765,00","0,67K","0,65%"
"05.09.2019","765,00","776,00","799,00","764,00","0,15K","-0,65%"
"04.09.2019","770,00","769,00","789,00","769,00","0,08K","-0,39%"
"03.09.2019","773,00","782,00","784,00","773,00","0,13K","-0,90%"
"02.09.2019","780,00","790,00","790,00","774,00","0,80K","0,00%"
"30.08.2019","780,00","783,00","783,00","780,00","0,21K","-0,26%"
"29.08.2019","782,00","789,00","789,00","782,00","0,01K","-0,26%"
"28.08.2019","784,00","797,00","797,00","784,00","0,02K","-0,88%"
"27.08.2019","791,00","799,00","799,00","782,00","0,08K","0,00%"
"26.08.2019","791,00","777,00","800,00","774,00","1,59K","2,33%"
"23.08.2019","773,00","776,00","791,00","761,00","0,12K","-2,52%"
"22.08.2019","793,00","787,00","793,00","782,00","0,06K","0,00%"
"21.08.2019","793,00","759,00","797,00","759,00","0,31K","1,67%"
"20.08.2019","780,00","790,00","790,00","754,00","0,06K","-1,02%"
"19.08.2019","788,00","788,00","798,00","788,00","0,04K","-1,01%"
"16.08.2019","796,00","799,00","810,00","796,00","0,22K","0,89%"
"15.08.2019","789,00","798,00","798,00","789,00","0,34K","-1,13%"
"14.08.2019","798,00","792,00","800,00","788,00","0,03K","0,25%"
"13.08.2019","796,00","796,00","797,00","796,00","0,04K","0,89%"
"12.08.2019","789,00","787,00","797,00","787,00","0,08K","-0,50%"
"09.08.2019","793,00","796,00","800,00","792,00","0,30K","1,54%"
"08.08.2019","781,00","787,00","790,00","776,00","0,24K","-0,64%"
"07.08.2019","786,00","786,00","790,00","786,00","0,04K","-0,38%"
"06.08.2019","789,00","791,00","791,00","782,00","0,06K","0,25%"
"05.08.2019","787,00","787,00","794,00","787,00","0,05K","-0,25%"
"02.08.2019","789,00","795,00","795,00","789,00","0,04K","-0,63%"
"01.08.2019","794,00","800,00","800,00","787,00","0,12K","0,38%"
"31.07.2019","791,00","797,00","810,00","790,00","0,28K","-0,50%"
"30.07.2019","795,00","796,00","796,00","787,00","0,02K","0,89%"
"29.07.2019","788,00","799,00","800,00","782,00","0,11K","-0,63%"
"26.07.2019","793,00","790,00","810,00","789,00","0,24K","0,13%"
"25.07.2019","792,00","782,00","800,00","782,00","0,07K","0,25%"
"24.07.2019","790,00","800,00","800,00","787,00","0,35K","-0,63%"
"23.07.2019","795,00","788,00","796,00","787,00","0,04K","1,02%"
"22.07.2019","787,00","792,00","792,00","787,00","0,02K","-1,38%"
"19.07.2019","798,00","792,00","798,00","786,00","0,04K","0,38%"
"18.07.2019","795,00","798,00","799,00","790,00","0,07K","0,51%"
"17.07.2019","791,00","800,00","800,00","791,00","0,13K","0,00%"
"16.07.2019","791,00","800,00","800,00","790,00","0,19K","-0,13%"
"15.07.2019","792,00","800,00","800,00","790,00","0,17K","-0,63%"
"12.07.2019","797,00","797,00","800,00","788,00","0,14K","0,76%"
"11.07.2019","791,00","789,00","820,00","788,00","0,61K","-0,88%"
"10.07.2019","798,00","785,00","800,00","783,00","0,37K","0,13%"
"09.07.2019","797,00","787,00","799,00","785,00","0,11K","0,13%"
"08.07.2019","796,00","781,00","800,00","781,00","0,12K","-0,38%"
"05.07.2019","799,00","800,00","800,00","792,00","0,90K","-0,13%"
"04.07.2019","800,00","800,00","800,00","781,00","0,19K","0,00%"
"03.07.2019","800,00","797,00","800,00","783,00","0,08K","0,76%"
"02.07.2019","794,00","799,00","800,00","774,00","0,22K","-0,38%"
"01.07.2019","797,00","780,00","797,00","780,00","0,09K","-0,38%"
"28.06.2019","800,00","800,00","820,00","796,00","0,50K","0,13%"
"27.06.2019","799,00","797,00","820,00","795,00","2,13K","0,00%"
