"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","30,00","30,16","30,98","29,84","21,75K","0,13%"
"27.12.2019","29,96","30,10","30,16","29,90","2,84K","-0,13%"
"26.12.2019","30,00","30,12","30,14","29,92","2,84K","-0,40%"
"25.12.2019","30,12","30,00","30,12","29,96","1,84K","0,13%"
"24.12.2019","30,08","30,00","31,70","29,40","29,65K","0,13%"
"23.12.2019","30,04","30,02","30,38","29,96","2,46K","-0,07%"
"20.12.2019","30,06","30,38","30,38","29,90","19,47K","0,07%"
"19.12.2019","30,04","29,90","30,36","29,80","24,07K","0,20%"
"18.12.2019","29,98","30,62","31,08","29,98","89,56K","-3,85%"
"17.12.2019","31,18","31,20","31,98","30,40","13,49K","-0,06%"
"16.12.2019","31,20","31,64","31,74","31,10","4,23K","-2,50%"
"13.12.2019","32,00","31,10","32,90","30,94","36,41K","2,96%"
"12.12.2019","31,08","31,74","31,74","31,04","26,68K","-1,96%"
"11.12.2019","31,70","29,64","34,56","29,64","274,80K","6,45%"
"10.12.2019","29,78","29,98","29,98","29,68","6,28K","-0,27%"
"09.12.2019","29,86","29,98","30,00","29,72","3,05K","-0,47%"
"06.12.2019","30,00","30,08","30,50","29,62","18,54K","0,33%"
"05.12.2019","29,90","30,16","30,30","29,24","7,63K","0,61%"
"04.12.2019","29,72","29,94","30,40","29,14","21,25K","-0,60%"
"03.12.2019","29,90","29,98","30,44","29,62","23,15K","-0,80%"
"02.12.2019","30,14","30,94","30,94","29,50","61,83K","-2,77%"
"29.11.2019","31,00","31,68","33,40","30,00","131,55K","-2,08%"
"28.11.2019","31,66","32,30","32,30","31,00","4,74K","-1,12%"
"27.11.2019","32,02","31,64","32,42","31,50","10,11K","1,33%"
"26.11.2019","31,60","32,20","32,28","31,60","20,24K","-1,80%"
"25.11.2019","32,18","32,36","32,50","31,82","25,92K","0,31%"
"22.11.2019","32,08","32,40","32,50","31,90","12,94K","-0,93%"
"21.11.2019","32,38","33,00","33,00","32,38","2,73K","-2,06%"
"20.11.2019","33,06","32,20","33,88","32,02","18,97K","2,99%"
"19.11.2019","32,10","32,34","32,92","31,64","33,68K","0,63%"
"18.11.2019","31,90","34,30","34,30","31,74","173,82K","-5,90%"
"15.11.2019","33,90","32,68","38,00","32,68","207,04K","5,48%"
"14.11.2019","32,14","32,86","33,00","32,10","44,69K","-3,60%"
"13.11.2019","33,34","33,12","33,90","32,20","80,75K","-0,12%"
"12.11.2019","33,38","33,32","33,66","33,04","26,37K","-0,89%"
"11.11.2019","33,68","33,52","33,94","33,20","3,02K","0,48%"
"08.11.2019","33,52","33,62","34,02","33,50","1,75K","-1,12%"
"07.11.2019","33,90","33,88","34,10","33,50","5,08K","0,36%"
"06.11.2019","33,78","33,72","34,46","33,52","7,96K","0,18%"
"05.11.2019","33,72","33,42","34,60","32,80","16,90K","0,84%"
"01.11.2019","33,44","33,20","33,48","33,20","0,88K","-0,30%"
"31.10.2019","33,54","33,40","33,54","33,12","0,18K","0,54%"
"30.10.2019","33,36","34,00","34,00","33,10","2,63K","-1,88%"
"29.10.2019","34,00","33,56","34,00","33,20","7,40K","1,31%"
"28.10.2019","33,56","34,30","34,30","33,52","8,92K","-3,51%"
"25.10.2019","34,78","31,70","35,50","31,00","50,77K","9,10%"
"24.10.2019","31,88","31,78","32,00","31,70","1,82K","0,31%"
"23.10.2019","31,78","32,78","33,40","31,02","15,25K","-2,40%"
"22.10.2019","32,56","32,96","32,96","31,30","14,63K","1,12%"
"21.10.2019","32,20","32,20","32,68","31,20","7,84K","-1,23%"
"18.10.2019","32,60","33,22","33,76","32,12","28,28K","-3,49%"
"17.10.2019","33,78","33,20","33,86","32,76","10,16K","1,75%"
"16.10.2019","33,20","34,00","34,00","32,52","5,67K","-2,30%"
"15.10.2019","33,98","33,32","33,98","32,10","9,28K","1,74%"
"14.10.2019","33,40","33,74","33,90","33,30","2,90K","-0,95%"
"11.10.2019","33,72","33,98","34,20","33,72","8,13K","-0,88%"
"10.10.2019","34,02","34,74","36,00","33,98","39,21K","-2,07%"
"09.10.2019","34,74","33,30","35,98","33,20","22,21K","3,33%"
"08.10.2019","33,62","33,66","34,00","33,30","66,81K","-0,83%"
"07.10.2019","33,90","34,32","34,32","33,60","41,04K","-1,11%"
"04.10.2019","34,28","33,58","34,74","33,58","18,89K","2,27%"
"03.10.2019","33,52","34,00","34,46","33,00","54,81K","-1,93%"
"02.10.2019","34,18","34,90","35,02","34,00","94,79K","-0,81%"
"01.10.2019","34,46","34,70","34,70","34,36","47,11K","-0,75%"
"30.09.2019","34,72","34,70","35,08","34,64","4,56K","0,17%"
"27.09.2019","34,66","34,76","34,80","34,66","1,37K","-0,17%"
"26.09.2019","34,72","35,22","35,22","34,72","5,92K","-1,03%"
"25.09.2019","35,08","35,42","35,50","35,08","0,83K","-2,39%"
"24.09.2019","35,94","34,84","35,96","34,52","23,00K","3,16%"
"23.09.2019","34,84","35,30","35,38","34,84","1,64K","-0,46%"
"20.09.2019","35,00","35,02","35,02","34,80","3,26K","-0,28%"
"19.09.2019","35,10","34,66","36,96","34,64","11,15K","1,27%"
"18.09.2019","34,66","36,48","36,48","34,62","61,31K","-5,51%"
"17.09.2019","36,68","37,00","37,00","36,40","2,07K","-1,71%"
"16.09.2019","37,32","37,00","37,32","37,00","0,17K","-0,43%"
"13.09.2019","37,48","37,30","37,54","36,82","1,59K","0,54%"
"12.09.2019","37,28","37,30","37,88","36,76","8,64K","-1,58%"
"11.09.2019","37,88","37,20","37,90","36,40","19,29K","2,10%"
"10.09.2019","37,10","35,00","37,60","35,00","17,20K","5,22%"
"09.09.2019","35,26","35,02","36,98","34,96","12,60K","-0,68%"
"06.09.2019","35,50","37,62","37,62","35,02","15,54K","-5,69%"
"05.09.2019","37,64","37,00","38,90","36,60","33,60K","3,12%"
"04.09.2019","36,50","36,30","37,18","35,70","32,71K","-0,49%"
"03.09.2019","36,68","32,70","39,00","32,20","107,61K","12,52%"
"02.09.2019","32,60","31,80","33,20","31,20","23,87K","2,58%"
"30.08.2019","31,78","31,60","32,40","31,30","5,88K","-1,12%"
"29.08.2019","32,14","29,70","34,20","29,68","87,67K","8,22%"
"28.08.2019","29,70","29,88","30,10","29,62","4,09K","0,00%"
"27.08.2019","29,70","31,46","31,46","29,42","2,39K","-1,33%"
"26.08.2019","30,10","30,46","30,46","29,40","9,52K","-1,63%"
"23.08.2019","30,60","31,02","31,10","30,20","1,99K","-1,54%"
"22.08.2019","31,08","31,06","31,48","31,04","2,27K","-1,02%"
"21.08.2019","31,40","31,14","31,50","31,04","5,89K","1,03%"
"20.08.2019","31,08","31,58","31,58","31,08","0,49K","-0,38%"
"19.08.2019","31,20","31,60","31,68","31,02","6,93K","-1,58%"
"16.08.2019","31,70","32,20","32,20","31,70","5,13K","0,00%"
"15.08.2019","31,70","32,54","32,54","31,70","8,98K","-2,46%"
"14.08.2019","32,50","33,92","34,48","32,50","13,07K","-4,41%"
"13.08.2019","34,00","34,02","34,84","32,70","61,60K","-0,99%"
"12.08.2019","34,34","34,00","34,90","34,00","19,31K","0,53%"
"09.08.2019","34,16","33,76","34,60","33,18","26,27K","-0,12%"
"08.08.2019","34,20","33,70","34,78","33,18","22,51K","0,94%"
"07.08.2019","33,88","31,38","34,94","31,38","187,70K","7,90%"
"06.08.2019","31,40","30,06","31,40","29,96","52,46K","6,08%"
"05.08.2019","29,60","30,16","30,50","29,56","4,09K","-1,86%"
"02.08.2019","30,16","29,60","30,18","29,52","6,72K","1,62%"
"01.08.2019","29,68","29,62","30,00","29,56","6,65K","-0,27%"
"31.07.2019","29,76","30,92","30,94","29,40","28,64K","-3,75%"
"30.07.2019","30,92","31,00","31,28","30,30","20,34K","0,00%"
"29.07.2019","30,92","31,18","31,60","30,50","104,71K","-1,09%"
"26.07.2019","31,26","31,50","31,64","31,00","0,96K","-0,76%"
"25.07.2019","31,50","31,30","31,70","31,30","0,96K","0,32%"
"24.07.2019","31,40","31,58","31,62","31,40","0,37K","-1,32%"
"23.07.2019","31,82","31,78","31,96","31,14","1,70K","0,38%"
"22.07.2019","31,70","32,98","32,98","31,00","9,03K","-3,88%"
"19.07.2019","32,98","32,20","33,24","30,70","79,81K","4,04%"
"18.07.2019","31,70","33,00","33,00","31,70","56,60K","-4,52%"
"17.07.2019","33,20","33,92","34,28","32,66","136,40K","-3,09%"
"16.07.2019","34,26","33,88","35,70","32,00","148,65K","1,12%"
"15.07.2019","33,88","34,00","34,32","32,06","146,63K","-1,28%"
"12.07.2019","34,32","35,82","36,30","33,12","65,61K","-5,25%"
"11.07.2019","36,22","36,70","37,60","31,98","160,64K","-1,25%"
"10.07.2019","36,68","37,64","37,80","36,00","107,49K","-3,47%"
"09.07.2019","38,00","38,26","38,26","37,66","6,69K","-0,73%"
"08.07.2019","38,28","37,60","40,00","37,00","79,94K","2,13%"
"05.07.2019","37,48","37,98","38,42","36,06","340,89K","-2,65%"
"04.07.2019","38,50","40,00","41,30","37,98","317,48K","-5,41%"
"03.07.2019","40,70","41,56","41,96","39,66","26,91K","-0,93%"
"02.07.2019","41,08","41,00","42,40","40,80","5,19K","-0,68%"
"01.07.2019","41,36","43,00","44,10","41,04","4,23K","0,05%"
"28.06.2019","41,34","43,54","43,70","40,40","15,75K","-6,05%"
"27.06.2019","44,00","43,58","44,78","42,20","11,29K","2,56%"
"26.06.2019","42,90","44,40","45,40","42,16","13,03K","-3,51%"
"25.06.2019","44,46","39,22","45,00","38,70","49,59K","12,16%"
"24.06.2019","39,64","42,40","42,40","38,90","34,76K","-6,73%"
"21.06.2019","42,50","46,00","48,20","42,32","106,63K","-7,41%"
"20.06.2019","45,90","41,10","48,00","40,60","221,88K","12,50%"
"19.06.2019","40,80","33,24","44,06","33,22","153,71K","20,85%"
"18.06.2019","33,76","29,98","34,20","29,10","190,64K","10,33%"
"17.06.2019","30,60","30,46","31,88","30,00","53,96K","0,92%"
"14.06.2019","30,32","32,20","32,30","30,00","33,72K","-6,13%"
"13.06.2019","32,30","29,10","32,86","28,32","75,03K","11,69%"
"11.06.2019","28,92","28,58","33,98","27,80","105,16K","1,19%"
"10.06.2019","28,58","28,46","29,96","27,60","38,91K","-0,42%"
"07.06.2019","28,70","29,52","30,90","28,40","64,07K","-2,38%"
"06.06.2019","29,40","26,18","35,80","25,68","234,78K","13,78%"
"05.06.2019","25,84","26,18","26,54","25,82","20,31K","-0,23%"
"04.06.2019","25,90","24,92","26,54","24,50","9,19K","3,60%"
"03.06.2019","25,00","26,54","26,94","24,96","16,16K","-1,19%"
"31.05.2019","25,30","26,36","26,36","24,90","11,86K","-4,17%"
"30.05.2019","26,40","26,06","26,96","26,06","9,79K","2,48%"
"29.05.2019","25,76","25,98","26,10","25,02","29,01K","0,00%"
"28.05.2019","25,76","24,22","26,30","24,20","25,26K","6,45%"
"27.05.2019","24,20","25,58","25,58","24,20","9,73K","-5,47%"
"24.05.2019","25,60","25,52","26,90","24,92","43,52K","-1,08%"
"23.05.2019","25,88","26,40","26,98","24,98","35,36K","-1,22%"
"22.05.2019","26,20","24,98","26,60","24,94","39,62K","5,05%"
"21.05.2019","24,94","24,44","24,94","24,34","5,62K","3,23%"
"20.05.2019","24,16","24,96","25,00","23,66","20,80K","-2,97%"
"17.05.2019","24,90","24,88","25,48","24,60","21,39K","0,08%"
"16.05.2019","24,88","24,04","24,96","23,84","12,78K","4,36%"
"15.05.2019","23,84","23,32","24,40","22,80","35,00K","0,93%"
"14.05.2019","23,62","22,40","23,62","22,22","35,24K","2,79%"
"13.05.2019","22,98","24,54","26,50","22,98","83,02K","-9,74%"
"10.05.2019","25,46","25,30","27,00","24,40","56,42K","1,84%"
"08.05.2019","25,00","26,44","27,20","24,04","92,54K","0,08%"
"07.05.2019","24,98","23,90","25,96","23,58","91,94K","4,78%"
"06.05.2019","23,84","26,52","26,80","23,54","109,67K","-11,31%"
"03.05.2019","26,88","27,30","27,98","26,52","22,44K","-1,90%"
"02.05.2019","27,40","26,70","28,24","26,50","294,89K","2,39%"
"30.04.2019","26,76","24,80","27,26","24,80","167,89K","7,99%"
"29.04.2019","24,78","24,50","26,40","24,40","47,40K","-0,72%"
"26.04.2019","24,96","23,44","24,96","19,10","364,22K","6,30%"
"25.04.2019","23,48","22,00","23,56","20,10","247,08K","6,73%"
"24.04.2019","22,00","21,24","22,78","20,98","116,22K","3,19%"
"23.04.2019","21,32","20,16","21,60","19,70","151,22K","6,07%"
"22.04.2019","20,10","20,20","21,50","19,30","445,08K","-0,50%"
"19.04.2019","20,20","19,02","20,92","18,64","486,63K","6,09%"
"18.04.2019","19,04","15,90","19,48","15,90","558,95K","18,70%"
"17.04.2019","16,04","15,50","16,58","15,22","34,23K","3,48%"
"16.04.2019","15,50","15,30","15,80","15,30","11,31K","1,84%"
"15.04.2019","15,22","15,36","15,40","15,12","5,12K","-1,17%"
"12.04.2019","15,40","15,48","15,58","15,28","4,05K","-0,77%"
"11.04.2019","15,52","15,38","15,96","15,32","0,53K","-1,02%"
"10.04.2019","15,68","15,66","15,76","15,54","1,71K","0,00%"
"09.04.2019","15,68","15,52","15,84","15,50","4,39K","1,16%"
"08.04.2019","15,50","15,52","15,60","15,38","9,47K","-0,64%"
"05.04.2019","15,60","15,82","16,04","15,50","20,58K","-1,64%"
"04.04.2019","15,86","15,78","16,40","15,62","76,49K","1,54%"
"03.04.2019","15,62","15,42","16,20","15,34","57,30K","1,43%"
"02.04.2019","15,40","15,10","15,58","14,98","8,16K","2,26%"
"01.04.2019","15,06","15,14","16,10","14,22","13,27K","-0,40%"
"29.03.2019","15,12","14,80","16,00","14,72","10,97K","2,44%"
"28.03.2019","14,76","15,14","15,14","14,62","6,38K","-2,38%"
"27.03.2019","15,12","14,96","16,28","13,74","92,43K","0,80%"
"26.03.2019","15,00","14,50","15,66","14,50","32,24K","3,31%"
"25.03.2019","14,52","14,92","15,82","14,12","18,18K","-0,82%"
"22.03.2019","14,64","14,30","15,66","14,08","27,84K","2,38%"
"21.03.2019","14,30","14,74","14,74","14,04","15,00K","-1,92%"
"20.03.2019","14,58","14,48","14,58","14,24","5,40K","-0,55%"
"19.03.2019","14,66","14,90","15,36","14,42","12,05K","-1,21%"
"18.03.2019","14,84","15,08","15,82","14,46","45,94K","-1,85%"
"15.03.2019","15,12","15,26","15,38","14,52","15,83K","0,13%"
"14.03.2019","15,10","15,40","15,76","15,10","8,79K","-4,55%"
"13.03.2019","15,82","15,72","15,88","15,18","21,19K","-0,63%"
"12.03.2019","15,92","14,70","15,92","13,98","55,95K","2,18%"
"11.03.2019","15,58","14,36","16,74","14,02","112,68K","9,72%"
"07.03.2019","14,20","14,22","14,22","14,10","0,35K","0,14%"
"06.03.2019","14,18","14,36","14,36","14,02","9,91K","0,14%"
"05.03.2019","14,16","14,38","14,38","14,02","4,60K","-1,53%"
"04.03.2019","14,38","14,32","14,40","14,02","7,42K","0,28%"
"01.03.2019","14,34","14,36","14,38","14,10","0,71K","0,14%"
"28.02.2019","14,32","13,90","14,36","13,90","4,27K","2,87%"
"27.02.2019","13,92","14,00","14,12","13,86","11,60K","-0,43%"
"26.02.2019","13,98","14,40","14,40","13,98","4,11K","-1,13%"
