"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","319,95","320,95","323,65","319,05","2,96M","-0,02%"
"27.12.2019","320,00","319,50","323,75","319,45","2,13M","0,09%"
"26.12.2019","319,70","318,40","320,45","317,80","1,75M","0,52%"
"25.12.2019","318,05","314,45","318,70","314,00","1,82M","1,29%"
"24.12.2019","314,00","313,25","315,90","312,50","1,62M","-0,02%"
"23.12.2019","314,05","313,60","317,40","313,25","2,23M","0,11%"
"20.12.2019","313,70","312,95","313,70","310,30","1,92M","0,45%"
"19.12.2019","312,30","313,60","316,50","310,70","3,87M","-0,49%"
"18.12.2019","313,85","310,80","316,45","310,00","2,78M","0,85%"
"17.12.2019","311,20","307,05","311,20","307,00","2,55M","1,42%"
"16.12.2019","306,85","305,20","309,70","304,70","2,32M","0,80%"
"13.12.2019","304,40","305,95","306,60","303,05","2,86M","-0,23%"
"12.12.2019","305,10","306,20","308,95","305,00","3,19M","-0,03%"
"11.12.2019","305,20","302,60","305,85","302,40","1,22M","0,93%"
"10.12.2019","302,40","303,10","304,30","301,25","1,55M","-0,03%"
"09.12.2019","302,50","300,80","305,00","300,40","2,24M","0,57%"
"06.12.2019","300,80","304,00","304,00","300,80","2,49M","-1,09%"
"05.12.2019","304,10","302,25","305,70","301,25","2,93M","0,16%"
"04.12.2019","303,60","302,85","305,55","300,40","1,45M","0,16%"
"03.12.2019","303,10","306,00","306,15","299,60","2,61M","-0,90%"
"02.12.2019","305,85","304,50","307,55","304,45","1,51M","0,44%"
"29.11.2019","304,50","305,95","306,25","303,70","1,47M","-0,72%"
"28.11.2019","306,70","306,30","306,70","304,00","1,09M","0,11%"
"27.11.2019","306,35","305,30","308,45","304,00","3,52M","0,61%"
"26.11.2019","304,50","309,10","310,40","304,50","4,94M","-1,30%"
"25.11.2019","308,50","313,50","318,55","308,00","6,93M","1,10%"
"22.11.2019","305,15","307,00","308,60","304,95","1,32M","-0,28%"
"21.11.2019","306,00","306,45","306,45","304,00","1,57M","-0,03%"
"20.11.2019","306,10","304,70","308,70","303,90","2,89M","0,20%"
"19.11.2019","305,50","297,50","306,00","297,50","2,76M","2,71%"
"18.11.2019","297,45","300,65","302,00","295,20","1,57M","-0,92%"
"15.11.2019","300,20","298,50","301,25","297,35","1,30M","0,98%"
"14.11.2019","297,30","299,00","301,00","297,30","1,11M","-0,44%"
"13.11.2019","298,60","298,65","300,20","296,50","1,54M","-0,30%"
"12.11.2019","299,50","299,00","303,95","298,50","2,50M","0,57%"
"11.11.2019","297,80","299,55","299,55","295,85","1,48M","-0,83%"
"08.11.2019","300,30","299,00","303,30","297,00","3,13M","0,23%"
"07.11.2019","299,60","292,90","299,80","291,80","4,29M","2,67%"
"06.11.2019","291,80","289,45","291,90","287,75","1,93M","0,71%"
"05.11.2019","289,75","287,00","290,60","286,80","2,27M","1,21%"
"01.11.2019","286,30","285,00","287,85","284,90","1,87M","0,46%"
"31.10.2019","285,00","289,00","289,25","283,60","2,24M","-0,96%"
"30.10.2019","287,75","286,50","288,90","284,90","4,47M","0,16%"
"29.10.2019","287,30","286,35","287,30","283,25","2,48M","0,56%"
"28.10.2019","285,70","278,65","286,60","277,90","4,92M","2,53%"
"25.10.2019","278,65","276,90","280,00","273,30","5,64M","1,24%"
"24.10.2019","275,25","271,15","281,35","270,35","6,77M","1,59%"
"23.10.2019","270,95","269,90","271,15","267,75","1,95M","0,24%"
"22.10.2019","270,30","267,50","271,25","266,65","2,58M","1,24%"
"21.10.2019","267,00","269,50","269,50","266,00","2,86M","-0,78%"
"18.10.2019","269,10","265,55","269,50","264,90","3,41M","1,41%"
"17.10.2019","265,35","266,50","267,80","264,15","3,06M","-0,90%"
"16.10.2019","267,75","267,00","268,25","267,00","933,66K","0,09%"
"15.10.2019","267,50","265,10","268,30","263,45","1,70M","0,75%"
"14.10.2019","265,50","268,00","268,75","265,00","1,75M","-0,93%"
"11.10.2019","268,00","265,30","268,60","265,10","3,15M","-1,74%"
"10.10.2019","272,75","269,70","272,75","268,65","5,28M","1,53%"
"09.10.2019","268,65","261,00","270,85","261,00","12,47M","2,97%"
