"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","143,72","143,36","143,98","142,50","3,60M","0,21%"
"27.12.2019","143,42","143,00","144,68","142,64","3,66M","0,28%"
"26.12.2019","143,02","141,88","143,10","140,88","2,41M","0,86%"
"25.12.2019","141,80","142,44","142,44","141,06","1,21M","-0,11%"
"24.12.2019","141,96","142,80","143,16","141,62","1,68M","-0,41%"
"23.12.2019","142,54","142,30","143,50","141,36","3,81M","0,06%"
"20.12.2019","142,46","142,18","142,62","140,14","5,50M","0,76%"
"19.12.2019","141,38","139,90","142,70","138,76","11,45M","1,06%"
"18.12.2019","139,90","139,02","139,90","138,10","6,00M","0,36%"
"17.12.2019","139,40","139,20","139,90","137,12","7,79M","0,17%"
"16.12.2019","139,16","137,56","139,60","137,56","7,70M","0,91%"
"13.12.2019","137,90","136,10","137,98","135,90","12,89M","1,80%"
"12.12.2019","135,46","134,00","136,82","133,72","7,87M","1,17%"
"11.12.2019","133,90","132,80","135,00","132,46","7,40M","0,83%"
"10.12.2019","132,80","133,00","133,18","131,52","4,59M","-0,03%"
"09.12.2019","132,84","132,98","133,58","132,58","4,11M","-0,12%"
"06.12.2019","133,00","132,00","133,00","130,84","5,36M","0,91%"
"05.12.2019","131,80","129,06","132,80","128,04","10,99M","2,28%"
"04.12.2019","128,86","128,68","129,38","127,62","3,30M","0,64%"
"03.12.2019","128,04","131,82","131,92","127,60","10,87M","-2,65%"
"02.12.2019","131,52","129,56","133,26","129,30","12,20M","1,62%"
"29.11.2019","129,42","128,42","129,42","127,70","3,45M","0,87%"
"28.11.2019","128,30","127,82","129,28","126,90","3,48M","0,39%"
"27.11.2019","127,80","128,84","129,38","127,72","4,70M","-0,30%"
"26.11.2019","128,18","130,34","132,46","127,86","11,58M","-2,08%"
"25.11.2019","130,90","128,30","131,10","128,08","5,45M","2,41%"
"22.11.2019","127,82","126,54","128,10","126,14","3,54M","1,06%"
"21.11.2019","126,48","127,94","128,08","126,12","5,67M","-1,39%"
"20.11.2019","128,26","128,06","129,18","127,44","3,35M","-0,25%"
"19.11.2019","128,58","126,96","128,58","126,40","5,15M","1,47%"
"18.11.2019","126,72","127,10","128,22","125,92","4,68M","0,06%"
"15.11.2019","126,64","126,36","127,66","126,10","4,46M","0,56%"
"14.11.2019","125,94","129,12","129,40","125,80","7,80M","-2,52%"
"13.11.2019","129,20","129,44","129,66","127,68","3,99M","-0,08%"
"12.11.2019","129,30","128,70","130,10","128,04","3,70M","0,28%"
"11.11.2019","128,94","130,80","132,50","128,60","5,46M","-1,60%"
"08.11.2019","131,04","133,00","133,10","130,84","6,21M","-1,64%"
"07.11.2019","133,22","131,46","133,70","129,92","8,79M","1,54%"
"06.11.2019","131,20","129,00","131,60","129,00","8,40M","1,69%"
"05.11.2019","129,02","127,00","129,02","126,74","7,20M","2,28%"
"01.11.2019","126,14","125,64","126,14","124,32","5,16M","0,88%"
"31.10.2019","125,04","127,44","129,00","125,04","7,91M","-1,93%"
"30.10.2019","127,50","129,20","129,20","126,90","4,51M","-1,32%"
"29.10.2019","129,20","124,94","129,20","124,26","8,66M","3,81%"
"28.10.2019","124,46","123,20","125,66","122,70","5,69M","0,84%"
"25.10.2019","123,42","125,00","125,00","122,16","9,69M","-1,26%"
"24.10.2019","125,00","126,00","126,50","124,32","7,56M","-0,79%"
"23.10.2019","126,00","126,62","127,16","124,98","5,79M","-0,49%"
"22.10.2019","126,62","126,60","127,46","125,28","5,22M","0,02%"
"21.10.2019","126,60","129,00","129,48","125,72","6,41M","-1,71%"
"18.10.2019","128,80","129,50","129,78","127,60","5,07M","-0,46%"
"17.10.2019","129,40","128,66","129,80","128,16","4,29M","0,65%"
"16.10.2019","128,56","125,70","129,02","125,60","5,64M","2,42%"
"15.10.2019","125,52","129,50","129,50","124,30","10,40M","-2,74%"
"14.10.2019","129,06","130,84","131,50","128,14","5,11M","-0,75%"
"11.10.2019","130,04","131,20","131,20","129,84","4,01M","-0,69%"
"10.10.2019","130,94","128,32","131,54","127,16","5,51M","2,30%"
"09.10.2019","128,00","128,08","129,26","127,38","7,52M","-2,72%"
"08.10.2019","131,58","131,96","133,14","130,70","6,70M","0,12%"
"07.10.2019","131,42","132,44","132,98","129,74","8,41M","-0,35%"
"04.10.2019","131,88","134,20","135,20","130,90","8,52M","-1,58%"
"03.10.2019","134,00","136,60","136,62","133,10","11,60M","-1,83%"
"02.10.2019","136,50","140,60","140,82","136,06","11,48M","-2,92%"
"01.10.2019","140,60","142,30","142,56","140,32","4,26M","-1,14%"
"30.09.2019","142,22","142,42","142,56","140,42","3,70M","0,17%"
