"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","1.262,00","1.269,40","1.269,40","1.260,20","268,29K","-0,54%"
"27.12.2019","1.268,80","1.272,00","1.274,20","1.252,60","558,54K","-0,02%"
"26.12.2019","1.269,00","1.270,00","1.272,80","1.256,20","236,46K","0,05%"
"25.12.2019","1.268,40","1.264,20","1.273,80","1.251,20","188,77K","0,38%"
"24.12.2019","1.263,60","1.274,40","1.277,20","1.257,00","322,11K","-0,85%"
"23.12.2019","1.274,40","1.288,40","1.292,60","1.271,60","569,89K","-1,39%"
"20.12.2019","1.292,40","1.294,60","1.300,40","1.276,80","898,55K","-0,15%"
"19.12.2019","1.294,40","1.289,60","1.302,80","1.283,20","969,07K","0,43%"
"18.12.2019","1.288,80","1.279,20","1.288,80","1.274,00","664,22K","0,75%"
"17.12.2019","1.279,20","1.290,00","1.291,60","1.269,80","823,10K","-0,37%"
"16.12.2019","1.284,00","1.261,80","1.285,20","1.252,20","515,83K","1,94%"
"13.12.2019","1.259,60","1.260,00","1.265,80","1.249,20","717,89K","0,29%"
"12.12.2019","1.256,00","1.251,00","1.268,00","1.245,40","1,04M","0,83%"
"11.12.2019","1.245,60","1.250,00","1.261,00","1.245,00","568,61K","-0,26%"
"10.12.2019","1.248,80","1.260,40","1.264,60","1.245,60","556,20K","-1,09%"
"09.12.2019","1.262,60","1.267,20","1.267,80","1.256,20","647,23K","0,61%"
"06.12.2019","1.255,00","1.253,60","1.268,00","1.249,00","652,91K","0,29%"
"05.12.2019","1.251,40","1.276,00","1.276,00","1.250,00","715,58K","-1,54%"
"04.12.2019","1.271,00","1.250,00","1.276,40","1.236,20","951,04K","1,68%"
"03.12.2019","1.250,00","1.257,00","1.264,80","1.248,80","424,80K","-0,67%"
"02.12.2019","1.258,40","1.269,80","1.274,00","1.256,80","590,00K","-0,73%"
"29.11.2019","1.267,60","1.273,20","1.276,60","1.260,00","453,54K","-0,41%"
"28.11.2019","1.272,80","1.271,60","1.278,80","1.252,60","501,67K","0,30%"
"27.11.2019","1.269,00","1.290,00","1.295,00","1.256,20","1,50M","-0,86%"
"26.11.2019","1.280,00","1.308,00","1.309,80","1.272,00","949,67K","-2,20%"
"25.11.2019","1.308,80","1.309,80","1.315,20","1.299,00","417,88K","-0,05%"
"22.11.2019","1.309,40","1.302,80","1.321,60","1.300,40","658,54K","0,51%"
"21.11.2019","1.302,80","1.305,00","1.306,80","1.295,20","389,62K","-0,17%"
"20.11.2019","1.305,00","1.314,00","1.315,60","1.298,00","506,00K","-0,70%"
"19.11.2019","1.314,20","1.315,00","1.327,80","1.305,00","650,15K","0,34%"
"18.11.2019","1.309,80","1.335,00","1.342,60","1.306,20","566,21K","-1,84%"
"15.11.2019","1.334,40","1.332,40","1.346,00","1.315,80","672,16K","0,21%"
"14.11.2019","1.331,60","1.349,00","1.356,40","1.319,40","577,31K","-1,44%"
"13.11.2019","1.351,00","1.351,20","1.356,60","1.340,20","365,59K","-0,09%"
"12.11.2019","1.352,20","1.353,80","1.368,80","1.350,00","552,50K","0,24%"
"11.11.2019","1.349,00","1.360,00","1.362,00","1.348,80","594,95K","-1,03%"
"08.11.2019","1.363,00","1.375,00","1.382,00","1.351,00","708,29K","-1,23%"
"07.11.2019","1.380,00","1.372,60","1.380,00","1.357,80","583,76K","0,47%"
"06.11.2019","1.373,60","1.374,00","1.374,20","1.365,00","477,02K","-0,06%"
"05.11.2019","1.374,40","1.367,00","1.377,20","1.357,00","597,95K","0,76%"
"01.11.2019","1.364,00","1.360,00","1.367,00","1.350,00","478,75K","0,29%"
"31.10.2019","1.360,00","1.368,20","1.372,80","1.347,40","593,80K","-0,37%"
"30.10.2019","1.365,00","1.358,00","1.365,60","1.345,40","846,95K","0,41%"
"29.10.2019","1.359,40","1.339,80","1.359,40","1.336,20","598,87K","1,30%"
"28.10.2019","1.342,00","1.343,00","1.353,60","1.335,00","581,39K","-0,07%"
"25.10.2019","1.343,00","1.359,00","1.359,00","1.313,40","853,54K","-1,24%"
"24.10.2019","1.359,80","1.339,20","1.359,80","1.332,00","511,73K","1,48%"
"23.10.2019","1.340,00","1.345,60","1.349,20","1.337,00","259,41K","-0,59%"
"22.10.2019","1.348,00","1.330,60","1.348,00","1.319,40","431,78K","1,31%"
"21.10.2019","1.330,60","1.335,20","1.339,00","1.324,00","402,85K","-0,46%"
"18.10.2019","1.336,80","1.345,20","1.355,00","1.335,60","312,99K","-1,12%"
"17.10.2019","1.352,00","1.362,00","1.363,40","1.343,60","368,07K","-0,59%"
"16.10.2019","1.360,00","1.337,00","1.360,00","1.337,00","621,97K","1,72%"
"15.10.2019","1.337,00","1.322,60","1.339,00","1.316,40","367,60K","0,88%"
"14.10.2019","1.325,40","1.328,00","1.348,20","1.321,00","367,86K","-0,66%"
"11.10.2019","1.334,20","1.326,60","1.348,40","1.311,20","469,42K","0,77%"
"10.10.2019","1.324,00","1.299,20","1.325,00","1.291,60","330,11K","1,91%"
