"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","970,88","963,48","971,28","958,98","367,82K","0,42%"
"27.12.2019","966,78","954,88","966,78","953,48","251,21K","1,21%"
"26.12.2019","955,18","944,39","959,48","941,29","133,34K","1,14%"
"25.12.2019","944,39","948,89","948,89","939,89","58,06K","0,07%"
"24.12.2019","943,69","951,38","951,78","938,19","106,88K","0,03%"
"23.12.2019","943,39","935,99","957,88","935,99","309,12K","0,95%"
"20.12.2019","934,49","949,89","957,78","930,99","315,52K","-1,41%"
"19.12.2019","947,89","966,68","973,38","945,59","456,21K","-1,97%"
"18.12.2019","966,98","969,88","978,88","957,98","372,70K","-0,32%"
"17.12.2019","970,08","984,78","992,68","966,08","353,85K","-0,68%"
"16.12.2019","976,68","979,88","987,88","971,88","235,70K","0,11%"
"13.12.2019","975,58","990,98","1.021,08","964,98","435,72K","-2,04%"
"12.12.2019","995,88","1.004,88","1.017,18","995,88","240,73K","-0,35%"
"11.12.2019","999,38","979,88","1.004,88","977,88","183,99K","1,99%"
"10.12.2019","979,88","996,38","999,68","977,18","229,91K","-2,09%"
"09.12.2019","1.000,78","1.006,08","1.006,88","993,08","149,00K","-0,27%"
"06.12.2019","1.003,48","1.008,18","1.008,58","991,38","236,44K","-0,73%"
"05.12.2019","1.010,88","1.004,88","1.017,78","996,68","593,69K","0,71%"
"04.12.2019","1.003,78","998,88","1.016,68","982,08","594,77K","0,90%"
"03.12.2019","994,78","972,28","999,38","967,88","412,22K","2,05%"
"02.12.2019","974,78","964,68","974,78","960,08","206,86K","0,94%"
"29.11.2019","965,68","960,18","965,68","953,48","173,71K","0,60%"
"28.11.2019","959,88","959,88","965,88","953,88","111,13K","-0,52%"
"27.11.2019","964,88","952,88","964,88","948,89","301,97K","1,21%"
"26.11.2019","953,38","953,78","960,48","942,79","1,10M","0,16%"
"25.11.2019","951,88","954,48","955,88","941,29","197,72K","-0,27%"
"22.11.2019","954,48","953,38","962,68","948,99","292,16K","0,12%"
"21.11.2019","953,38","966,88","966,88","951,88","216,65K","-1,34%"
"20.11.2019","966,28","970,88","980,98","963,88","193,42K","-0,50%"
"19.11.2019","971,18","982,88","993,18","964,08","382,82K","-1,12%"
"18.11.2019","982,18","965,38","982,18","961,28","249,81K","1,80%"
"15.11.2019","964,78","972,68","987,78","962,78","301,29K","-1,03%"
"14.11.2019","974,78","988,38","996,88","968,68","219,62K","-1,24%"
"13.11.2019","986,98","964,88","987,68","959,98","345,00K","2,77%"
"12.11.2019","960,38","964,88","964,88","946,19","303,65K","-0,47%"
"11.11.2019","964,88","988,38","1.002,38","961,28","489,91K","-2,33%"
"08.11.2019","987,88","999,88","1.009,58","966,88","419,69K","-1,11%"
"07.11.2019","998,98","1.039,67","1.039,87","996,28","513,05K","-3,48%"
"06.11.2019","1.034,97","1.012,88","1.034,97","1.012,88","348,61K","1,62%"
"05.11.2019","1.018,48","1.049,37","1.059,87","1.011,68","348,12K","-2,56%"
"01.11.2019","1.045,27","1.047,97","1.063,57","1.024,88","231,56K","-0,63%"
"31.10.2019","1.051,87","1.027,28","1.055,87","1.027,28","305,74K","1,99%"
"30.10.2019","1.031,38","1.013,88","1.031,38","1.003,18","268,84K","1,65%"
"29.10.2019","1.014,68","1.005,78","1.014,68","988,98","444,79K","1,29%"
"28.10.2019","1.001,78","993,88","1.013,98","992,88","220,26K","0,33%"
"25.10.2019","998,48","1.016,48","1.016,48","987,88","328,17K","-1,47%"
"24.10.2019","1.013,38","980,18","1.013,38","975,88","478,24K","3,44%"
"23.10.2019","979,68","975,68","979,68","962,68","267,68K","0,41%"
"22.10.2019","975,68","984,08","984,08","967,88","249,06K","-0,32%"
"21.10.2019","978,78","959,88","979,88","959,88","286,47K","1,18%"
"18.10.2019","967,38","961,18","974,18","952,88","263,31K","0,71%"
"17.10.2019","960,58","949,69","965,38","936,59","295,52K","1,35%"
"16.10.2019","947,79","932,59","951,58","930,29","316,41K","1,16%"
"15.10.2019","936,89","936,29","954,68","930,39","391,45K","0,21%"
"14.10.2019","934,89","925,49","937,89","916,89","158,11K","0,99%"
"11.10.2019","925,69","918,99","943,49","915,59","454,39K","0,73%"
"10.10.2019","918,99","927,89","933,89","917,39","226,93K","-1,07%"
"09.10.2019","928,89","939,69","954,28","927,99","396,23K","-1,00%"
"08.10.2019","938,29","900,99","939,29","900,99","382,30K","2,84%"
"07.10.2019","912,39","907,59","918,29","903,19","248,85K","0,92%"
"04.10.2019","904,09","909,69","911,49","897,89","215,98K","-0,08%"
"03.10.2019","904,79","915,99","915,99","894,99","223,16K","-0,66%"
"02.10.2019","910,79","908,19","918,39","902,79","273,64K","0,10%"
"01.10.2019","909,89","903,49","910,79","884,89","574,73K","-0,30%"
"30.09.2019","912,59","907,99","918,89","896,99","323,06K","0,26%"
"27.09.2019","910,19","931,89","933,79","905,59","429,98K","-2,95%"
"26.09.2019","937,89","929,89","938,49","921,79","252,45K","0,64%"
"25.09.2019","931,89","927,69","939,59","925,99","276,45K","0,44%"
"24.09.2019","927,79","921,89","937,59","918,99","392,17K","0,92%"
"23.09.2019","919,29","919,99","923,69","910,39","330,19K","-0,02%"
"20.09.2019","919,49","911,39","921,69","908,79","240,31K","0,89%"
"19.09.2019","911,39","915,19","923,99","904,89","347,00K","-1,46%"
"18.09.2019","924,89","916,89","924,89","905,69","259,33K","0,71%"
"17.09.2019","918,39","903,29","918,39","891,09","426,54K","1,16%"
"16.09.2019","907,89","914,79","918,29","893,49","572,35K","-0,87%"
"13.09.2019","915,89","935,59","935,79","906,99","469,64K","-2,56%"
"12.09.2019","939,99","931,89","945,79","929,99","310,60K","0,33%"
"11.09.2019","936,89","914,89","939,29","912,89","297,56K","1,63%"
"10.09.2019","921,89","922,09","922,09","889,99","457,92K","-0,51%"
"09.09.2019","926,59","937,89","938,79","922,49","381,53K","-1,31%"
"06.09.2019","938,89","936,09","943,39","925,09","626,07K","-1,04%"
"05.09.2019","948,79","960,48","973,98","930,49","730,55K","-2,34%"
"04.09.2019","971,48","974,88","977,88","961,88","581,07K","0,00%"
"03.09.2019","971,48","949,19","977,88","943,79","751,79K","2,38%"
"02.09.2019","948,89","964,88","964,98","936,39","563,37K","-1,63%"
"30.08.2019","964,58","958,88","965,38","922,79","983,61K","0,29%"
"29.08.2019","961,78","971,88","986,18","954,98","511,99K","-0,84%"
"28.08.2019","969,88","954,78","969,88","938,19","940,17K","0,04%"
"27.08.2019","969,48","923,79","969,48","916,59","1,53M","5,97%"
"26.08.2019","914,89","902,99","924,59","897,99","335,01K","2,23%"
"23.08.2019","894,89","889,69","902,29","880,49","256,30K","1,02%"
"22.08.2019","885,89","884,89","890,59","877,19","207,31K","0,67%"
"21.08.2019","879,99","891,89","891,99","876,29","317,39K","-1,08%"
"20.08.2019","889,59","874,89","894,49","871,89","187,68K","2,03%"
"19.08.2019","871,89","869,79","878,89","866,70","335,98K","0,92%"
"16.08.2019","863,90","867,69","874,89","833,90","446,45K","0,00%"
"15.08.2019","863,90","854,90","868,79","853,90","307,72K","1,65%"
"14.08.2019","849,90","838,90","860,90","820,70","328,64K","2,16%"
"13.08.2019","831,90","864,90","869,29","825,20","791,40K","-2,47%"
"12.08.2019","853,00","839,40","853,90","827,90","254,98K","2,12%"
"09.08.2019","835,30","837,00","848,40","832,50","415,37K","0,75%"
"08.08.2019","829,10","836,10","843,90","823,40","347,61K","-0,43%"
"07.08.2019","832,70","808,90","841,10","808,90","568,84K","3,42%"
"06.08.2019","805,20","788,90","815,80","788,40","385,93K","2,55%"
"05.08.2019","785,20","790,90","796,30","782,21","370,58K","0,37%"
"02.08.2019","782,31","769,11","789,80","765,21","302,39K","2,38%"
"01.08.2019","764,11","765,71","768,91","747,51","264,82K","-0,79%"
"31.07.2019","770,21","780,21","780,21","765,71","320,48K","-1,14%"
"30.07.2019","779,11","783,31","783,91","771,41","206,89K","-0,05%"
"29.07.2019","779,51","781,41","791,80","778,91","221,53K","-0,94%"
"26.07.2019","786,90","803,90","804,70","780,31","269,96K","-1,99%"
"25.07.2019","802,90","794,00","809,80","790,30","305,08K","1,13%"
"24.07.2019","793,90","787,80","820,70","775,01","213,52K","1,40%"
"23.07.2019","782,91","789,10","789,20","779,21","260,53K","-0,88%"
"22.07.2019","789,90","788,40","790,40","780,71","295,08K","0,62%"
"19.07.2019","785,01","784,31","793,30","784,11","375,17K","0,77%"
"18.07.2019","779,01","776,71","784,51","771,51","172,87K","0,27%"
"17.07.2019","776,91","773,61","779,41","768,21","315,21K","0,17%"
"16.07.2019","775,61","778,61","778,61","764,61","219,81K","0,35%"
"15.07.2019","772,91","772,51","782,91","769,51","286,86K","0,65%"
"12.07.2019","767,91","771,81","777,21","765,91","199,56K","-0,12%"
"11.07.2019","768,81","776,31","778,81","763,41","323,91K","-0,09%"
"10.07.2019","769,51","786,90","786,90","756,31","1,73M","-3,76%"
"09.07.2019","799,60","825,80","826,10","793,20","519,38K","-3,30%"
"08.07.2019","826,90","821,20","827,50","816,80","246,94K","0,93%"
"05.07.2019","819,30","814,80","824,50","804,50","185,54K","0,58%"
"04.07.2019","814,60","806,10","814,60","801,00","120,61K","0,26%"
"03.07.2019","812,50","806,50","820,00","800,00","189,63K","0,82%"
"02.07.2019","805,90","785,50","805,90","782,21","139,48K","3,07%"
"01.07.2019","781,91","790,10","793,70","781,91","125,82K","-2,59%"
"28.06.2019","802,70","799,90","807,40","796,20","203,62K","0,66%"
"27.06.2019","797,40","787,00","799,40","786,50","156,12K","0,38%"
"26.06.2019","794,40","781,81","794,40","772,91","239,06K","0,61%"
"25.06.2019","789,60","770,81","791,90","770,81","314,17K","2,62%"
"24.06.2019","769,41","759,71","770,21","757,01","243,04K","2,23%"
"21.06.2019","752,61","754,91","763,81","742,21","483,75K","0,70%"
"20.06.2019","747,41","733,01","747,41","731,81","443,79K","2,40%"
"19.06.2019","729,91","729,91","732,51","718,51","170,13K","0,14%"
"18.06.2019","728,91","723,61","731,91","718,51","308,48K","1,36%"
"17.06.2019","719,11","725,41","728,21","719,11","252,05K","-0,98%"
"14.06.2019","726,21","729,01","734,21","725,41","307,78K","-0,33%"
"13.06.2019","728,61","726,91","731,51","723,81","269,37K","0,37%"
"11.06.2019","725,91","717,21","725,91","717,21","302,85K","0,79%"
"10.06.2019","720,21","726,11","726,71","715,31","119,55K","-1,22%"
"07.06.2019","729,11","727,91","729,81","718,81","166,18K","0,33%"
"06.06.2019","726,71","721,91","728,51","717,31","187,48K","0,48%"
"05.06.2019","723,21","722,11","726,41","713,81","149,07K","0,35%"
"04.06.2019","720,71","714,91","721,51","709,11","191,30K","1,18%"
"03.06.2019","712,31","700,02","719,01","699,92","276,86K","1,70%"
"31.05.2019","700,42","681,62","700,42","678,52","313,37K","2,77%"
"30.05.2019","681,52","681,62","682,52","674,92","163,84K","-0,06%"
"29.05.2019","681,92","675,42","684,42","673,62","189,04K","0,29%"
"28.05.2019","679,92","686,72","686,72","668,12","2,62M","-0,42%"
"27.05.2019","682,82","681,72","690,72","678,92","204,12K","0,12%"
