"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"30.12.2019","254,75","252,10","256,00","250,73","43,16M","1,07%"
"27.12.2019","252,06","248,55","252,95","248,55","31,98M","1,54%"
"26.12.2019","248,24","248,20","249,24","246,71","12,99M","0,08%"
"25.12.2019","248,04","248,99","249,30","247,11","7,92M","-0,25%"
"24.12.2019","248,67","248,80","249,89","247,27","21,06M","-0,05%"
"23.12.2019","248,80","244,71","249,19","244,07","24,00M","1,67%"
"20.12.2019","244,71","244,60","245,40","243,72","32,96M","0,29%"
"19.12.2019","244,00","246,20","248,40","243,10","59,95M","-0,89%"
"18.12.2019","246,20","241,30","246,25","240,36","55,77M","1,90%"
"17.12.2019","241,60","241,80","242,96","241,00","33,84M","0,06%"
"16.12.2019","241,45","242,48","242,48","240,13","25,62M","0,10%"
"13.12.2019","241,21","242,00","243,25","241,10","33,16M","0,07%"
"12.12.2019","241,05","242,00","242,30","240,09","36,17M","0,30%"
"11.12.2019","240,32","237,81","241,23","237,70","44,17M","1,01%"
"10.12.2019","237,91","236,60","239,29","236,00","36,10M","0,37%"
"09.12.2019","237,04","235,50","237,50","234,30","31,77M","0,81%"
"06.12.2019","235,14","232,00","235,14","231,55","33,29M","1,48%"
"05.12.2019","231,71","231,89","232,15","229,03","23,21M","0,05%"
"04.12.2019","231,59","230,72","232,24","229,50","24,31M","0,40%"
"03.12.2019","230,66","233,49","234,06","230,13","26,69M","-1,33%"
"02.12.2019","233,77","234,59","236,37","233,00","28,22M","-0,09%"
"29.11.2019","233,98","234,65","235,14","231,97","27,29M","-0,52%"
"28.11.2019","235,20","234,20","235,50","233,10","18,86M","0,42%"
"27.11.2019","234,22","235,26","236,45","233,51","21,89M","-0,33%"
"26.11.2019","235,00","238,08","238,10","234,35","58,34M","-1,25%"
"25.11.2019","237,98","238,68","239,75","237,21","17,56M","-0,06%"
"22.11.2019","238,13","236,59","240,19","236,53","33,57M","0,41%"
"21.11.2019","237,15","237,44","238,00","235,80","24,65M","-0,26%"
"20.11.2019","237,78","238,60","240,20","237,10","28,10M","-0,61%"
"19.11.2019","239,25","237,60","239,82","237,20","29,14M","0,76%"
"18.11.2019","237,45","240,57","241,23","236,36","32,96M","-1,06%"
"15.11.2019","240,00","237,90","240,18","236,45","30,70M","1,05%"
"14.11.2019","237,50","237,62","239,13","236,82","34,33M","0,12%"
"13.11.2019","237,21","238,91","239,57","235,81","31,45M","-1,11%"
"12.11.2019","239,87","241,90","243,74","239,50","35,52M","-0,67%"
"11.11.2019","241,50","239,00","242,40","238,31","27,14M","0,55%"
"08.11.2019","240,17","241,42","241,68","238,70","30,57M","-0,96%"
"07.11.2019","242,50","238,11","242,95","237,71","44,69M","1,46%"
"06.11.2019","239,02","238,42","239,02","236,52","33,41M","0,21%"
"05.11.2019","238,53","239,60","240,98","236,70","43,69M","0,90%"
"01.11.2019","236,40","235,35","236,74","232,80","39,23M","0,64%"
"31.10.2019","234,89","240,70","242,00","234,01","60,32M","-1,93%"
"30.10.2019","239,51","239,69","242,20","237,85","43,60M","-0,25%"
"29.10.2019","240,11","237,10","240,20","236,00","41,49M","1,30%"
"28.10.2019","237,03","240,50","242,33","235,25","39,05M","-1,24%"
"25.10.2019","240,00","242,52","242,77","237,85","49,79M","-1,15%"
"24.10.2019","242,78","239,63","242,78","239,06","40,38M","1,34%"
"23.10.2019","239,57","239,20","240,18","237,76","34,66M","-0,08%"
"22.10.2019","239,77","235,02","239,77","235,00","40,30M","2,06%"
"21.10.2019","234,94","236,00","236,88","234,04","28,46M","-0,26%"
"18.10.2019","235,55","233,20","236,03","232,80","42,73M","0,88%"
"17.10.2019","233,50","230,70","233,50","230,52","46,01M","1,08%"
"16.10.2019","231,00","229,05","231,20","229,05","39,21M","0,70%"
"15.10.2019","229,40","228,78","229,88","227,00","30,76M","0,44%"
"14.10.2019","228,40","230,29","230,67","227,82","34,63M","-0,83%"
"11.10.2019","230,31","229,50","231,20","228,97","37,50M","0,79%"
"10.10.2019","228,50","227,89","228,94","225,62","31,72M","0,35%"
"09.10.2019","227,70","226,03","229,00","225,52","39,71M","0,74%"
"08.10.2019","226,03","227,77","228,18","225,15","31,02M","-0,67%"
"07.10.2019","227,55","223,13","227,80","222,41","40,16M","2,15%"
"04.10.2019","222,76","224,90","226,06","221,87","32,22M","-0,59%"
"03.10.2019","224,08","223,60","225,64","222,61","38,37M","0,26%"
"02.10.2019","223,50","226,05","226,63","223,03","42,44M","-1,32%"
