"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","16.366","16.489","16.524","15.817","186,32K","0,37%"
"30.12.2019","16.305","15.875","16.387","15.804","197,68K","0,65%"
"27.12.2019","16.200","16.334","16.468","16.073","208,17K","0,71%"
"24.12.2019","16.085","15.480","16.475","15.480","193,04K","0,43%"
"23.12.2019","16.016","15.759","16.041","15.479","376,72K","0,01%"
"20.12.2019","16.015","16.001","16.324","15.777","579,80K","-1,14%"
"19.12.2019","16.200","16.316","16.555","16.031","868,83K","-1,75%"
"18.12.2019","16.489","17.379","17.379","16.290","742,14K","-4,41%"
"17.12.2019","17.250","17.000","17.393","16.500","757,02K","2,68%"
"13.12.2019","16.800","16.411","16.998","16.326","1,38M","2,15%"
"12.12.2019","16.446","16.206","16.707","16.102","602,25K","-0,22%"
"11.12.2019","16.482","15.980","16.498","15.980","403,04K","2,36%"
"10.12.2019","16.102","16.193","16.256","15.623","703,71K","1,62%"
"09.12.2019","15.846","15.538","15.945","15.304","569,63K","1,98%"
"06.12.2019","15.538","15.191","15.805","15.138","604,80K","3,04%"
"05.12.2019","15.080","14.901","15.389","14.750","668,80K","-0,07%"
"04.12.2019","15.091","14.792","15.550","14.620","470,50K","1,07%"
"03.12.2019","14.931","15.281","15.787","14.425","772,21K","-0,62%"
"02.12.2019","15.024","15.170","15.280","14.815","892,31K","-1,02%"
"29.11.2019","15.179","15.664","15.664","15.042","444,20K","-2,89%"
"28.11.2019","15.631","16.201","16.499","15.353","450,54K","-1,69%"
"27.11.2019","15.899","15.883","16.256","15.216","448,93K","-0,82%"
"26.11.2019","16.030","16.469","16.500","15.879","593,05K","-1,89%"
"25.11.2019","16.339","16.030","16.497","15.706","701,24K","4,11%"
"22.11.2019","15.694","15.000","15.772","14.684","338,51K","0,43%"
"21.11.2019","15.627","16.028","16.086","15.602","478,45K","-3,24%"
"20.11.2019","16.150","15.898","16.262","15.792","814,07K","1,81%"
"19.11.2019","15.863","15.573","15.895","15.510","552,92K","2,15%"
"18.11.2019","15.529","15.505","15.578","15.400","401,69K","0,19%"
"15.11.2019","15.500","15.400","15.643","14.894","559,73K","0,65%"
"14.11.2019","15.400","15.508","15.560","15.203","609,70K","-0,32%"
"13.11.2019","15.450","15.230","15.575","14.863","382,98K","3,68%"
"12.11.2019","14.901","14.700","15.300","14.700","508,33K","0,48%"
"11.11.2019","14.830","15.037","15.298","14.733","319,70K","-1,85%"
"08.11.2019","15.110","15.450","15.450","14.991","562,26K","-1,56%"
"07.11.2019","15.350","15.798","15.798","15.272","596,69K","-0,73%"
"06.11.2019","15.463","15.600","15.807","15.211","742,65K","-0,31%"
"05.11.2019","15.511","15.157","15.855","14.793","1,08M","2,34%"
"04.11.2019","15.157","14.682","15.237","14.682","159,29K","0,79%"
"01.11.2019","15.038","15.115","15.360","14.656","320,40K","-0,54%"
"31.10.2019","15.120","14.900","15.353","14.647","541,74K","-1,81%"
"30.10.2019","15.398","14.990","15.473","14.541","601,95K","4,46%"
"29.10.2019","14.740","14.993","15.135","14.678","457,45K","-2,21%"
"28.10.2019","15.073","14.855","15.219","14.350","563,40K","1,13%"
"25.10.2019","14.905","15.000","15.200","14.753","354,46K","-1,11%"
"24.10.2019","15.073","14.094","15.099","14.094","1,44M","6,51%"
"23.10.2019","14.152","14.294","14.695","13.904","599,61K","-2,26%"
"22.10.2019","14.479","15.000","15.368","14.400","1,40M","-3,44%"
"21.10.2019","14.995","14.807","15.082","14.807","391,10K","-0,33%"
"18.10.2019","15.045","14.910","15.090","14.750","1,04M","0,51%"
"17.10.2019","14.969","14.583","14.969","14.441","869,17K","3,23%"
"16.10.2019","14.500","13.975","14.656","13.969","568,52K","3,62%"
"15.10.2019","13.993","14.500","14.500","13.956","263,97K","-0,47%"
"14.10.2019","14.059","14.600","14.629","13.893","254,49K","-3,76%"
"11.10.2019","14.609","14.875","14.875","14.449","363,99K","-0,28%"
"10.10.2019","14.650","14.427","14.665","14.349","571,39K","2,06%"
"09.10.2019","14.355","14.173","14.485","14.144","348,10K","2,03%"
"08.10.2019","14.070","14.399","14.487","14.024","281,21K","-1,87%"
"07.10.2019","14.338","14.016","14.338","13.997","181,81K","2,30%"
"04.10.2019","14.016","13.889","14.297","13.858","557,62K","0,96%"
"03.10.2019","13.883","13.873","13.977","13.555","455,00K","-0,34%"
"02.10.2019","13.930","14.335","14.350","13.757","512,18K","-1,37%"
"01.10.2019","14.123","13.652","14.350","13.652","522,16K","0,35%"
"30.09.2019","14.074","14.520","14.996","13.886","335,34K","-0,48%"
"27.09.2019","14.142","14.227","14.474","14.035","265,77K","0,16%"
"26.09.2019","14.119","14.433","14.643","13.954","1,13M","-1,19%"
"25.09.2019","14.289","14.280","14.503","13.980","496,96K","-5,43%"
"23.09.2019","15.109","15.293","15.469","15.005","362,19K","-1,89%"
"20.09.2019","15.400","14.830","15.519","14.830","1,16M","4,38%"
"19.09.2019","14.754","15.050","15.050","14.680","292,44K","-1,64%"
"18.09.2019","15.000","14.890","15.079","14.854","358,38K","0,74%"
"17.09.2019","14.890","15.681","15.724","14.875","666,90K","-5,04%"
"16.09.2019","15.681","16.152","16.385","15.521","320,28K","-1,94%"
"13.09.2019","15.992","15.833","15.992","15.450","277,38K","1,89%"
"12.09.2019","15.695","15.472","15.783","15.472","660,50K","1,82%"
"11.09.2019","15.415","16.027","16.027","15.362","514,34K","-2,56%"
"10.09.2019","15.820","16.233","16.233","15.625","415,85K","-1,96%"
"09.09.2019","16.137","16.540","16.977","15.883","395,53K","-1,62%"
"06.09.2019","16.403","16.628","16.640","16.282","253,66K","-2,36%"
"05.09.2019","16.800","16.354","17.174","16.235","289,24K","2,40%"
"04.09.2019","16.406","16.500","16.500","16.192","452,52K","-0,27%"
"03.09.2019","16.451","16.700","16.769","16.214","219,16K","-0,83%"
"02.09.2019","16.589","16.437","16.664","16.168","378,97K","0,11%"
"30.08.2019","16.571","16.203","16.702","16.120","414,88K","3,11%"
"29.08.2019","16.071","16.160","16.250","15.990","217,35K","-0,18%"
"28.08.2019","16.100","15.717","16.287","15.717","222,64K","2,49%"
"27.08.2019","15.709","16.037","16.037","15.575","244,06K","-1,21%"
"26.08.2019","15.901","15.404","16.059","15.218","206,24K","2,01%"
"23.08.2019","15.587","15.390","15.779","15.390","287,15K","-0,36%"
"22.08.2019","15.643","16.068","16.130","15.499","378,03K","-3,79%"
"21.08.2019","16.259","16.329","16.580","16.097","232,73K","-1,01%"
"20.08.2019","16.425","16.051","16.665","15.899","515,75K","2,33%"
"19.08.2019","16.051","15.249","16.463","15.249","503,17K","0,02%"
"16.08.2019","16.048","15.455","16.086","15.215","768,25K","5,42%"
"15.08.2019","15.223","16.086","16.314","15.172","448,40K","-5,10%"
"14.08.2019","16.041","16.501","16.501","16.035","214,46K","-3,94%"
"13.08.2019","16.699","16.692","17.023","16.575","228,06K","-1,19%"
"12.08.2019","16.900","16.782","16.931","16.579","297,06K","0,70%"
"08.08.2019","16.782","16.728","17.044","16.478","370,29K","2,63%"
"07.08.2019","16.352","16.625","16.900","16.245","430,11K","-0,60%"
"06.08.2019","16.450","16.305","16.654","16.154","173,79K","0,78%"
"05.08.2019","16.322","16.440","16.446","16.124","443,89K","-2,45%"
