"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","20.477","21.100","21.100","20.380","217,56K","-1,86%"
"30.12.2019","20.865","20.900","20.949","20.627","442,55K","1,07%"
"27.12.2019","20.645","20.650","20.878","20.284","360,07K","1,75%"
"24.12.2019","20.290","20.150","20.600","20.150","229,59K","-0,13%"
"23.12.2019","20.316","20.584","20.584","20.216","594,08K","-1,30%"
"20.12.2019","20.583","21.225","21.225","20.503","2,03M","-2,06%"
"19.12.2019","21.016","20.460","21.408","20.460","3,05M","1,32%"
"18.12.2019","20.743","20.795","20.972","20.502","914,18K","0,69%"
"17.12.2019","20.601","20.500","21.193","19.955","2,44M","1,99%"
"13.12.2019","20.200","19.560","20.333","19.511","1,31M","4,12%"
"12.12.2019","19.400","19.455","19.550","19.264","841,85K","-0,28%"
"11.12.2019","19.455","19.000","19.472","19.000","945,39K","1,34%"
"10.12.2019","19.198","19.050","19.246","18.811","1,24M","-0,15%"
"09.12.2019","19.227","19.288","19.322","18.986","689,77K","-0,32%"
"06.12.2019","19.288","19.200","19.568","19.200","1,03M","0,09%"
"05.12.2019","19.270","19.441","19.730","19.209","813,03K","-2,17%"
"04.12.2019","19.697","19.803","19.844","19.420","737,27K","0,83%"
"03.12.2019","19.535","19.887","19.912","19.453","1,43M","-1,28%"
"02.12.2019","19.789","20.290","20.359","19.695","972,48K","-2,50%"
"29.11.2019","20.297","20.385","20.534","19.926","1,12M","-0,28%"
"28.11.2019","20.353","20.809","20.809","20.278","785,46K","-2,19%"
"27.11.2019","20.809","20.975","21.004","20.662","852,71K","0,59%"
"26.11.2019","20.687","21.300","21.460","20.687","3,48M","-3,12%"
"25.11.2019","21.354","22.011","22.011","21.109","952,20K","-1,37%"
"22.11.2019","21.650","21.829","21.914","21.506","631,72K","-1,81%"
"21.11.2019","22.050","22.200","22.500","21.845","1,81M","-0,40%"
"20.11.2019","22.139","21.528","22.149","21.528","980,49K","1,25%"
"19.11.2019","21.865","21.500","21.925","21.363","929,50K","2,15%"
"18.11.2019","21.405","21.493","21.771","21.211","675,33K","-0,41%"
"15.11.2019","21.493","21.650","21.668","21.343","616,41K","-0,03%"
"14.11.2019","21.500","21.500","21.650","21.291","587,96K","0,28%"
"13.11.2019","21.440","21.637","21.709","21.302","934,50K","-0,92%"
"12.11.2019","21.638","21.600","21.919","21.583","1,25M","0,43%"
"11.11.2019","21.546","21.455","21.546","21.220","818,81K","0,21%"
"08.11.2019","21.500","21.609","21.904","21.373","845,96K","-0,67%"
"07.11.2019","21.646","21.400","21.968","21.400","765,19K","-0,73%"
"06.11.2019","21.806","21.682","21.951","21.343","1,06M","0,99%"
"05.11.2019","21.593","21.300","21.779","21.114","1,08M","2,40%"
"04.11.2019","21.086","20.900","21.258","20.504","856,44K","0,93%"
"01.11.2019","20.891","20.501","20.968","20.463","1,02M","1,38%"
"31.10.2019","20.606","20.800","21.149","20.541","1,63M","-0,85%"
"30.10.2019","20.783","21.282","21.448","20.692","1,63M","-1,93%"
"29.10.2019","21.191","21.028","21.485","21.028","1,35M","0,49%"
"28.10.2019","21.088","20.717","21.240","20.548","836,18K","1,41%"
"25.10.2019","20.794","20.909","20.909","20.674","613,49K","0,35%"
"24.10.2019","20.721","20.906","21.199","20.643","796,39K","-0,88%"
"23.10.2019","20.906","20.800","20.945","20.544","633,08K","-0,39%"
"22.10.2019","20.988","21.000","21.174","20.765","981,16K","0,09%"
"21.10.2019","20.970","20.550","20.992","20.441","1,12M","2,04%"
"18.10.2019","20.550","20.429","20.913","20.297","981,88K","0,67%"
"17.10.2019","20.414","20.200","20.610","20.200","1,15M","0,13%"
"16.10.2019","20.387","19.918","20.488","19.798","840,99K","2,24%"
"15.10.2019","19.941","19.894","20.202","19.860","463,97K","0,24%"
"14.10.2019","19.894","19.760","20.022","19.609","612,46K","0,51%"
"11.10.2019","19.794","19.717","19.935","19.446","849,45K","0,15%"
"10.10.2019","19.765","19.313","19.775","18.800","986,69K","2,34%"
"09.10.2019","19.313","19.000","19.360","18.909","790,76K","1,13%"
"08.10.2019","19.098","19.290","19.334","18.931","935,58K","-0,22%"
"07.10.2019","19.140","19.300","19.325","18.950","1,07M","-0,83%"
"04.10.2019","19.300","18.897","19.300","18.897","983,77K","1,69%"
"03.10.2019","18.980","18.895","19.113","18.753","1,07M","1,54%"
"02.10.2019","18.693","19.180","19.180","18.601","904,36K","-2,61%"
"01.10.2019","19.194","18.914","19.306","18.914","778,07K","0,59%"
"30.09.2019","19.081","19.185","19.274","18.847","1,31M","-0,70%"
"27.09.2019","19.216","19.380","19.380","18.949","785,01K","-0,98%"
"26.09.2019","19.406","18.786","19.564","18.690","941,53K","2,92%"
"25.09.2019","18.856","19.281","19.281","18.658","768,39K","-2,33%"
"23.09.2019","19.305","19.100","19.399","18.965","820,29K","0,98%"
"20.09.2019","19.117","19.868","20.000","19.117","2,45M","-4,03%"
"19.09.2019","19.920","20.476","20.489","19.391","3,78M","-1,87%"
"18.09.2019","20.300","20.400","20.655","20.075","1,27M","-1,33%"
"17.09.2019","20.574","20.658","20.690","20.153","1,44M","-0,75%"
"16.09.2019","20.730","20.000","20.740","19.927","2,17M","3,90%"
"13.09.2019","19.952","19.871","20.124","19.811","779,69K","0,41%"
"12.09.2019","19.871","19.727","20.190","19.531","1,15M","0,54%"
