"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","12.063","12.331","12.367","11.996","401,11K","-2,88%"
"30.12.2019","12.421","12.000","12.494","11.999","587,81K","2,17%"
"27.12.2019","12.157","12.000","12.421","11.978","492,37K","1,10%"
"24.12.2019","12.025","12.018","12.149","11.928","205,77K","-1,22%"
"23.12.2019","12.173","12.191","12.333","11.962","653,75K","-0,71%"
"20.12.2019","12.260","12.135","12.447","12.135","1,72M","-0,67%"
"19.12.2019","12.343","12.262","12.480","12.230","3,62M","-1,10%"
"18.12.2019","12.480","12.082","12.480","11.963","1,97M","3,45%"
"17.12.2019","12.064","12.202","12.624","12.064","2,41M","-1,11%"
"13.12.2019","12.200","11.608","12.211","11.603","2,95M","6,13%"
"12.12.2019","11.495","11.440","11.521","11.226","1,18M","1,00%"
"11.12.2019","11.381","11.250","11.450","11.216","793,23K","1,07%"
"10.12.2019","11.260","11.321","11.344","10.955","1,45M","0,04%"
"09.12.2019","11.255","11.423","11.423","11.057","941,49K","-1,20%"
"06.12.2019","11.392","11.456","11.719","11.123","1,89M","-1,27%"
"05.12.2019","11.539","11.350","11.668","11.230","2,32M","1,65%"
"04.12.2019","11.352","11.150","11.387","10.949","2,19M","4,03%"
"03.12.2019","10.912","11.210","11.399","10.869","2,52M","-2,60%"
"02.12.2019","11.203","11.929","11.929","11.192","2,39M","-5,11%"
"29.11.2019","11.806","11.700","11.939","11.602","1,11M","0,61%"
"28.11.2019","11.735","11.999","11.999","11.628","1,73M","-1,62%"
"27.11.2019","11.928","11.931","12.241","11.912","1,17M","0,22%"
"26.11.2019","11.902","12.219","12.478","11.857","3,95M","-3,22%"
"25.11.2019","12.298","12.860","13.079","12.284","1,63M","-4,67%"
"22.11.2019","12.901","12.868","13.083","12.754","846,66K","0,20%"
"21.11.2019","12.875","13.479","13.479","12.615","2,31M","-4,40%"
"20.11.2019","13.468","13.036","13.478","12.915","1,56M","3,31%"
"19.11.2019","13.036","12.641","13.091","12.641","1,33M","1,31%"
"18.11.2019","12.868","13.100","13.332","12.722","1,33M","-2,25%"
"15.11.2019","13.164","13.000","13.239","13.000","1,37M","1,26%"
"14.11.2019","13.000","13.000","13.073","12.813","864,98K","-0,44%"
"13.11.2019","13.058","12.950","13.058","12.650","1,26M","0,65%"
"12.11.2019","12.974","13.199","13.199","12.735","1,67M","2,42%"
"11.11.2019","12.668","12.761","12.761","12.390","1,15M","-0,73%"
"08.11.2019","12.761","12.980","12.980","12.600","736,28K","-0,88%"
"07.11.2019","12.874","13.198","13.272","12.800","1,33M","-2,05%"
"06.11.2019","13.144","13.009","13.191","12.813","1,12M","1,47%"
"05.11.2019","12.953","12.549","13.027","12.545","1,84M","3,22%"
"04.11.2019","12.549","11.805","12.675","11.805","1,67M","5,26%"
"01.11.2019","11.922","11.830","12.241","11.830","771,51K","-0,86%"
"31.10.2019","12.026","12.340","12.363","11.866","1,92M","1,51%"
"30.10.2019","11.847","12.434","12.497","11.821","2,23M","-4,74%"
"29.10.2019","12.437","12.700","12.813","12.303","1,17M","-1,54%"
"28.10.2019","12.632","12.126","12.722","12.126","1,20M","3,54%"
"25.10.2019","12.200","12.376","12.382","12.150","951,18K","-1,21%"
"24.10.2019","12.350","12.307","12.615","12.265","927,37K","0,21%"
"23.10.2019","12.324","12.142","12.426","12.129","856,47K","-1,44%"
"22.10.2019","12.504","12.205","12.583","11.999","1,09M","1,97%"
"21.10.2019","12.263","12.260","12.335","11.993","802,00K","-0,03%"
"18.10.2019","12.267","12.281","12.407","12.219","988,69K","-1,29%"
"17.10.2019","12.427","12.371","12.763","12.309","1,61M","0,33%"
"16.10.2019","12.386","12.000","12.386","11.866","1,78M","2,85%"
"15.10.2019","12.043","12.208","12.355","11.912","1,01M","-1,35%"
"14.10.2019","12.208","12.380","12.446","11.903","759,26K","-0,43%"
"11.10.2019","12.261","11.980","12.389","11.976","1,52M","2,31%"
"10.10.2019","11.984","11.610","11.988","11.585","1,27M","2,59%"
"09.10.2019","11.681","11.662","11.734","11.511","1,61M","0,80%"
"08.10.2019","11.588","11.705","12.229","11.581","3,60M","-0,24%"
"07.10.2019","11.616","11.497","11.616","11.349","1,24M","1,04%"
"04.10.2019","11.497","11.378","11.621","11.378","1,64M","1,05%"
"03.10.2019","11.378","11.310","11.559","11.202","1,91M","-0,19%"
"02.10.2019","11.400","11.440","11.581","11.227","2,12M","-0,83%"
"01.10.2019","11.495","11.411","11.796","11.410","1,68M","0,79%"
"30.09.2019","11.405","11.382","11.515","11.285","1,43M","-0,37%"
"27.09.2019","11.447","11.398","11.718","11.253","2,04M","-1,11%"
"26.09.2019","11.576","11.355","11.744","11.309","2,70M","2,70%"
"25.09.2019","11.272","11.453","11.682","11.148","2,62M","-1,33%"
"23.09.2019","11.424","11.861","12.062","11.386","2,41M","-3,89%"
"20.09.2019","11.886","12.334","12.392","11.631","4,58M","-2,57%"
"19.09.2019","12.200","12.417","12.725","12.099","6,54M","-2,68%"
"18.09.2019","12.536","12.925","12.976","12.463","2,95M","-2,38%"
"17.09.2019","12.842","13.277","13.328","12.727","2,59M","-3,89%"
"16.09.2019","13.362","12.900","13.362","12.680","2,69M","3,18%"
"13.09.2019","12.950","12.563","13.030","12.425","1,93M","3,42%"
"12.09.2019","12.522","12.239","12.820","12.203","2,39M","2,72%"
"11.09.2019","12.191","12.250","12.608","12.017","1,76M","0,63%"
"10.09.2019","12.115","11.739","12.296","11.629","2,07M","2,67%"
"09.09.2019","11.800","11.889","11.991","11.712","1,13M","-0,08%"
"06.09.2019","11.809","11.776","11.980","11.776","1,51M","-1,37%"
"05.09.2019","11.973","11.445","11.973","11.445","2,32M","4,61%"
"04.09.2019","11.445","11.371","11.924","11.219","2,74M","-0,48%"
"03.09.2019","11.500","11.200","11.500","11.143","1,46M","3,14%"
"02.09.2019","11.150","11.485","11.540","11.150","1,59M","-3,19%"
"30.08.2019","11.517","10.800","11.750","10.746","3,94M","6,64%"
"29.08.2019","10.800","10.713","10.875","10.652","1,62M","0,61%"
"28.08.2019","10.735","10.488","10.735","10.372","1,82M","1,52%"
"27.08.2019","10.574","10.319","10.575","10.241","2,07M","2,11%"
"26.08.2019","10.356","10.447","10.679","10.260","1,22M","-0,94%"
"23.08.2019","10.454","10.646","10.646","10.393","2,35M","-2,32%"
"22.08.2019","10.702","10.470","10.969","10.247","3,19M","2,05%"
"21.08.2019","10.487","10.000","10.545","10.000","2,79M","4,77%"
"20.08.2019","10.010","10.150","10.344","9.903","2,56M","-1,35%"
"19.08.2019","10.147","11.230","11.246","10.147","3,16M","-8,30%"
"16.08.2019","11.066","10.700","11.115","10.509","4,89M","4,41%"
"15.08.2019","10.599","10.053","10.689","10.046","5,79M","5,26%"
"14.08.2019","10.069","10.300","10.550","9.931","4,74M","-1,62%"
"13.08.2019","10.235","10.500","10.887","10.057","6,34M","-3,19%"
"12.08.2019","10.572","11.800","11.801","10.250","9,38M","-8,44%"
"08.08.2019","11.547","12.870","12.902","11.547","3,95M","-8,50%"
"07.08.2019","12.620","12.803","12.982","12.554","2,07M","-0,97%"
"06.08.2019","12.743","12.750","12.889","12.743","1,45M","0,34%"
"05.08.2019","12.700","13.100","13.198","12.699","2,19M","-4,16%"
"02.08.2019","13.251","13.100","13.349","12.864","1,90M","-0,93%"
"01.08.2019","13.376","13.293","13.376","13.002","1,74M","1,10%"
"31.07.2019","13.230","13.252","13.428","13.198","1,04M","-0,63%"
"30.07.2019","13.314","13.332","13.434","13.156","997,06K","-0,42%"
"29.07.2019","13.370","12.989","13.396","12.989","1,31M","3,24%"
"26.07.2019","12.950","13.301","13.491","12.950","2,70M","-3,29%"
"25.07.2019","13.390","13.875","13.962","13.354","1,31M","-3,40%"
"24.07.2019","13.861","14.000","14.100","13.830","880,28K","-1,30%"
"23.07.2019","14.044","13.905","14.062","13.905","1,11M","0,43%"
"22.07.2019","13.984","14.050","14.050","13.755","851,63K","-1,17%"
"19.07.2019","14.149","14.277","14.400","14.059","1,05M","-0,18%"
"18.07.2019","14.175","14.000","14.304","13.998","1,06M","1,25%"
"17.07.2019","14.000","14.205","14.406","13.991","1,30M","-2,61%"
"16.07.2019","14.375","14.060","14.429","14.060","1,23M","1,33%"
"15.07.2019","14.186","14.303","14.407","14.068","568,33K","-0,81%"
"12.07.2019","14.302","14.250","14.529","14.250","421,14K","-0,39%"
"11.07.2019","14.358","14.665","14.665","14.348","1,26M","-1,48%"
"10.07.2019","14.573","14.338","14.601","14.272","993,22K","1,60%"
"09.07.2019","14.344","14.666","14.681","14.284","852,02K","-2,12%"
"08.07.2019","14.655","14.582","14.687","14.522","1,06M","-0,01%"
"05.07.2019","14.656","14.770","14.770","14.521","491,73K","-0,43%"
"04.07.2019","14.720","14.800","14.938","14.649","1,40M","-0,71%"
"03.07.2019","14.825","15.025","15.092","14.767","758,47K","-1,63%"
"02.07.2019","15.070","15.280","15.280","14.871","986,69K","-0,61%"
"01.07.2019","15.163","15.060","15.360","14.993","1,05M","1,69%"
"28.06.2019","14.911","15.008","15.124","14.818","820,03K","-0,45%"
"27.06.2019","14.978","15.188","15.201","14.929","949,19K","-0,76%"
"26.06.2019","15.093","15.026","15.210","14.955","911,00K","0,19%"
"25.06.2019","15.064","15.127","15.215","14.918","808,87K","-0,65%"
"24.06.2019","15.162","15.424","15.500","14.925","1,08M","-1,22%"
"21.06.2019","15.350","15.378","15.390","15.177","3,21M","-1,29%"
