"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","13.114","13.050","13.176","13.050","210,26K","0,57%"
"30.12.2019","13.040","12.800","13.040","12.700","547,46K","1,48%"
"27.12.2019","12.850","12.900","13.101","12.777","904,20K","-0,39%"
"24.12.2019","12.900","12.846","12.900","12.635","201,39K","1,70%"
"23.12.2019","12.684","12.975","13.153","12.610","631,32K","-1,59%"
"20.12.2019","12.889","13.130","13.264","12.867","7,74M","-1,84%"
"19.12.2019","13.130","13.495","13.617","13.110","2,97M","-2,41%"
"18.12.2019","13.454","13.611","13.945","13.416","1,64M","-3,17%"
"17.12.2019","13.895","13.730","14.115","13.627","1,32M","1,29%"
"13.12.2019","13.718","14.150","14.150","13.718","991,13K","-1,68%"
"12.12.2019","13.953","13.900","14.153","13.769","1,72M","0,38%"
"11.12.2019","13.900","13.355","13.962","13.355","1,17M","3,41%"
"10.12.2019","13.441","13.501","13.569","13.200","994,65K","-0,83%"
"09.12.2019","13.554","13.501","13.881","13.494","757,64K","0,47%"
"06.12.2019","13.490","13.550","13.625","13.166","1,09M","2,34%"
"05.12.2019","13.182","13.480","13.600","13.182","1,18M","-1,27%"
"04.12.2019","13.352","13.040","13.500","12.456","926,12K","1,15%"
"03.12.2019","13.200","13.481","13.481","13.100","1,04M","-0,75%"
"02.12.2019","13.300","13.200","13.550","13.197","1,17M","-0,25%"
"29.11.2019","13.333","13.630","13.793","13.165","1,56M","-3,51%"
"28.11.2019","13.818","13.750","13.956","13.700","1,53M","-0,59%"
"27.11.2019","13.900","13.606","13.990","13.500","2,46M","2,16%"
"26.11.2019","13.606","13.750","13.780","13.456","3,17M","-0,17%"
"25.11.2019","13.629","13.366","13.800","13.300","738,41K","1,97%"
"22.11.2019","13.366","13.256","13.472","12.826","1,03M","2,74%"
"21.11.2019","13.009","13.500","13.500","12.833","1,18M","-2,87%"
"20.11.2019","13.394","13.200","13.441","13.027","1,68M","2,31%"
"19.11.2019","13.092","12.937","13.145","12.831","964,05K","0,96%"
"18.11.2019","12.968","12.950","13.099","12.750","588,13K","0,92%"
"15.11.2019","12.850","12.999","13.000","12.698","746,92K","0,46%"
"14.11.2019","12.791","12.627","13.030","12.627","826,19K","-1,61%"
"13.11.2019","13.000","12.549","13.099","12.475","1,27M","3,83%"
"12.11.2019","12.521","12.300","12.899","12.300","1,03M","0,12%"
"11.11.2019","12.506","12.625","12.894","12.399","763,50K","-0,94%"
"08.11.2019","12.625","12.700","13.071","12.500","733,90K","-1,76%"
"07.11.2019","12.851","13.116","13.192","12.750","861,96K","0,28%"
"06.11.2019","12.815","12.950","13.419","12.804","729,07K","-2,08%"
"05.11.2019","13.087","12.700","13.157","12.700","1,56M","3,19%"
"04.11.2019","12.682","12.434","12.756","12.200","724,21K","1,99%"
"01.11.2019","12.434","12.400","12.702","12.126","725,33K","0,84%"
"31.10.2019","12.331","12.900","12.900","12.310","1,37M","-2,75%"
"30.10.2019","12.680","12.280","12.694","12.078","1,82M","3,09%"
"29.10.2019","12.300","12.450","12.450","12.160","888,65K","0,27%"
"28.10.2019","12.267","12.227","12.400","12.040","810,84K","2,20%"
"25.10.2019","12.003","12.332","12.396","11.845","1,02M","-1,94%"
"24.10.2019","12.240","11.984","12.378","11.834","1,53M","2,93%"
"23.10.2019","11.891","12.198","12.215","11.833","783,86K","-1,27%"
"22.10.2019","12.044","12.518","12.560","11.981","1,90M","-3,76%"
"21.10.2019","12.515","11.968","12.585","11.813","1,93M","4,62%"
"18.10.2019","11.962","12.089","12.218","11.852","1,94M","-0,94%"
"17.10.2019","12.076","11.834","12.188","11.673","1,45M","2,12%"
"16.10.2019","11.825","11.549","11.843","11.384","1,60M","2,20%"
"15.10.2019","11.571","11.638","11.708","10.860","2,13M","-0,59%"
"14.10.2019","11.640","12.021","12.049","11.602","918,08K","-3,63%"
"11.10.2019","12.079","12.220","12.361","12.063","1,23M","-0,98%"
"10.10.2019","12.198","12.030","12.199","11.966","1,45M","1,62%"
"09.10.2019","12.003","12.060","12.230","11.911","1,27M","-6,71%"
"08.10.2019","12.866","13.088","13.442","12.853","1,82M","-1,44%"
"07.10.2019","13.054","13.039","13.134","12.751","1,33M","2,11%"
"04.10.2019","12.785","12.793","12.974","12.622","2,03M","1,08%"
"03.10.2019","12.648","12.527","12.761","12.338","1,26M","0,93%"
"02.10.2019","12.531","12.405","12.622","12.208","1,58M","0,04%"
"01.10.2019","12.527","12.199","12.615","12.153","985,62K","2,60%"
"30.09.2019","12.209","12.338","12.438","12.083","1,17M","-7,50%"
"27.09.2019","13.198","13.075","13.550","13.023","1,70M","-0,34%"
"26.09.2019","13.243","12.965","13.277","12.866","1,26M","3,71%"
"25.09.2019","12.769","13.000","13.196","12.568","1,56M","-2,46%"
"23.09.2019","13.091","13.229","13.229","12.817","786,92K","-0,03%"
"20.09.2019","13.095","13.126","13.600","13.045","3,46M","0,33%"
"19.09.2019","13.052","13.061","13.200","12.892","3,30M","-0,02%"
"18.09.2019","13.055","13.200","13.437","13.000","882,30K","-1,04%"
"17.09.2019","13.192","13.500","13.800","13.125","1,79M","-2,28%"
"16.09.2019","13.500","13.470","13.696","13.333","1,82M","0,00%"
"13.09.2019","13.500","13.500","13.784","13.336","1,71M","-0,63%"
"12.09.2019","13.585","13.269","13.772","13.269","1,26M","2,69%"
"11.09.2019","13.229","13.331","13.521","13.139","1,49M","0,45%"
"10.09.2019","13.170","13.480","13.480","13.160","1,02M","-2,30%"
"09.09.2019","13.480","13.446","13.514","13.224","755,15K","0,42%"
"06.09.2019","13.424","13.500","13.507","13.169","1,12M","-0,57%"
"05.09.2019","13.501","13.307","13.558","13.191","1,06M","2,39%"
"04.09.2019","13.186","13.436","13.543","13.145","1,62M","-1,32%"
"03.09.2019","13.363","13.293","13.430","13.200","1,10M","-0,62%"
"02.09.2019","13.446","13.676","13.813","13.300","838,31K","-1,26%"
"30.08.2019","13.617","13.285","13.720","13.099","2,15M","3,04%"
"29.08.2019","13.215","13.367","13.671","13.089","1,11M","-1,12%"
"28.08.2019","13.365","13.000","13.365","12.962","1,50M","3,77%"
"27.08.2019","12.880","12.904","13.088","12.800","2,15M","-0,36%"
"26.08.2019","12.926","12.724","13.113","12.438","1,71M","0,74%"
"23.08.2019","12.831","13.375","13.480","12.754","1,93M","-4,28%"
"22.08.2019","13.405","13.616","13.999","13.175","2,60M","-0,30%"
"21.08.2019","13.446","13.675","13.745","13.264","1,47M","-2,03%"
"20.08.2019","13.725","13.730","14.070","13.629","893,64K","-0,59%"
"19.08.2019","13.807","13.777","14.026","13.654","1,07M","1,17%"
"16.08.2019","13.648","13.650","13.831","13.314","1,33M","-0,04%"
"15.08.2019","13.653","13.990","14.225","13.486","1,34M","-0,66%"
