"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","2.211","2.238","2.238","2.211","1,18M","-0,99%"
"30.12.2019","2.233","2.220","2.240","2.213","2,52M","0,59%"
"27.12.2019","2.220","2.235","2.249","2.201","3,18M","0,45%"
"24.12.2019","2.210","2.208","2.224","2.201","2,79M","-0,23%"
"23.12.2019","2.215","2.220","2.235","2.200","4,49M","0,14%"
"20.12.2019","2.212","2.234","2.234","2.210","16,07M","-0,27%"
"19.12.2019","2.218","2.208","2.233","2.208","23,73M","0,27%"
"18.12.2019","2.212","2.195","2.219","2.195","11,41M","0,77%"
"17.12.2019","2.195","2.215","2.244","2.195","11,66M","-1,22%"
"13.12.2019","2.222","2.240","2.277","2.222","17,83M","-0,67%"
"12.12.2019","2.237","2.225","2.272","2.225","4,58M","-0,53%"
"11.12.2019","2.249","2.262","2.280","2.243","7,09M","-0,66%"
"10.12.2019","2.264","2.250","2.270","2.219","6,47M","0,27%"
"09.12.2019","2.258","2.252","2.270","2.231","3,54M","0,18%"
"06.12.2019","2.254","2.248","2.266","2.242","5,44M","0,94%"
"05.12.2019","2.233","2.250","2.270","2.233","6,71M","-0,80%"
"04.12.2019","2.251","2.235","2.270","2.235","4,14M","0,00%"
"03.12.2019","2.251","2.255","2.263","2.243","7,06M","-0,18%"
"02.12.2019","2.255","2.265","2.289","2.231","14,76M","-1,14%"
"29.11.2019","2.281","2.300","2.300","2.256","5,63M","0,04%"
"28.11.2019","2.280","2.300","2.300","2.278","6,30M","-0,04%"
"27.11.2019","2.281","2.255","2.288","2.255","10,93M","1,02%"
"26.11.2019","2.258","2.280","2.304","2.252","22,18M","-0,96%"
"25.11.2019","2.280","2.290","2.309","2.252","5,74M","-0,18%"
"22.11.2019","2.284","2.254","2.309","2.254","6,03M","0,40%"
"21.11.2019","2.275","2.275","2.301","2.272","8,07M","-0,87%"
"20.11.2019","2.295","2.275","2.295","2.250","6,31M","0,88%"
"19.11.2019","2.275","2.255","2.298","2.255","11,05M","-0,52%"
"18.11.2019","2.287","2.271","2.309","2.269","3,68M","0,70%"
"15.11.2019","2.271","2.320","2.320","2.271","3,39M","-0,66%"
"14.11.2019","2.286","2.255","2.306","2.255","4,26M","0,48%"
"13.11.2019","2.275","2.256","2.289","2.255","4,15M","0,26%"
"12.11.2019","2.269","2.297","2.313","2.259","5,96M","-1,22%"
"11.11.2019","2.297","2.308","2.326","2.275","7,26M","-0,52%"
"08.11.2019","2.309","2.247","2.315","2.247","14,47M","2,44%"
"07.11.2019","2.254","2.240","2.283","2.231","7,05M","0,63%"
"06.11.2019","2.240","2.300","2.300","2.224","6,03M","-1,54%"
"05.11.2019","2.275","2.180","2.296","2.180","8,72M","0,44%"
"04.11.2019","2.265","2.248","2.265","2.216","3,76M","2,26%"
"01.11.2019","2.215","2.247","2.247","2.190","6,55M","0,18%"
"31.10.2019","2.211","2.245","2.263","2.202","10,85M","0,45%"
"30.10.2019","2.201","2.202","2.249","2.180","11,85M","-0,05%"
"29.10.2019","2.202","2.201","2.245","2.191","8,15M","-1,26%"
"28.10.2019","2.230","2.275","2.275","2.204","5,95M","0,09%"
"25.10.2019","2.228","2.267","2.267","2.220","5,50M","-1,33%"
"24.10.2019","2.258","2.259","2.285","2.246","5,70M","-0,04%"
"23.10.2019","2.259","2.264","2.288","2.238","5,38M","-1,31%"
"22.10.2019","2.289","2.243","2.289","2.243","6,81M","1,37%"
"21.10.2019","2.258","2.261","2.302","2.236","4,89M","-0,70%"
"18.10.2019","2.274","2.284","2.288","2.258","7,55M","0,35%"
"17.10.2019","2.266","2.293","2.308","2.266","8,95M","-0,83%"
"16.10.2019","2.285","2.262","2.296","2.262","7,06M","0,75%"
"15.10.2019","2.268","2.277","2.305","2.252","6,70M","-0,40%"
"14.10.2019","2.277","2.257","2.281","2.246","2,57M","0,62%"
"11.10.2019","2.263","2.263","2.281","2.254","3,83M","0,76%"
"10.10.2019","2.246","2.232","2.254","2.210","3,94M","0,58%"
"09.10.2019","2.233","2.230","2.285","2.220","5,00M","-0,93%"
"08.10.2019","2.254","2.224","2.261","2.216","9,69M","1,35%"
"07.10.2019","2.224","2.190","2.241","2.190","4,03M","0,23%"
"04.10.2019","2.219","2.180","2.233","2.174","8,19M","2,07%"
"03.10.2019","2.174","2.200","2.214","2.155","8,94M","-1,94%"
"02.10.2019","2.217","2.216","2.245","2.180","6,78M","-4,15%"
"01.10.2019","2.313","2.327","2.338","2.301","5,58M","0,13%"
"30.09.2019","2.310","2.324","2.334","2.304","8,11M","-1,11%"
"27.09.2019","2.336","2.364","2.364","2.317","4,57M","-1,02%"
"26.09.2019","2.360","2.322","2.360","2.317","5,53M","1,77%"
"25.09.2019","2.319","2.348","2.377","2.302","16,49M","-1,44%"
