"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","2.310","2.341","2.350","2.271","82,56K","-1,32%"
"30.12.2019","2.341","2.358","2.358","2.328","54,71K","-0,97%"
"27.12.2019","2.364","2.350","2.375","2.335","34,88K","0,60%"
"24.12.2019","2.350","2.327","2.382","2.312","69,92K","0,04%"
"23.12.2019","2.349","2.358","2.380","2.313","54,90K","-0,38%"
"20.12.2019","2.358","2.373","2.385","2.302","273,82K","-0,67%"
"19.12.2019","2.374","2.389","2.390","2.356","33,35K","-0,46%"
"18.12.2019","2.385","2.380","2.389","2.353","313,34K","-0,21%"
"17.12.2019","2.390","2.350","2.396","2.350","94,37K","0,00%"
"13.12.2019","2.390","2.380","2.399","2.376","76,15K","-0,04%"
"12.12.2019","2.391","2.374","2.391","2.335","337,20K","2,62%"
"11.12.2019","2.330","2.387","2.400","2.312","171,11K","-1,44%"
"10.12.2019","2.364","2.303","2.364","2.303","33,98K","-0,21%"
"09.12.2019","2.369","2.399","2.399","2.283","216,98K","-0,17%"
"06.12.2019","2.373","2.365","2.389","2.335","137,06K","0,30%"
"05.12.2019","2.366","2.439","2.439","2.300","173,12K","0,08%"
"04.12.2019","2.364","2.388","2.440","2.306","45,12K","1,63%"
"03.12.2019","2.326","2.386","2.386","2.273","178,86K","-2,64%"
"02.12.2019","2.389","2.365","2.389","2.333","124,90K","1,23%"
"29.11.2019","2.360","2.440","2.440","2.345","98,00K","0,00%"
"28.11.2019","2.360","2.353","2.388","2.340","150,24K","-0,21%"
"27.11.2019","2.365","2.368","2.384","2.360","258,32K","-0,71%"
"26.11.2019","2.382","2.366","2.382","2.317","55,79K","-0,29%"
"25.11.2019","2.389","2.351","2.395","2.351","136,64K","1,01%"
"22.11.2019","2.365","2.363","2.375","2.322","272,84K","-0,42%"
"21.11.2019","2.375","2.355","2.388","2.351","98,21K","0,21%"
"20.11.2019","2.370","2.390","2.390","2.359","49,15K","-0,25%"
"19.11.2019","2.376","2.388","2.389","2.363","24,74K","-0,54%"
"18.11.2019","2.389","2.356","2.389","2.356","281,94K","1,44%"
"15.11.2019","2.355","2.360","2.385","2.347","202,14K","-0,97%"
"14.11.2019","2.378","2.369","2.400","2.354","305,05K","-0,79%"
"13.11.2019","2.397","2.380","2.397","2.320","88,68K","-0,13%"
"12.11.2019","2.400","2.392","2.413","2.365","965,71K","-0,33%"
"11.11.2019","2.408","2.375","2.433","2.361","867,66K","1,30%"
"08.11.2019","2.377","2.357","2.395","2.357","111,43K","-0,92%"
"07.11.2019","2.399","2.433","2.434","2.359","53,16K","-1,28%"
"06.11.2019","2.430","2.429","2.440","2.397","586,64K","1,17%"
"05.11.2019","2.402","2.458","2.487","2.374","385,53K","-0,33%"
"04.11.2019","2.410","2.440","2.455","2.357","192,01K","-1,83%"
"01.11.2019","2.455","2.450","2.455","2.388","50,61K","0,00%"
"31.10.2019","2.455","2.495","2.495","2.416","556,31K","1,78%"
"30.10.2019","2.412","2.395","2.500","2.364","167,96K","0,37%"
"29.10.2019","2.403","2.399","2.432","2.357","944,47K","0,25%"
"28.10.2019","2.397","2.391","2.399","2.354","811,23K","0,21%"
"25.10.2019","2.392","2.392","2.392","2.341","78,73K","-0,13%"
"24.10.2019","2.395","2.400","2.400","2.301","165,03K","-0,21%"
"23.10.2019","2.400","2.364","2.575","2.355","270,88K","2,00%"
"22.10.2019","2.353","2.340","2.353","2.300","218,94K","0,56%"
"21.10.2019","2.340","2.379","2.379","2.335","146,46K","-1,27%"
"18.10.2019","2.370","2.356","2.379","2.352","973,45K","0,64%"
"17.10.2019","2.355","2.325","2.357","2.325","170,68K","0,21%"
"16.10.2019","2.350","2.301","2.353","2.301","274,27K","2,04%"
"15.10.2019","2.303","2.274","2.315","2.260","193,58K","1,23%"
"14.10.2019","2.275","2.297","2.297","2.273","46,12K","-1,04%"
"11.10.2019","2.299","2.280","2.299","2.268","10,79K","1,73%"
"10.10.2019","2.260","2.175","2.283","2.175","127,53K","-1,01%"
"09.10.2019","2.283","2.283","2.283","2.283","21,68K","-0,74%"
"08.10.2019","2.300","2.200","2.300","2.176","56,82K","1,32%"
"07.10.2019","2.270","2.290","2.310","2.177","69,05K","-1,30%"
"04.10.2019","2.300","2.274","2.310","2.274","587,14K","0,00%"
"03.10.2019","2.300","2.301","2.315","2.275","91,31K","-0,99%"
"02.10.2019","2.323","2.290","2.323","2.289","717,42K","1,44%"
"01.10.2019","2.290","2.310","2.310","2.280","103,52K","-0,43%"
"30.09.2019","2.300","2.300","2.320","2.275","69,97K","0,00%"
"27.09.2019","2.300","2.305","2.305","2.272","530,48K","0,26%"
"26.09.2019","2.294","2.325","2.325","2.270","85,51K","-0,35%"
"25.09.2019","2.302","2.325","2.325","2.301","413,90K","-0,22%"
"23.09.2019","2.307","2.325","2.325","2.280","75,15K","-0,17%"
"20.09.2019","2.311","2.388","2.388","2.282","202,64K","-1,15%"
"19.09.2019","2.338","2.369","2.369","2.313","144,94K","-0,09%"
"18.09.2019","2.340","2.285","2.383","2.285","274,90K","0,65%"
"17.09.2019","2.325","2.285","2.325","2.278","48,19K","2,15%"
"16.09.2019","2.276","2.284","2.338","2.271","110,39K","-1,04%"
"13.09.2019","2.300","2.250","2.388","2.250","219,42K","2,22%"
"12.09.2019","2.250","2.194","2.326","2.194","158,96K","0,67%"
"11.09.2019","2.235","2.196","2.300","2.196","50,58K","1,13%"
"10.09.2019","2.210","2.200","2.250","2.194","246,31K","0,45%"
"09.09.2019","2.200","2.238","2.248","2.194","122,31K","0,09%"
"06.09.2019","2.198","2.210","2.219","2.194","245,30K","-0,09%"
"05.09.2019","2.200","2.225","2.320","2.186","124,50K","-1,12%"
"04.09.2019","2.225","2.209","2.297","2.200","71,60K","1,83%"
"03.09.2019","2.185","2.199","2.253","2.165","256,46K","-0,68%"
"02.09.2019","2.200","2.199","2.250","2.180","577,42K","0,00%"
"30.08.2019","2.200","2.227","2.320","2.174","297,36K","0,14%"
"29.08.2019","2.197","2.131","2.219","2.126","243,10K","3,00%"
"28.08.2019","2.133","2.189","2.189","2.115","267,31K","-1,98%"
"27.08.2019","2.176","2.209","2.228","2.136","145,62K","-0,41%"
"26.08.2019","2.185","2.180","2.320","2.176","22,12K","0,41%"
"23.08.2019","2.176","2.200","2.237","2.111","145,72K","-2,20%"
"22.08.2019","2.225","2.240","2.290","2.185","412,34K","-0,67%"
"21.08.2019","2.240","2.080","2.265","2.080","289,75K","3,51%"
"20.08.2019","2.164","2.100","2.220","2.030","104,10K","-1,81%"
"19.08.2019","2.204","2.240","2.240","2.184","170,29K","-1,17%"
"16.08.2019","2.230","2.299","2.299","2.183","28,23K","-0,22%"
"15.08.2019","2.235","2.245","2.245","2.147","54,53K","-0,53%"
"14.08.2019","2.247","2.261","2.264","2.222","446,31K","0,04%"
"13.08.2019","2.246","2.320","2.340","2.221","149,13K","-1,10%"
"12.08.2019","2.271","2.290","2.341","2.270","211,04K","-1,26%"
"08.08.2019","2.300","2.302","2.305","2.258","639,09K","-2,87%"
"07.08.2019","2.368","2.389","2.389","2.258","61,48K","2,51%"
"06.08.2019","2.310","2.305","2.397","2.305","18,23K","0,43%"
"05.08.2019","2.300","2.359","2.359","2.270","21,49K","-2,42%"
"02.08.2019","2.357","2.312","2.357","2.251","38,30K","2,08%"
"01.08.2019","2.309","2.385","2.439","2.309","26,00K","-3,19%"
"31.07.2019","2.385","2.350","2.412","2.340","34,50K","-0,17%"
"30.07.2019","2.389","2.299","2.424","2.248","504,88K","7,23%"
"29.07.2019","2.228","2.314","2.314","2.181","280,51K","-2,75%"
"26.07.2019","2.291","2.332","2.343","2.290","155,63K","-1,67%"
"25.07.2019","2.330","2.400","2.400","2.330","136,37K","-0,89%"
"24.07.2019","2.351","2.357","2.396","2.300","1,41M","2,80%"
"23.07.2019","2.287","2.330","2.406","2.281","101,49K","-1,51%"
"22.07.2019","2.322","2.430","2.497","2.320","26,33K","0,09%"
"19.07.2019","2.320","2.321","2.339","2.290","87,43K","-1,19%"
"18.07.2019","2.348","2.348","2.348","2.300","10,05K","2,09%"
"17.07.2019","2.300","2.287","2.314","2.280","60,91K","0,57%"
"16.07.2019","2.287","2.301","2.322","2.287","222,77K","-1,42%"
"15.07.2019","2.320","2.335","2.424","2.318","9,68K","0,22%"
"12.07.2019","2.315","2.326","2.350","2.315","143,42K","-2,53%"
"11.07.2019","2.375","2.383","2.415","2.316","80,24K","0,00%"
"10.07.2019","2.375","2.350","2.415","2.316","36,51K","1,06%"
"09.07.2019","2.350","2.349","2.378","2.326","47,45K","0,13%"
"08.07.2019","2.347","2.450","2.450","2.283","70,72K","-1,68%"
"05.07.2019","2.387","2.400","2.499","2.350","5,07K","-1,24%"
"04.07.2019","2.417","2.450","2.458","2.306","126,64K","-1,15%"
"03.07.2019","2.445","2.336","2.450","2.336","145,05K","4,89%"
"02.07.2019","2.331","2.305","2.336","2.175","97,87K","-0,21%"
"01.07.2019","2.336","2.479","2.479","2.324","44,34K","-0,81%"
"28.06.2019","2.355","2.280","2.415","2.250","229,56K","-1,38%"
"27.06.2019","2.388","2.365","2.394","2.280","133,56K","4,97%"
"26.06.2019","2.275","2.365","2.378","2.126","108,69K","-4,37%"
"25.06.2019","2.379","2.408","2.410","2.364","85,15K","0,59%"
"24.06.2019","2.365","2.370","2.451","2.358","123,93K","-2,47%"
"21.06.2019","2.425","2.380","2.425","2.367","274,39K","2,32%"
"20.06.2019","2.370","2.367","2.412","2.367","252,32K","0,13%"
"19.06.2019","2.367","2.412","2.432","2.367","40,69K","-0,13%"
"18.06.2019","2.370","2.369","2.378","2.367","72,13K","0,04%"
"14.06.2019","2.369","2.450","2.450","2.369","38,29K","-1,04%"
"13.06.2019","2.394","2.390","2.414","2.300","136,48K","1,06%"
"12.06.2019","2.369","2.450","2.450","2.361","111,27K","-1,99%"
"11.06.2019","2.417","2.450","2.450","2.377","38,08K","-0,90%"
"10.06.2019","2.439","2.451","2.462","2.419","50,57K","0,16%"
"07.06.2019","2.435","2.406","2.450","2.406","243,04K","0,00%"
"06.06.2019","2.435","2.410","2.435","2.383","814,54K","1,46%"
"05.06.2019","2.400","2.365","2.439","2.350","743,02K","1,65%"
"04.06.2019","2.361","2.350","2.361","2.349","428,13K","0,43%"
"03.06.2019","2.351","2.380","2.380","2.331","138,35K","-0,17%"
"31.05.2019","2.355","2.390","2.390","2.332","482,88K","0,17%"
"30.05.2019","2.351","2.310","2.370","2.310","32,44K","0,00%"
"29.05.2019","2.351","2.360","2.396","2.350","51,27K","-0,76%"
"28.05.2019","2.369","2.350","2.375","2.250","334,57K","0,17%"
"27.05.2019","2.365","2.375","2.375","2.348","2,01M","1,37%"
"24.05.2019","2.333","2.250","2.373","2.250","491,71K","-0,72%"
"23.05.2019","2.350","2.299","2.351","2.180","497,52K","3,25%"
"22.05.2019","2.276","2.195","2.276","2.150","503,62K","6,36%"
"21.05.2019","2.140","2.080","2.198","2.050","629,88K","1,90%"
"20.05.2019","2.100","2.250","2.270","2.001","48,19K","-2,33%"
"17.05.2019","2.150","2.314","2.360","2.063","53,08K","-4,44%"
"16.05.2019","2.250","2.200","2.349","2.176","101,57K","-1,27%"
"15.05.2019","2.279","2.247","2.350","2.143","272,47K","-2,94%"
"14.05.2019","2.348","2.379","2.379","2.276","90,67K","-0,42%"
"13.05.2019","2.358","2.400","2.400","2.310","239,51K","-0,04%"
"10.05.2019","2.359","2.350","2.379","2.335","1,08M","1,03%"
"09.05.2019","2.335","2.345","2.350","2.330","490,98K","-0,60%"
"07.05.2019","2.349","2.350","2.354","2.340","59,75K","-0,04%"
"06.05.2019","2.350","2.330","2.350","2.330","27,76K","0,86%"
"03.05.2019","2.330","2.325","2.354","2.325","472,42K","-0,21%"
"02.05.2019","2.335","2.310","2.350","2.310","23,38K","-0,51%"
"30.04.2019","2.347","2.301","2.349","2.301","16,23K","0,30%"
"29.04.2019","2.340","2.350","2.350","2.309","19,61K","-0,30%"
"26.04.2019","2.347","2.300","2.347","2.295","196,10K","2,04%"
"25.04.2019","2.300","2.325","2.325","2.290","109,51K","-1,03%"
"24.04.2019","2.324","2.325","2.354","2.289","398,27K","-0,04%"
"23.04.2019","2.325","2.301","2.338","2.300","115,70K","1,09%"
"18.04.2019","2.300","2.290","2.334","2.290","169,53K","0,92%"
"17.04.2019","2.279","2.353","2.353","2.279","146,16K","0,00%"
"16.04.2019","2.279","2.349","2.349","2.276","93,23K","-3,19%"
"15.04.2019","2.354","2.346","2.354","2.320","78,42K","0,30%"
"12.04.2019","2.347","2.354","2.372","2.286","140,53K","-0,21%"
"11.04.2019","2.352","2.320","2.380","2.320","108,45K","1,34%"
"10.04.2019","2.321","2.310","2.351","2.276","48,36K","0,43%"
"09.04.2019","2.311","2.300","2.311","2.286","19,83K","0,09%"
"08.04.2019","2.309","2.345","2.345","2.286","16,70K","0,48%"
"05.04.2019","2.298","2.325","2.349","2.276","32,40K","-1,12%"
"04.04.2019","2.324","2.299","2.325","2.284","517,63K","1,00%"
"03.04.2019","2.301","2.230","2.349","2.230","433,07K","3,65%"
"02.04.2019","2.220","2.265","2.265","2.203","40,41K","-1,77%"
"01.04.2019","2.260","2.261","2.307","2.150","704,94K","-1,27%"
"29.03.2019","2.289","2.285","2.292","2.276","89,42K","0,18%"
"28.03.2019","2.285","2.318","2.318","2.268","89,64K","0,22%"
"27.03.2019","2.280","2.200","2.317","2.200","106,10K","1,33%"
"26.03.2019","2.250","2.338","2.460","2.209","262,07K","-2,93%"
"25.03.2019","2.318","2.350","2.375","2.228","247,40K","0,26%"
"22.03.2019","2.312","2.379","2.408","2.311","622,57K","-1,20%"
"20.03.2019","2.340","2.230","2.383","2.220","560,32K","4,74%"
"19.03.2019","2.234","2.298","2.300","2.224","22,92K","-2,23%"
"18.03.2019","2.285","2.200","2.300","2.179","149,33K","5,74%"
"15.03.2019","2.161","2.290","2.300","2.161","302,59K","0,05%"
"14.03.2019","2.160","2.200","2.305","1.955","664,91K","1,65%"
"13.03.2019","2.125","2.005","2.195","2.005","77,09K","5,99%"
"12.03.2019","2.005","2.047","2.048","1.970","171,58K","2,66%"
"11.03.2019","1.953","2.049","2.049","1.953","66,68K","-1,86%"
"08.03.2019","1.990","2.000","2.043","1.950","79,55K","0,00%"
"07.03.2019","1.990","1.960","2.030","1.960","53,48K","-1,49%"
"06.03.2019","2.020","2.010","2.042","2.000","14,66K","1,76%"
"05.03.2019","1.985","2.020","2.050","1.955","348,37K","-2,02%"
"04.03.2019","2.026","2.000","2.049","1.997","25,03K","1,40%"
"01.03.2019","1.998","2.000","2.010","1.990","116,33K","-0,55%"
"28.02.2019","2.009","2.000","2.011","1.995","202,21K","-0,05%"
"27.02.2019","2.010","1.971","2.079","1.971","70,25K","0,50%"
"26.02.2019","2.000","2.015","2.020","1.980","135,75K","1,47%"
"25.02.2019","1.971","1.960","2.014","1.950","502,22K","0,56%"
"22.02.2019","1.960","1.920","2.015","1.851","230,19K","1,29%"
"21.02.2019","1.935","2.080","2.080","1.935","104,34K","-3,25%"
"20.02.2019","2.000","2.075","2.075","1.980","269,78K","3,09%"
"19.02.2019","1.940","1.767","1.940","1.767","2,14M","5,21%"
"18.02.2019","1.844","1.765","1.887","1.765","56,59K","-0,32%"
"15.02.2019","1.850","1.863","1.863","1.785","36,94K","0,49%"
"14.02.2019","1.841","1.860","1.860","1.800","14,03K","4,13%"
"13.02.2019","1.768","1.800","1.863","1.724","714,28K","0,97%"
"12.02.2019","1.751","1.863","1.863","1.751","14,73K","-2,18%"
"11.02.2019","1.790","1.700","1.840","1.700","34,03K","0,00%"
"08.02.2019","1.790","1.863","1.863","1.600","205,19K","-0,11%"
"07.02.2019","1.792","1.890","1.890","1.788","6,74K","-2,08%"
"06.02.2019","1.830","1.850","1.869","1.801","128,22K","1,61%"
"05.02.2019","1.801","1.806","1.822","1.800","221,61K","-0,77%"
"04.02.2019","1.815","1.880","1.880","1.806","283,72K","-0,55%"
"01.02.2019","1.825","1.880","1.880","1.800","434,85K","-2,20%"
"31.01.2019","1.866","1.855","1.890","1.815","9,04K","0,59%"
"30.01.2019","1.855","1.810","1.890","1.810","54,81K","1,09%"
"29.01.2019","1.835","1.804","1.852","1.800","370,09K","-0,27%"
"28.01.2019","1.840","1.800","1.855","1.800","33,44K","2,22%"
"25.01.2019","1.800","1.801","1.837","1.800","26,53K","0,00%"
"24.01.2019","1.800","1.800","1.840","1.800","398,83K","-2,17%"
"23.01.2019","1.840","1.825","1.855","1.823","185,19K","0,00%"
"22.01.2019","1.840","1.820","1.851","1.820","156,05K","-1,08%"
"21.01.2019","1.860","1.820","1.886","1.820","18,69K","1,09%"
"18.01.2019","1.840","1.925","1.925","1.820","70,46K","-2,65%"
"17.01.2019","1.890","1.875","1.919","1.875","339,64K","-0,53%"
"16.01.2019","1.900","1.925","1.925","1.875","72,37K","1,33%"
"15.01.2019","1.875","1.800","1.950","1.800","34,93K","2,29%"
"14.01.2019","1.833","1.880","1.883","1.799","299,74K","-2,96%"
"11.01.2019","1.889","1.945","1.945","1.871","25,03K","0,96%"
"10.01.2019","1.871","1.920","1.945","1.866","63,22K","-1,53%"
"09.01.2019","1.900","1.807","1.928","1.807","178,93K","0,53%"
"08.01.2019","1.890","1.920","1.920","1.850","94,22K","1,12%"
"07.01.2019","1.869","1.840","1.950","1.840","54,74K","-0,64%"
"04.01.2019","1.881","1.949","1.949","1.855","78,16K","-0,16%"
"03.01.2019","1.884","1.890","1.900","1.870","105,63K","-0,84%"
"02.01.2019","1.900","1.870","1.911","1.870","114,85K","-2,56%"
"31.12.2018","1.950","1.802","1.950","1.802","90,86K","2,36%"
"28.12.2018","1.905","1.900","1.950","1.900","88,07K","-3,30%"
"27.12.2018","1.970","1.803","1.992","1.803","300,19K","5,97%"
"24.12.2018","1.859","1.900","1.938","1.800","59,63K","-2,16%"
"21.12.2018","1.900","1.900","1.900","1.820","1,11M","1,44%"
"20.12.2018","1.873","1.800","1.877","1.800","91,01K","1,24%"
"19.12.2018","1.850","1.800","1.965","1.800","198,78K","-0,59%"
"18.12.2018","1.861","1.830","1.989","1.800","430,45K","1,97%"
"14.12.2018","1.825","1.800","1.852","1.791","501,69K","0,27%"
"13.12.2018","1.820","1.806","1.892","1.800","373,72K","-3,70%"
"12.12.2018","1.890","1.946","1.950","1.851","73,78K","-0,53%"
"11.12.2018","1.900","1.868","1.900","1.834","128,03K","1,71%"
"10.12.2018","1.868","1.999","1.999","1.843","77,60K","-3,46%"
"07.12.2018","1.935","2.000","2.000","1.926","928,89K","-0,26%"
"06.12.2018","1.940","1.848","1.985","1.848","478,88K","1,20%"
"05.12.2018","1.917","1.950","1.998","1.894","579,84K","0,05%"
"04.12.2018","1.916","1.873","1.999","1.873","268,15K","-1,19%"
"03.12.2018","1.939","1.857","2.000","1.857","164,46K","2,05%"
"30.11.2018","1.900","1.900","1.954","1.811","6,01M","4,28%"
"29.11.2018","1.822","1.800","1.930","1.800","312,94K","0,05%"
"28.11.2018","1.821","1.830","1.982","1.812","620,88K","-4,11%"
"27.11.2018","1.899","1.905","1.959","1.850","533,36K","-1,61%"
"26.11.2018","1.930","1.836","1.968","1.836","1,48M","5,06%"
"23.11.2018","1.837","1.766","1.850","1.730","317,66K","4,61%"
"22.11.2018","1.756","1.850","1.850","1.716","370,43K","-2,39%"
"21.11.2018","1.799","1.976","1.976","1.710","1,04M","-7,32%"
"20.11.2018","1.941","1.906","1.990","1.873","2,65M","1,84%"
"19.11.2018","1.906","1.879","1.965","1.873","453,67K","3,03%"
"16.11.2018","1.850","1.810","1.870","1.805","1,11M","1,98%"
"15.11.2018","1.814","1.780","1.834","1.725","1,58M","6,39%"
"14.11.2018","1.705","1.650","1.711","1.589","420,58K","-1,33%"
"13.11.2018","1.728","1.650","1.740","1.650","83,96K","1,65%"
"12.11.2018","1.700","1.662","1.754","1.600","2,54M","0,00%"
"09.11.2018","1.700","1.565","1.700","1.550","1,42M","8,63%"
"08.11.2018","1.565","1.570","1.600","1.525","139,03K","-2,19%"
"07.11.2018","1.600","1.535","1.625","1.535","224,30K","4,23%"
"06.11.2018","1.535","1.530","1.597","1.500","255,12K","-3,52%"
"05.11.2018","1.591","1.600","1.601","1.560","125,71K","-0,56%"
"02.11.2018","1.600","1.600","1.616","1.572","1,56M","2,50%"
"01.11.2018","1.561","1.421","1.578","1.421","1,48M","7,66%"
"31.10.2018","1.450","1.480","1.480","1.419","186,21K","0,00%"
"30.10.2018","1.450","1.350","1.510","1.350","271,92K","2,11%"
"29.10.2018","1.420","1.447","1.500","1.413","856,44K","-1,87%"
"26.10.2018","1.447","1.524","1.524","1.404","378,02K","-5,05%"
"25.10.2018","1.524","1.470","1.564","1.470","46,92K","-0,97%"
"24.10.2018","1.539","1.589","1.589","1.532","148,68K","-0,65%"
"23.10.2018","1.549","1.589","1.589","1.545","71,48K","-0,39%"
"22.10.2018","1.555","1.590","1.610","1.548","206,21K","-1,58%"
"19.10.2018","1.580","1.595","1.595","1.555","617,10K","2,33%"
"18.10.2018","1.544","1.595","1.595","1.515","243,44K","0,59%"
"17.10.2018","1.535","1.535","1.586","1.535","192,65K","-4,06%"
"16.10.2018","1.600","1.625","1.625","1.555","124,27K","0,38%"
"15.10.2018","1.594","1.685","1.685","1.573","752,26K","-2,45%"
"12.10.2018","1.634","1.556","1.655","1.556","1,73M","3,94%"
"11.10.2018","1.572","1.560","1.595","1.540","120,47K","0,00%"
"10.10.2018","1.572","1.595","1.607","1.555","143,97K","-2,00%"
"09.10.2018","1.604","1.650","1.650","1.591","131,32K","-0,37%"
