"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","21.430","21.950","21.950","21.350","250,17K","-1,87%"
"30.12.2019","21.839","21.600","21.875","21.585","370,49K","1,22%"
"27.12.2019","21.575","21.481","21.913","21.361","523,45K","-0,11%"
"24.12.2019","21.598","21.601","21.698","21.345","146,10K","-0,01%"
"23.12.2019","21.600","21.751","21.834","21.251","816,58K","-0,58%"
"20.12.2019","21.725","21.651","22.239","21.651","1,79M","-1,56%"
"19.12.2019","22.069","22.010","22.440","21.866","3,11M","-0,14%"
"18.12.2019","22.100","21.405","22.241","21.405","1,56M","1,50%"
"17.12.2019","21.774","21.801","22.298","21.755","1,40M","0,39%"
"13.12.2019","21.690","21.610","21.845","21.514","2,03M","2,00%"
"12.12.2019","21.265","21.650","21.663","21.227","1,28M","-0,30%"
"11.12.2019","21.330","21.000","21.699","21.000","1,28M","0,59%"
"10.12.2019","21.205","21.360","21.628","21.030","1,38M","-1,72%"
"09.12.2019","21.576","21.507","21.709","21.334","769,81K","-0,15%"
"06.12.2019","21.609","21.480","21.800","21.475","940,33K","0,86%"
"05.12.2019","21.425","21.420","21.842","21.324","1,35M","-0,96%"
"04.12.2019","21.632","21.387","21.975","21.339","1,01M","1,13%"
"03.12.2019","21.390","21.674","21.674","21.300","1,44M","-0,16%"
"02.12.2019","21.425","21.868","21.921","21.402","1,94M","-2,17%"
"29.11.2019","21.900","21.784","22.128","21.550","1,50M","0,37%"
"28.11.2019","21.820","21.900","22.118","21.714","911,96K","-1,05%"
"27.11.2019","22.051","22.350","22.459","21.974","1,21M","0,00%"
"26.11.2019","22.050","22.600","22.852","22.050","2,85M","-3,09%"
"25.11.2019","22.752","23.347","23.705","22.646","2,00M","-4,15%"
"22.11.2019","23.737","23.910","24.028","23.544","1,11M","0,24%"
"21.11.2019","23.679","23.934","24.362","23.513","1,08M","-2,58%"
"20.11.2019","24.305","23.747","24.532","23.732","1,13M","1,80%"
"19.11.2019","23.876","23.293","23.966","23.280","984,99K","2,50%"
"18.11.2019","23.293","23.600","23.939","23.125","791,21K","-1,38%"
"15.11.2019","23.620","23.900","23.900","23.502","659,43K","0,30%"
"14.11.2019","23.550","24.175","24.175","23.383","732,15K","-0,66%"
"13.11.2019","23.707","23.550","23.872","23.463","905,49K","-0,72%"
"12.11.2019","23.880","24.185","24.395","23.816","1,14M","-0,27%"
"11.11.2019","23.945","23.485","24.196","23.485","797,09K","-1,32%"
"08.11.2019","24.265","24.250","24.678","24.060","727,35K","-0,50%"
"07.11.2019","24.387","24.200","24.969","24.200","1,39M","0,66%"
"06.11.2019","24.226","24.000","24.517","23.562","1,30M","1,59%"
"05.11.2019","23.846","23.526","24.133","23.376","1,00M","2,07%"
"04.11.2019","23.363","23.500","23.675","23.175","1,05M","1,96%"
"01.11.2019","22.914","23.299","23.299","22.754","742,26K","-0,02%"
"31.10.2019","22.918","22.942","23.429","22.814","1,86M","-0,05%"
"30.10.2019","22.929","23.406","23.640","22.739","1,41M","-2,70%"
"29.10.2019","23.566","23.700","24.089","23.291","1,01M","-0,45%"
"28.10.2019","23.673","23.266","23.858","23.221","1,07M","1,74%"
"25.10.2019","23.269","23.500","23.750","23.031","1,15M","-2,17%"
"24.10.2019","23.785","24.183","24.404","23.713","1,06M","-1,12%"
"23.10.2019","24.055","24.286","24.338","23.686","831,94K","-1,46%"
"22.10.2019","24.412","23.961","24.565","23.904","1,29M","1,45%"
"21.10.2019","24.064","23.977","24.199","23.739","717,04K","0,71%"
"18.10.2019","23.894","23.990","24.216","23.862","1,52M","-0,57%"
"17.10.2019","24.030","23.941","24.400","23.740","1,49M","0,10%"
"16.10.2019","24.005","23.990","24.032","23.561","1,27M","0,36%"
"15.10.2019","23.920","23.800","24.129","23.632","750,87K","0,88%"
"14.10.2019","23.712","23.802","23.831","23.374","950,86K","0,01%"
"11.10.2019","23.710","23.000","23.811","22.999","1,57M","3,38%"
"10.10.2019","22.935","22.163","22.960","22.163","1,46M","3,21%"
"09.10.2019","22.221","22.225","22.467","22.011","866,81K","0,23%"
"08.10.2019","22.170","22.370","22.668","21.948","1,21M","-0,89%"
"07.10.2019","22.369","22.613","22.618","22.045","1,13M","-0,58%"
"04.10.2019","22.500","22.475","22.630","22.072","1,35M","1,12%"
"03.10.2019","22.250","22.220","22.444","22.044","1,46M","-0,67%"
"02.10.2019","22.400","22.560","22.735","22.233","1,66M","-0,99%"
"01.10.2019","22.625","22.526","22.895","22.475","1,11M","-0,25%"
"30.09.2019","22.682","23.084","23.115","22.600","1,34M","-2,23%"
"27.09.2019","23.200","23.200","23.286","22.892","1,00M","-0,16%"
"26.09.2019","23.237","22.800","23.519","22.800","1,21M","1,92%"
"25.09.2019","22.800","23.002","23.370","22.576","1,34M","-2,12%"
"23.09.2019","23.295","23.694","23.792","22.996","1,02M","-1,67%"
"20.09.2019","23.691","24.162","24.422","23.691","2,54M","-2,18%"
"19.09.2019","24.220","24.087","24.531","23.851","3,92M","-0,22%"
"18.09.2019","24.273","24.200","24.593","24.197","971,26K","0,26%"
"17.09.2019","24.209","24.987","24.995","24.015","1,63M","-3,64%"
"16.09.2019","25.124","23.849","25.124","23.546","2,41M","5,32%"
"13.09.2019","23.854","23.436","24.044","23.268","986,84K","2,10%"
"12.09.2019","23.363","23.000","23.656","22.766","1,41M","1,58%"
"11.09.2019","23.000","22.789","23.083","22.382","1,22M","-0,39%"
"10.09.2019","23.091","23.102","23.206","22.825","841,77K","-0,05%"
"09.09.2019","23.102","23.333","23.404","23.012","757,77K","-0,64%"
"06.09.2019","23.251","22.961","23.480","22.943","960,35K","0,64%"
"05.09.2019","23.103","22.456","23.184","22.456","1,20M","2,41%"
"04.09.2019","22.559","22.610","22.796","22.366","772,91K","0,36%"
"03.09.2019","22.479","22.224","22.663","22.001","775,96K","0,20%"
"02.09.2019","22.435","22.421","22.601","22.350","742,30K","-0,73%"
"30.08.2019","22.600","21.815","22.600","21.697","1,42M","3,34%"
"29.08.2019","21.869","21.851","22.126","21.703","774,07K","-0,47%"
"28.08.2019","21.972","21.675","21.972","21.448","970,33K","1,37%"
