"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","1.966","1.987","1.996","1.953","3,12M","-0,96%"
"30.12.2019","1.985","1.980","2.018","1.969","5,97M","0,20%"
"27.12.2019","1.981","2.000","2.021","1.967","5,27M","0,10%"
"24.12.2019","1.979","1.996","1.996","1.945","3,20M","-0,30%"
"23.12.2019","1.985","1.992","2.012","1.955","8,42M","-0,40%"
"20.12.2019","1.993","1.992","2.020","1.982","28,66M","-0,85%"
"19.12.2019","2.010","2.022","2.047","2.002","36,76M","-0,79%"
"18.12.2019","2.026","1.981","2.036","1.970","14,61M","3,05%"
"17.12.2019","1.966","1.960","2.011","1.959","16,73M","1,08%"
"13.12.2019","1.945","1.919","1.984","1.903","18,33M","3,46%"
"12.12.2019","1.880","1.871","1.899","1.867","13,25M","0,86%"
"11.12.2019","1.864","1.865","1.905","1.853","14,53M","-0,27%"
"10.12.2019","1.869","1.870","1.871","1.839","11,11M","-0,05%"
"09.12.2019","1.870","1.886","1.903","1.867","6,16M","-0,37%"
"06.12.2019","1.877","1.879","1.905","1.875","14,27M","0,91%"
"05.12.2019","1.860","1.825","1.873","1.825","10,43M","1,20%"
"04.12.2019","1.838","1.795","1.848","1.794","8,83M","2,11%"
"03.12.2019","1.800","1.820","1.836","1.787","18,31M","-1,04%"
"02.12.2019","1.819","1.845","1.861","1.811","12,80M","-1,89%"
"29.11.2019","1.854","1.845","1.873","1.833","9,80M","-0,11%"
"28.11.2019","1.856","1.894","1.894","1.837","11,19M","-1,43%"
"27.11.2019","1.883","1.870","1.907","1.870","9,62M","0,64%"
"26.11.2019","1.871","1.926","1.936","1.866","31,10M","-2,86%"
"25.11.2019","1.926","1.962","1.992","1.921","9,75M","-2,13%"
"22.11.2019","1.968","1.970","1.989","1.960","7,52M","-0,86%"
"21.11.2019","1.985","2.019","2.032","1.957","15,14M","-2,31%"
"20.11.2019","2.032","2.000","2.037","1.980","11,43M","1,75%"
"19.11.2019","1.997","1.982","2.005","1.978","13,12M","0,71%"
"18.11.2019","1.983","2.000","2.037","1.978","7,82M","-1,15%"
"15.11.2019","2.006","2.030","2.048","2.004","10,00M","-0,55%"
"14.11.2019","2.017","2.030","2.048","2.017","8,75M","-0,44%"
