"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","2.399","2.300","2.399","2.300","4,08K","1,65%"
"30.12.2019","2.360","2.400","2.400","2.281","149,44K","2,43%"
"27.12.2019","2.304","2.307","2.347","2.287","44,94K","0,61%"
"24.12.2019","2.290","2.349","2.349","2.290","52,88K","-0,26%"
"23.12.2019","2.296","2.250","2.343","2.218","116,12K","-2,01%"
"20.12.2019","2.343","2.350","2.350","2.278","205,79K","1,43%"
"19.12.2019","2.310","2.399","2.399","2.301","135,26K","0,92%"
"18.12.2019","2.289","2.326","2.395","2.289","55,46K","-2,47%"
"17.12.2019","2.347","2.380","2.413","2.300","132,35K","0,73%"
"13.12.2019","2.330","2.386","2.440","2.265","27,07K","-4,82%"
"12.12.2019","2.448","2.385","2.535","2.385","213,30K","3,07%"
"11.12.2019","2.375","2.250","2.380","2.250","56,88K","0,47%"
"10.12.2019","2.364","2.370","2.479","2.286","228,24K","1,90%"
"09.12.2019","2.320","2.400","2.449","2.177","102,55K","0,35%"
"06.12.2019","2.312","2.301","2.550","2.297","826,85K","0,52%"
"05.12.2019","2.300","2.250","2.398","2.250","148,03K","0,09%"
"04.12.2019","2.298","2.231","2.341","2.226","19,20K","1,37%"
"03.12.2019","2.267","2.231","2.277","2.210","168,69K","1,84%"
"02.12.2019","2.226","2.248","2.276","2.226","49,90K","-0,93%"
"29.11.2019","2.247","2.238","2.247","2.198","339,12K","1,58%"
"28.11.2019","2.212","2.175","2.225","2.175","147,74K","0,55%"
"27.11.2019","2.200","2.175","2.206","2.175","87,55K","-0,68%"
"26.11.2019","2.215","2.183","2.239","2.183","162,64K","0,59%"
"25.11.2019","2.202","2.206","2.255","2.175","414,04K","0,87%"
"22.11.2019","2.183","2.121","2.269","2.121","174,06K","2,30%"
"21.11.2019","2.134","2.265","2.265","2.134","22,49K","-5,78%"
"20.11.2019","2.265","2.145","2.321","2.144","23,12K","7,09%"
"19.11.2019","2.115","2.130","2.130","2.101","55,12K","0,00%"
"18.11.2019","2.115","2.127","2.127","2.111","25,40K","0,09%"
"15.11.2019","2.113","2.075","2.145","2.075","27,69K","1,59%"
"14.11.2019","2.080","2.033","2.096","2.033","390,21K","2,31%"
"13.11.2019","2.033","2.011","2.034","2.000","452,67K","1,65%"
"12.11.2019","2.000","1.975","2.022","1.975","265,46K","1,32%"
"11.11.2019","1.974","1.992","2.017","1.974","237,79K","0,00%"
"08.11.2019","1.974","2.010","2.010","1.903","15,27K","-2,13%"
"07.11.2019","2.017","1.951","2.017","1.950","35,63K","0,85%"
"06.11.2019","2.000","1.975","2.017","1.968","149,49K","1,57%"
"05.11.2019","1.969","1.969","1.969","1.954","3,25K","-0,30%"
"04.11.2019","1.975","1.950","1.975","1.949","85,87K","0,00%"
"01.11.2019","1.975","1.975","1.975","1.950","11,09K","1,13%"
"31.10.2019","1.953","1.955","1.961","1.900","92,28K","-0,10%"
"30.10.2019","1.955","1.965","1.993","1.950","205,64K","-1,01%"
"29.10.2019","1.975","1.912","1.989","1.912","61,41K","-0,95%"
"28.10.2019","1.994","1.980","2.012","1.980","105,63K","-1,19%"
"25.10.2019","2.018","1.980","2.018","1.951","31,57K","1,20%"
"24.10.2019","1.994","1.991","1.994","1.951","95,81K","0,50%"
"23.10.2019","1.984","1.990","1.990","1.967","155,57K","1,12%"
"22.10.2019","1.962","1.950","1.994","1.945","60,35K","0,62%"
"21.10.2019","1.950","1.989","1.996","1.903","110,57K","0,00%"
"18.10.2019","1.950","1.895","1.990","1.895","1,56M","2,90%"
"17.10.2019","1.895","2.000","2.000","1.890","133,65K","-0,26%"
"16.10.2019","1.900","1.875","1.940","1.875","388,40K","-0,89%"
"15.10.2019","1.917","1.891","2.015","1.800","110,90K","1,86%"
"14.10.2019","1.882","1.891","1.965","1.801","72,42K","1,18%"
"11.10.2019","1.860","1.780","1.950","1.780","87,29K","-4,86%"
"10.10.2019","1.955","1.875","1.975","1.871","90,02K","1,93%"
"09.10.2019","1.918","1.831","1.925","1.782","64,18K","-0,26%"
"08.10.2019","1.923","1.952","1.974","1.809","107,57K","-0,26%"
"07.10.2019","1.928","1.950","1.975","1.928","21,79K","-2,48%"
"04.10.2019","1.977","2.086","2.086","1.951","8,64K","-5,23%"
"03.10.2019","2.086","1.954","2.086","1.900","10,13K","7,80%"
"02.10.2019","1.935","1.820","1.935","1.820","62,21K","6,32%"
"01.10.2019","1.820","1.986","2.071","1.801","49,05K","-4,51%"
"30.09.2019","1.906","1.865","1.906","1.857","386,74K","2,20%"
"27.09.2019","1.865","1.799","1.865","1.799","166,14K","5,01%"
"26.09.2019","1.776","1.850","1.871","1.762","310,01K","-6,23%"
"25.09.2019","1.894","1.906","1.921","1.856","299,87K","-0,63%"
"23.09.2019","1.906","1.935","2.078","1.823","132,83K","-1,50%"
"20.09.2019","1.935","1.955","2.005","1.914","1,05M","-0,97%"
"19.09.2019","1.954","1.942","2.035","1.942","40,91K","-3,03%"
"18.09.2019","2.015","2.015","2.035","1.972","111,85K","-0,74%"
"17.09.2019","2.030","2.003","2.062","2.003","73,80K","-2,59%"
"16.09.2019","2.084","2.090","2.090","2.034","42,00K","-0,71%"
"13.09.2019","2.099","1.900","2.099","1.843","91,84K","8,76%"
"12.09.2019","1.930","1.800","1.999","1.800","123,28K","3,49%"
"11.09.2019","1.865","1.820","1.900","1.809","94,48K","2,70%"
"10.09.2019","1.816","1.910","1.910","1.750","111,43K","0,89%"
"09.09.2019","1.800","1.790","1.898","1.790","164,02K","-1,15%"
"06.09.2019","1.821","1.908","1.920","1.821","271,51K","-5,16%"
"05.09.2019","1.920","1.849","2.001","1.844","220,10K","4,63%"
"04.09.2019","1.835","1.802","1.835","1.802","117,00K","1,83%"
"03.09.2019","1.802","1.800","1.826","1.800","25,29K","-0,77%"
"02.09.2019","1.816","1.731","1.837","1.709","80,31K","-0,06%"
"30.08.2019","1.817","1.740","1.856","1.660","59,47K","0,89%"
"29.08.2019","1.801","1.750","1.803","1.725","170,72K","2,91%"
"28.08.2019","1.750","1.750","1.764","1.680","528,09K","-3,53%"
"27.08.2019","1.814","1.730","1.842","1.730","51,21K","3,36%"
"26.08.2019","1.755","1.728","1.800","1.650","74,28K","1,74%"
"23.08.2019","1.725","1.500","1.749","1.500","140,61K","-0,63%"
"22.08.2019","1.736","1.675","1.800","1.673","231,74K","5,21%"
"21.08.2019","1.650","1.600","1.679","1.566","264,54K","1,23%"
"20.08.2019","1.630","1.620","1.720","1.557","110,91K","-2,69%"
"19.08.2019","1.675","1.702","1.778","1.675","51,23K","-4,56%"
"16.08.2019","1.755","1.725","1.886","1.651","34,49K","0,06%"
"15.08.2019","1.754","1.713","1.754","1.710","4,99K","2,45%"
"14.08.2019","1.712","1.830","1.830","1.702","69,42K","-1,78%"
"13.08.2019","1.743","1.803","1.841","1.743","38,80K","-4,39%"
"12.08.2019","1.823","1.889","1.889","1.808","9,27K","-3,49%"
"08.08.2019","1.889","1.910","1.910","1.870","46,74K","-0,63%"
"07.08.2019","1.901","1.950","1.950","1.901","52,76K","-2,51%"
"06.08.2019","1.950","1.909","1.950","1.902","46,72K","2,31%"
"05.08.2019","1.906","1.948","1.948","1.901","107,78K","0,32%"
"02.08.2019","1.900","1.895","1.910","1.895","221,04K","-1,25%"
"01.08.2019","1.924","1.906","1.924","1.900","7,53K","1,00%"
"31.07.2019","1.905","1.997","1.997","1.891","142,79K","0,00%"
"30.07.2019","1.905","1.898","1.911","1.890","330,24K","0,53%"
"29.07.2019","1.895","1.892","1.909","1.892","40,09K","-0,79%"
"26.07.2019","1.910","1.950","1.950","1.859","578,43K","-2,30%"
"25.07.2019","1.955","1.971","1.971","1.857","39,72K","3,17%"
"24.07.2019","1.895","1.900","1.904","1.832","32,27K","-0,21%"
"23.07.2019","1.899","1.937","1.937","1.899","19,51K","-0,21%"
"22.07.2019","1.903","1.893","1.903","1.826","400,65K","0,58%"
"19.07.2019","1.892","1.890","1.900","1.890","95,99K","0,64%"
"18.07.2019","1.880","1.880","1.933","1.880","12,93K","-0,53%"
"17.07.2019","1.890","1.881","1.920","1.881","11,28K","-2,58%"
"16.07.2019","1.940","1.920","1.948","1.917","63,49K","-0,41%"
"15.07.2019","1.948","1.900","1.948","1.900","20,82K","2,47%"
"12.07.2019","1.901","1.948","1.948","1.880","38,32K","0,05%"
"11.07.2019","1.900","1.900","1.928","1.830","34,44K","-0,31%"
"10.07.2019","1.906","1.905","1.958","1.905","28,11K","-1,50%"
"09.07.2019","1.935","1.920","1.935","1.901","604,54K","0,83%"
"08.07.2019","1.919","1.916","1.967","1.900","287,29K","-0,98%"
"05.07.2019","1.938","1.975","1.975","1.917","66,44K","-0,62%"
"04.07.2019","1.950","1.936","1.950","1.920","254,52K","0,72%"
"03.07.2019","1.936","1.900","1.978","1.891","312,77K","1,36%"
"02.07.2019","1.910","1.920","1.969","1.908","31,27K","-0,52%"
"01.07.2019","1.920","1.970","1.970","1.888","72,36K","-1,08%"
"28.06.2019","1.941","1.904","1.950","1.881","440,18K","1,94%"
"27.06.2019","1.904","1.870","1.927","1.870","74,17K","1,28%"
"26.06.2019","1.880","1.880","1.896","1.865","169,36K","0,59%"
"25.06.2019","1.869","1.945","1.964","1.826","61,65K","-4,10%"
"24.06.2019","1.949","1.950","1.990","1.880","221,07K","1,88%"
"21.06.2019","1.913","1.850","1.975","1.850","263,58K","2,85%"
"20.06.2019","1.860","1.830","1.949","1.830","16,43K","0,54%"
"19.06.2019","1.850","1.850","1.899","1.829","116,08K","1,93%"
"18.06.2019","1.815","1.850","1.850","1.806","26,66K","0,55%"
"14.06.2019","1.805","1.850","1.868","1.802","1,48M","0,78%"
"13.06.2019","1.791","1.805","1.824","1.791","115,81K","-0,61%"
