"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","84","84","85","82","2,33M","1,20%"
"30.12.2019","83","84","85","82","1,55M","0,00%"
"27.12.2019","83","81","84","81","12,44M","2,47%"
"24.12.2019","81","83","83","81","886,30K","-2,41%"
"23.12.2019","83","82","83","81","2,00M","1,22%"
"20.12.2019","82","82","85","82","26,31M","-2,38%"
"19.12.2019","84","83","85","83","2,75M","-1,18%"
"18.12.2019","85","83","85","83","3,96M","0,00%"
"17.12.2019","85","83","88","83","8,44M","0,00%"
"13.12.2019","85","86","87","82","2,64M","2,41%"
"12.12.2019","83","85","87","83","11,16M","-2,35%"
"11.12.2019","85","86","91","85","2,87M","-3,41%"
"10.12.2019","88","84","92","84","15,18M","1,15%"
"09.12.2019","87","82","92","81","11,12M","6,10%"
"06.12.2019","82","82","87","81","8,91M","-2,38%"
"05.12.2019","84","88","91","83","4,57M","-4,55%"
"04.12.2019","88","90","92","86","6,14M","-3,30%"
"03.12.2019","91","97","99","90","8,47M","-8,08%"
"02.12.2019","99","98","109","97","11,68M","0,00%"
"29.11.2019","99","103","118","96","19,01M","-3,88%"
"28.11.2019","103","84","103","83","7,46M","25,61%"
"27.11.2019","82","85","86","82","5,96M","-2,38%"
"26.11.2019","84","83","89","83","8,62M","1,20%"
"25.11.2019","83","81","85","80","6,32M","2,47%"
"22.11.2019","81","85","85","81","5,41M","-5,81%"
"21.11.2019","86","83","86","83","6,49M","2,38%"
"20.11.2019","84","90","90","83","7,87M","-6,67%"
"19.11.2019","90","90","92","89","4,08M","-2,17%"
"18.11.2019","92","92","93","91","3,90M","-1,08%"
"15.11.2019","93","93","94","92","960,40K","-1,06%"
"14.11.2019","94","94","96","91","5,83M","1,08%"
"13.11.2019","93","99","99","93","8,04M","-4,12%"
"12.11.2019","97","95","101","94","5,45M","1,04%"
"11.11.2019","96","96","97","93","2,09M","1,05%"
"08.11.2019","95","94","97","93","4,76M","-3,06%"
"07.11.2019","98","95","98","94","1,23M","3,16%"
"06.11.2019","95","98","98","95","3,63M","-1,04%"
"05.11.2019","96","98","100","94","3,54M","-2,04%"
"04.11.2019","98","96","101","96","3,56M","1,03%"
"01.11.2019","97","99","100","96","3,02M","-1,02%"
"31.10.2019","98","99","104","98","4,85M","-2,00%"
"30.10.2019","100","98","100","95","1,22M","2,04%"
"29.10.2019","98","99","101","98","924,30K","-1,01%"
"28.10.2019","99","100","100","99","2,22M","-1,00%"
"25.10.2019","100","101","101","99","1,56M","0,00%"
"24.10.2019","100","100","101","100","1,00M","0,00%"
"23.10.2019","100","102","102","100","2,42M","-0,99%"
"22.10.2019","101","103","107","101","3,48M","-0,98%"
"21.10.2019","102","102","106","102","1,12M","0,99%"
"18.10.2019","101","103","105","101","2,70M","-1,94%"
"17.10.2019","103","104","106","103","1,72M","-2,83%"
"16.10.2019","106","108","108","104","1,50M","-1,85%"
"15.10.2019","108","107","111","104","2,95M","0,93%"
"14.10.2019","107","105","110","104","3,14M","0,00%"
"11.10.2019","107","106","108","104","1,52M","0,00%"
"10.10.2019","107","104","109","102","1,60M","0,94%"
"09.10.2019","106","103","106","103","1,49M","0,95%"
"08.10.2019","105","105","106","102","916,98K","1,94%"
"07.10.2019","103","105","105","100","2,62M","0,00%"
"04.10.2019","103","106","108","103","3,37M","-2,83%"
"03.10.2019","106","110","112","104","1,47M","-3,64%"
"02.10.2019","110","108","113","106","5,33M","4,76%"
"01.10.2019","105","102","108","101","6,47M","7,14%"
"30.09.2019","98","103","104","96","5,02M","-2,00%"
"27.09.2019","100","105","105","99","2,60M","0,00%"
"26.09.2019","100","109","109","99","2,85M","-3,85%"
"25.09.2019","104","106","108","103","2,43M","-1,89%"
"23.09.2019","106","110","111","106","1,58M","-3,64%"
"20.09.2019","110","111","116","110","22,66M","-0,90%"
"19.09.2019","111","115","115","111","2,99M","-4,31%"
"18.09.2019","116","114","116","111","1,00M","1,75%"
"17.09.2019","114","115","116","112","1,69M","3,64%"
"16.09.2019","110","110","118","106","2,98M","2,80%"
"13.09.2019","107","109","110","104","2,50M","-2,73%"
"12.09.2019","110","106","110","99","7,85M","3,77%"
"11.09.2019","106","108","110","105","3,77M","-2,75%"
"10.09.2019","109","111","111","108","2,10M","-1,80%"
"09.09.2019","111","110","113","109","1,67M","0,00%"
"06.09.2019","111","111","115","111","822,93K","0,00%"
"05.09.2019","111","112","117","111","1,19M","-3,48%"
"04.09.2019","115","113","115","112","652,66K","0,00%"
"03.09.2019","115","111","117","111","1,44M","2,68%"
"02.09.2019","112","116","117","111","2,02M","-6,67%"
"30.08.2019","120","128","130","117","6,13M","-1,64%"
"29.08.2019","122","120","124","120","3,03M","2,52%"
"28.08.2019","119","119","122","118","1,89M","0,00%"
"27.08.2019","119","117","122","117","3,67M","0,85%"
"26.08.2019","118","118","120","116","1,73M","0,00%"
"23.08.2019","118","116","120","111","3,28M","0,85%"
"22.08.2019","117","118","121","105","10,44M","2,63%"
"21.08.2019","114","95","116","93","8,65M","21,28%"
"20.08.2019","94","101","101","87","10,12M","-5,05%"
"19.08.2019","99","104","109","97","8,18M","-4,81%"
"16.08.2019","104","120","120","104","6,67M","-11,86%"
"15.08.2019","118","125","126","116","3,62M","-5,60%"
"14.08.2019","125","128","130","123","4,93M","0,81%"
"13.08.2019","124","129","148","124","12,19M","-3,88%"
"12.08.2019","129","127","131","126","6,57M","2,38%"
"08.08.2019","126","123","126","120","2,33M","4,13%"
"07.08.2019","121","120","124","117","2,78M","0,83%"
"06.08.2019","120","120","131","115","7,29M","0,00%"
"05.08.2019","120","120","125","119","2,56M","0,00%"
"02.08.2019","120","121","124","116","4,53M","-0,83%"
"01.08.2019","121","118","122","118","1,94M","2,54%"
"31.07.2019","118","123","126","118","3,19M","-4,07%"
"30.07.2019","123","125","125","120","1,76M","-1,60%"
"29.07.2019","125","119","125","119","6,12M","4,17%"
"26.07.2019","120","116","122","116","1,57M","2,56%"
"25.07.2019","117","117","119","111","4,57M","-0,85%"
"24.07.2019","118","119","121","117","2,62M","-0,84%"
"23.07.2019","119","121","122","119","3,54M","-1,65%"
"22.07.2019","121","121","124","120","3,43M","-4,72%"
"19.07.2019","127","123","127","121","4,59M","3,25%"
"18.07.2019","123","125","127","123","610,56K","0,00%"
"17.07.2019","123","124","127","123","2,84M","-0,81%"
"16.07.2019","124","129","129","124","3,27M","-3,88%"
"15.07.2019","129","136","137","127","4,92M","-10,42%"
"12.07.2019","144","127","146","125","12,52M","13,39%"
"11.07.2019","127","126","127","125","1,65M","0,79%"
"10.07.2019","126","123","127","123","3,95M","1,61%"
"09.07.2019","124","124","128","123","2,12M","-0,80%"
"08.07.2019","125","129","130","122","5,60M","-3,10%"
"05.07.2019","129","127","129","124","2,45M","3,20%"
"04.07.2019","125","125","129","122","2,16M","-0,79%"
"03.07.2019","126","126","128","125","4,94M","-0,79%"
"02.07.2019","127","126","131","126","5,79M","0,00%"
"01.07.2019","127","130","132","127","2,65M","-2,31%"
"28.06.2019","130","128","131","127","2,06M","1,56%"
"27.06.2019","128","127","129","126","2,28M","0,79%"
"26.06.2019","127","121","131","121","2,44M","3,25%"
"25.06.2019","123","128","129","121","8,93M","-3,15%"
"24.06.2019","127","129","132","120","15,22M","0,79%"
"21.06.2019","126","131","134","126","24,93M","-2,33%"
"20.06.2019","129","139","139","127","9,78M","-5,84%"
"19.06.2019","137","144","150","136","7,71M","-8,67%"
"18.06.2019","150","150","154","148","3,03M","2,04%"
"14.06.2019","147","153","157","146","6,84M","-4,55%"
"13.06.2019","154","156","160","154","3,60M","1,32%"
"12.06.2019","152","146","156","145","6,91M","6,29%"
"11.06.2019","143","133","143","133","2,67M","4,38%"
