"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","29.014","29.149","29.349","29.014","13,34K","-1,88%"
"30.12.2019","29.569","29.184","29.569","28.924","13,43K","2,78%"
"27.12.2019","28.770","29.405","29.808","28.770","18,38K","-2,14%"
"24.12.2019","29.400","28.532","29.400","28.532","5,16K","2,05%"
"23.12.2019","28.810","28.874","29.150","28.552","18,80K","-0,17%"
"20.12.2019","28.859","30.161","30.161","28.859","118,07K","-1,50%"
"19.12.2019","29.297","30.398","30.398","29.226","53,13K","-1,98%"
"18.12.2019","29.890","30.376","30.376","29.739","33,28K","-0,77%"
"17.12.2019","30.123","29.550","30.382","29.550","33,43K","0,91%"
"13.12.2019","29.852","29.745","30.050","29.469","50,65K","1,63%"
"12.12.2019","29.374","29.538","29.823","29.374","28,20K","-1,51%"
"11.12.2019","29.825","28.900","29.850","28.900","38,73K","1,44%"
"10.12.2019","29.402","29.989","29.989","28.990","61,60K","-1,00%"
"09.12.2019","29.699","29.800","30.226","29.513","93,77K","-1,84%"
"06.12.2019","30.255","29.500","30.800","29.341","161,61K","4,04%"
"05.12.2019","29.079","29.897","30.104","28.966","17,36K","-1,76%"
"04.12.2019","29.600","29.428","29.762","29.038","31,09K","1,70%"
"03.12.2019","29.106","28.439","29.218","28.439","205,60K","0,07%"
"02.12.2019","29.085","29.133","29.391","28.721","112,06K","0,56%"
"29.11.2019","28.924","28.600","29.079","28.353","33,00K","0,08%"
"28.11.2019","28.900","29.100","29.694","28.703","54,66K","-0,34%"
"27.11.2019","29.000","28.599","29.200","28.503","97,80K","1,40%"
"26.11.2019","28.600","28.611","28.777","28.358","24,12K","-0,76%"
"25.11.2019","28.819","29.045","29.100","28.619","44,93K","-0,63%"
"22.11.2019","29.001","28.508","29.249","28.508","60,71K","-0,12%"
"21.11.2019","29.035","29.520","29.885","28.824","55,79K","0,09%"
"20.11.2019","29.010","29.904","30.005","28.859","78,42K","-3,11%"
"19.11.2019","29.942","29.666","29.942","29.447","17,95K","0,92%"
"18.11.2019","29.668","29.784","29.784","28.501","40,54K","2,13%"
"15.11.2019","29.050","28.521","29.500","28.521","24,65K","-0,82%"
"14.11.2019","29.291","28.400","29.299","28.400","27,21K","1,28%"
"13.11.2019","28.922","28.635","28.937","28.440","38,23K","1,38%"
"12.11.2019","28.527","28.800","29.146","28.513","74,93K","-2,14%"
"11.11.2019","29.150","29.066","29.400","28.926","23,97K","-1,01%"
"08.11.2019","29.448","29.550","29.584","29.361","12,12K","-0,45%"
"07.11.2019","29.580","29.399","29.700","29.056","54,48K","-0,03%"
"06.11.2019","29.590","29.150","29.590","28.963","60,41K","0,34%"
"05.11.2019","29.491","28.999","29.704","28.800","61,90K","2,41%"
"04.11.2019","28.797","28.016","29.000","28.016","43,61K","1,76%"
"01.11.2019","28.300","28.251","28.615","28.080","42,16K","0,21%"
"31.10.2019","28.240","29.045","29.045","28.240","46,67K","0,14%"
"30.10.2019","28.200","29.192","29.192","28.135","98,82K","-2,90%"
"29.10.2019","29.041","29.800","29.800","28.865","32,78K","-0,44%"
