"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2019","30.348","30.600","30.771","30.053","391,14K","-2,18%"
"30.12.2019","31.025","31.020","31.159","30.551","638,99K","-0,85%"
"27.12.2019","31.290","30.511","31.379","30.400","1,17M","1,26%"
"24.12.2019","30.900","30.951","31.086","30.463","319,18K","-0,16%"
"23.12.2019","30.950","31.210","31.210","29.914","1,38M","-0,83%"
"20.12.2019","31.210","31.550","32.247","31.200","3,12M","-1,22%"
"19.12.2019","31.596","32.510","33.112","31.384","6,04M","-2,77%"
"18.12.2019","32.497","30.500","33.163","30.385","6,34M","6,35%"
"17.12.2019","30.558","27.700","30.800","27.501","4,95M","11,69%"
"13.12.2019","27.359","27.000","28.100","26.850","1,75M","2,56%"
"12.12.2019","26.675","27.100","27.338","26.399","1,48M","-1,54%"
"11.12.2019","27.093","27.203","27.208","26.800","1,62M","-0,40%"
"10.12.2019","27.203","26.200","27.203","26.200","1,78M","3,40%"
"09.12.2019","26.309","26.100","26.550","26.016","1,04M","0,99%"
"06.12.2019","26.050","26.450","26.844","25.996","1,66M","-1,52%"
"05.12.2019","26.453","26.410","26.931","26.017","1,18M","0,20%"
"04.12.2019","26.399","26.000","26.826","25.713","2,04M","2,94%"
"03.12.2019","25.645","26.098","26.103","25.454","2,97M","-1,54%"
"02.12.2019","26.045","26.499","26.550","25.634","1,60M","-1,34%"
"29.11.2019","26.400","27.255","27.550","26.350","1,80M","-3,14%"
"28.11.2019","27.257","28.110","28.539","27.257","1,57M","-2,65%"
"27.11.2019","28.000","28.110","28.838","27.860","1,30M","-0,39%"
"26.11.2019","28.110","28.200","29.000","27.977","3,88M","-0,22%"
"25.11.2019","28.173","28.100","28.702","27.514","1,33M","-0,31%"
"22.11.2019","28.262","27.650","28.348","27.318","1,25M","2,04%"
"21.11.2019","27.698","28.025","28.296","27.439","1,78M","-2,15%"
"20.11.2019","28.306","28.380","28.524","27.867","1,41M","-0,68%"
